資料集名稱,檔案格式,下載連結,資料集類型,資料集描述,主要欄位說明,資料集提供機關,更新頻率,授權方式,授權說明網址,計費方式,編碼格式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,備註
"行政院重大政策","xml","http://www.ey.gov.tw/Rss_News.aspx?n=3D06E532B0D8316C","rawData","提供行政院重大政策之訊息。","「主題」、「日期」、「連結」、「內容」。","行政院","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","洪先生","02-33568122",""
"沙塵預報資料","xml","http://opendata.epa.gov.tw/ws/Data/SANDST/?format=xml","rawData","為研判沙塵是否會影響到我國空氣品質，環保署根據過去沙塵侵台的路徑歸納相關資料，包括透過沙塵暴發生及大氣環流資訊蒐集、空氣品質監測資料分析等，建立沙塵影響空氣品質預報研判，環保署於每年11月~隔年5月沙塵來臨季節提供最新沙塵資訊","發布時間(PublishTime)、預報標題(Subject)、預報內容(Content)","行政院環境保護署","不定期更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"沙塵預報資料","json","http://opendata.epa.gov.tw/ws/Data/SANDST/?format=json","rawData","為研判沙塵是否會影響到我國空氣品質，環保署根據過去沙塵侵台的路徑歸納相關資料，包括透過沙塵暴發生及大氣環流資訊蒐集、空氣品質監測資料分析等，建立沙塵影響空氣品質預報研判，環保署於每年11月~隔年5月沙塵來臨季節提供最新沙塵資訊","發布時間(PublishTime)、預報標題(Subject)、預報內容(Content)","行政院環境保護署","不定期更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"沙塵預報資料","csv","http://opendata.epa.gov.tw/ws/Data/SANDST/?format=csv","rawData","為研判沙塵是否會影響到我國空氣品質，環保署根據過去沙塵侵台的路徑歸納相關資料，包括透過沙塵暴發生及大氣環流資訊蒐集、空氣品質監測資料分析等，建立沙塵影響空氣品質預報研判，環保署於每年11月~隔年5月沙塵來臨季節提供最新沙塵資訊","發布時間(PublishTime)、預報標題(Subject)、預報內容(Content)","行政院環境保護署","不定期更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"全國細懸浮微粒手動監測資料","xml","http://opendata.epa.gov.tw/ws/Data/PM25/?format=xml","rawData","環保署發布全國細懸浮微粒（PM2.5）手動監測資料，PM2.5手動監測為依據標準檢測方法，連續採樣24小時所得之測值。由於監測資料需要現場採樣、經實驗室檢測分析及資料品保品管程序，通常需要20天後提供資料","測站名稱(SiteName)、監測日期(MonitorDate)、細懸浮微粒監測濃度(Concentration)、度量單位(ItemUnit)","行政院環境保護署","每3天更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","2-23117722#2311",""
"全國細懸浮微粒手動監測資料","json","http://opendata.epa.gov.tw/ws/Data/PM25/?format=json","rawData","環保署發布全國細懸浮微粒（PM2.5）手動監測資料，PM2.5手動監測為依據標準檢測方法，連續採樣24小時所得之測值。由於監測資料需要現場採樣、經實驗室檢測分析及資料品保品管程序，通常需要20天後提供資料","測站名稱(SiteName)、監測日期(MonitorDate)、細懸浮微粒監測濃度(Concentration)、度量單位(ItemUnit)","行政院環境保護署","每3天更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","2-23117722#2311",""
"全國細懸浮微粒手動監測資料","csv","http://opendata.epa.gov.tw/ws/Data/PM25/?format=csv","rawData","環保署發布全國細懸浮微粒（PM2.5）手動監測資料，PM2.5手動監測為依據標準檢測方法，連續採樣24小時所得之測值。由於監測資料需要現場採樣、經實驗室檢測分析及資料品保品管程序，通常需要20天後提供資料","測站名稱(SiteName)、監測日期(MonitorDate)、細懸浮微粒監測濃度(Concentration)、度量單位(ItemUnit)","行政院環境保護署","每3天更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","2-23117722#2311",""
"土壤及地下水污染管制區公告資料","xml","http://opendata.epa.gov.tw/ws/Data/SGFM/?format=xml","rawData","土壤及地下水污染場址公告資料(土壤污染或地下水污染來源明確，其土壤或地下水污染物濃度達土壤或地下水污染管制標準者，所在地主管機關應公告為土壤、地下水污染控制場址)(土壤污染管制區(IsSoil)、地下水污染管制區(IsGw)欄位1表示"列管"，0表示"未列管")","公告公文(AnnoNo)、日期(AnnoDate)、主旨(AnnoTitle)、公告事項(AnnoContent)、場址代碼(SiteId)、縣市(County)、土壤污染管制區(IsSoil)、地下水污染管制區(IsGw)","行政院環境保護署","每月更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","尤先生","02-23832389#8108",""
"土壤及地下水污染管制區公告資料","json","http://opendata.epa.gov.tw/ws/Data/SGFM/?format=json","rawData","土壤及地下水污染場址公告資料(土壤污染或地下水污染來源明確，其土壤或地下水污染物濃度達土壤或地下水污染管制標準者，所在地主管機關應公告為土壤、地下水污染控制場址)(土壤污染管制區(IsSoil)、地下水污染管制區(IsGw)欄位1表示"列管"，0表示"未列管")","公告公文(AnnoNo)、日期(AnnoDate)、主旨(AnnoTitle)、公告事項(AnnoContent)、場址代碼(SiteId)、縣市(County)、土壤污染管制區(IsSoil)、地下水污染管制區(IsGw)","行政院環境保護署","每月更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","尤先生","02-23832389#8108",""
"土壤及地下水污染管制區公告資料","csv","http://opendata.epa.gov.tw/ws/Data/SGFM/?format=csv","rawData","土壤及地下水污染場址公告資料(土壤污染或地下水污染來源明確，其土壤或地下水污染物濃度達土壤或地下水污染管制標準者，所在地主管機關應公告為土壤、地下水污染控制場址)(土壤污染管制區(IsSoil)、地下水污染管制區(IsGw)欄位1表示"列管"，0表示"未列管")","公告公文(AnnoNo)、日期(AnnoDate)、主旨(AnnoTitle)、公告事項(AnnoContent)、場址代碼(SiteId)、縣市(County)、土壤污染管制區(IsSoil)、地下水污染管制區(IsGw)","行政院環境保護署","每月更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","尤先生","02-23832389#8108",""
"水庫水質監測資料","xml","http://opendata.epa.gov.tw/ws/Data/WQXDam/?format=xml","rawData","環保署發布水庫水質監測資料，包括一般水庫水質背景監測值及卡爾森指數(CTSI)指標計算值等資料。由於監測資料為每季現場採樣，並經實驗室檢測分析及資料品保品管程序，通常需要每季監測結束後隔月始能提供資料","測站名稱(SiteName)、測站英文名稱(SiteEngName)、水庫名稱(DamName)、縣市(County)、鄉鎮市區(Township)、TWD97經度(TWD97Lon)、TWD97緯度(TWD97Lat)、TWD97二度分帶X(TWD97TM2X)、TWD97二度分帶Y(TWD97TM2Y)、採樣日期(SampleDate)、採樣層級(SampleLayer)、採樣深度(SampleDepth)、測項名稱(ItemName)、測項英文名稱(ItemEngName)、測項英文簡稱(ItemEngAbbreviation)、監測值(ItemValue)、測項單位(ItemUnit)","行政院環境保護署","每季更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"水庫水質監測資料","json","http://opendata.epa.gov.tw/ws/Data/WQXDam/?format=json","rawData","環保署發布水庫水質監測資料，包括一般水庫水質背景監測值及卡爾森指數(CTSI)指標計算值等資料。由於監測資料為每季現場採樣，並經實驗室檢測分析及資料品保品管程序，通常需要每季監測結束後隔月始能提供資料","測站名稱(SiteName)、測站英文名稱(SiteEngName)、水庫名稱(DamName)、縣市(County)、鄉鎮市區(Township)、TWD97經度(TWD97Lon)、TWD97緯度(TWD97Lat)、TWD97二度分帶X(TWD97TM2X)、TWD97二度分帶Y(TWD97TM2Y)、採樣日期(SampleDate)、採樣層級(SampleLayer)、採樣深度(SampleDepth)、測項名稱(ItemName)、測項英文名稱(ItemEngName)、測項英文簡稱(ItemEngAbbreviation)、監測值(ItemValue)、測項單位(ItemUnit)","行政院環境保護署","每季更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"水庫水質監測資料","csv","http://opendata.epa.gov.tw/ws/Data/WQADam/?format=csv","rawData","環保署發布水庫水質監測資料，包括一般水庫水質背景監測值及卡爾森指數(CTSI)指標計算值等資料。由於監測資料為每季現場採樣，並經實驗室檢測分析及資料品保品管程序，通常需要每季監測結束後隔月始能提供資料","測站名稱(SiteName)、測站英文名稱(SiteEngName)、水庫名稱(DamName)、縣市(County)、鄉鎮市區(Township)、TWD97經度(TWD97Lon)、TWD97緯度(TWD97Lat)、TWD97二度分帶X(TWD97TM2X)、TWD97二度分帶Y(TWD97TM2Y)、採樣日期(SampleDate)、採樣層級(SampleLayer)、採樣深度(SampleDepth)、測項名稱(ItemName)、測項英文名稱(ItemEngName)、測項英文簡稱(ItemEngAbbreviation)、監測值(ItemValue)、測項單位(ItemUnit)","行政院環境保護署","每季更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"海域水質監測資料","xml","http://opendata.epa.gov.tw/ws/Data/WQXSea/?format=xml","rawData","環保署發布海域水質監測資料，包括一般海域水質背景監測值及重金屬測值等資料。由於監測資料為每季現場採樣，並經實驗室檢測分析及資料品保品管程序，通常需要每季監測結束後隔月始能提供資料","測站名稱(SiteName)、測站英文名稱(SiteEngName)、海域分區名稱(SeaAreaName)、TWD97經度(TWD97Lon)、TWD97緯度(TWD97Lat)、TWD97二度分帶X(TWD97TM2X)、TWD97二度分帶Y(TWD97TM2Y)、採樣日期(SampleDate)、測項名稱(ItemName)、測項英文名稱(ItemEngName)、測項英文簡稱(ItemEngAbbreviation)、監測值(ItemValue)、測項單位(ItemUnit)","行政院環境保護署","每季更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"海域水質監測資料","json","http://opendata.epa.gov.tw/ws/Data/WQXSea/?format=json","rawData","環保署發布海域水質監測資料，包括一般海域水質背景監測值及重金屬測值等資料。由於監測資料為每季現場採樣，並經實驗室檢測分析及資料品保品管程序，通常需要每季監測結束後隔月始能提供資料","測站名稱(SiteName)、測站英文名稱(SiteEngName)、海域分區名稱(SeaAreaName)、TWD97經度(TWD97Lon)、TWD97緯度(TWD97Lat)、TWD97二度分帶X(TWD97TM2X)、TWD97二度分帶Y(TWD97TM2Y)、採樣日期(SampleDate)、測項名稱(ItemName)、測項英文名稱(ItemEngName)、測項英文簡稱(ItemEngAbbreviation)、監測值(ItemValue)、測項單位(ItemUnit)","行政院環境保護署","每季更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"海域水質監測資料","csv","http://opendata.epa.gov.tw/ws/Data/WQASea/?format=csv","rawData","環保署發布海域水質監測資料，包括一般海域水質背景監測值及重金屬測值等資料。由於監測資料為每季現場採樣，並經實驗室檢測分析及資料品保品管程序，通常需要每季監測結束後隔月始能提供資料","測站名稱(SiteName)、測站英文名稱(SiteEngName)、海域分區名稱(SeaAreaName)、TWD97經度(TWD97Lon)、TWD97緯度(TWD97Lat)、TWD97二度分帶X(TWD97TM2X)、TWD97二度分帶Y(TWD97TM2Y)、採樣日期(SampleDate)、測項名稱(ItemName)、測項英文名稱(ItemEngName)、測項英文簡稱(ItemEngAbbreviation)、監測值(ItemValue)、測項單位(ItemUnit)","行政院環境保護署","每季更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"海灘夏季水質監測資料","xml","http://opendata.epa.gov.tw/ws/Data/WQXBeach/?format=xml","rawData","環保署發布海灘夏季水質監測資料，包括一般海灘水質背景監測值及大腸桿菌群、腸球菌群監測值等資料。監測資料之採樣頻率為每年調整，經實驗室檢測分析及資料品保品管程序，當月提供前一月已完成品保之更新資料。","測站名稱(SiteName)、測站英文名稱(SiteEngName)、海灘名稱(Beach)、TWD97經度 (TWD97Lon)、TWD97緯度(TWD97Lat)、TWD97二度分帶X(TWD97TM2X)、TWD97二度分帶Y(TWD97TM2Y)、採樣日期(SampleDate)、測項名稱(ItemName)、測項英文名稱(ItemEngName)、測項英文簡稱(ItemEngAbbreviation)、監測值(ItemValue)、測項單位(ItemUnit)","行政院環境保護署","採樣頻率每年調整，約6~9月戲水人潮較多期間執行","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"海灘夏季水質監測資料","json","http://opendata.epa.gov.tw/ws/Data/WQXBeach/?format=json","rawData","環保署發布海灘夏季水質監測資料，包括一般海灘水質背景監測值及大腸桿菌群、腸球菌群監測值等資料。監測資料之採樣頻率為每年調整，經實驗室檢測分析及資料品保品管程序，當月提供前一月已完成品保之更新資料。","測站名稱(SiteName)、測站英文名稱(SiteEngName)、海灘名稱(Beach)、TWD97經度 (TWD97Lon)、TWD97緯度(TWD97Lat)、TWD97二度分帶X(TWD97TM2X)、TWD97二度分帶Y(TWD97TM2Y)、採樣日期(SampleDate)、測項名稱(ItemName)、測項英文名稱(ItemEngName)、測項英文簡稱(ItemEngAbbreviation)、監測值(ItemValue)、測項單位(ItemUnit)","行政院環境保護署","採樣頻率每年調整，約6~9月戲水人潮較多期間執行","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"海灘夏季水質監測資料","csv","http://opendata.epa.gov.tw/ws/Data/WQABeach/?format=csv","rawData","環保署發布海灘夏季水質監測資料，包括一般海灘水質背景監測值及大腸桿菌群、腸球菌群監測值等資料。監測資料之採樣頻率為每年調整，經實驗室檢測分析及資料品保品管程序，當月提供前一月已完成品保之更新資料。","測站名稱(SiteName)、測站英文名稱(SiteEngName)、海灘名稱(Beach)、TWD97經度 (TWD97Lon)、TWD97緯度(TWD97Lat)、TWD97二度分帶X(TWD97TM2X)、TWD97二度分帶Y(TWD97TM2Y)、採樣日期(SampleDate)、測項名稱(ItemName)、測項英文名稱(ItemEngName)、測項英文簡稱(ItemEngAbbreviation)、監測值(ItemValue)、測項單位(ItemUnit)","行政院環境保護署","採樣頻率每年調整，約6~9月戲水人潮較多期間執行","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"區域性地下水水質監測資料","xml","http://opendata.epa.gov.tw/ws/Data/WQXGW/?format=xml","rawData","環保署發布區域性地下水水質監測資料，包括一般地下水背景監測值及重金屬污染物監測值等資料。由於監測資料為每季現場採樣，並經實驗室檢測分析及資料品保品管程序，通常需要每季監測結束後隔月始能提供資料","測站名稱(SiteName)、測站英文名稱(SiteEngName)、地下水分區名稱(UgwDistName)、縣市(County)、鄉鎮市區(Township) 、TWD97經度 (TWD97Lon)、TWD97緯度(TWD97Lat)、TWD97二度分帶X(TWD97TM2X)、TWD97二度分帶Y(TWD97TM2Y)、採樣日期(SampleDate)、測項名稱(ItemName)、測項英文名稱(ItemEngName)、測項英文簡稱(ItemEngAbbreviation)、監測值(ItemValue)、測項單位(ItemUnit)","行政院環境保護署","每季更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"區域性地下水水質監測資料","json","http://opendata.epa.gov.tw/ws/Data/WQXGW/?format=json","rawData","環保署發布區域性地下水水質監測資料，包括一般地下水背景監測值及重金屬污染物監測值等資料。由於監測資料為每季現場採樣，並經實驗室檢測分析及資料品保品管程序，通常需要每季監測結束後隔月始能提供資料","測站名稱(SiteName)、測站英文名稱(SiteEngName)、地下水分區名稱(UgwDistName)、縣市(County)、鄉鎮市區(Township) 、TWD97經度 (TWD97Lon)、TWD97緯度(TWD97Lat)、TWD97二度分帶X(TWD97TM2X)、TWD97二度分帶Y(TWD97TM2Y)、採樣日期(SampleDate)、測項名稱(ItemName)、測項英文名稱(ItemEngName)、測項英文簡稱(ItemEngAbbreviation)、監測值(ItemValue)、測項單位(ItemUnit)","行政院環境保護署","每季更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"區域性地下水水質監測資料","csv","http://opendata.epa.gov.tw/ws/Data/WQAGW/?format=csv","rawData","環保署發布區域性地下水水質監測資料，包括一般地下水背景監測值及重金屬污染物監測值等資料。由於監測資料為每季現場採樣，並經實驗室檢測分析及資料品保品管程序，通常需要每季監測結束後隔月始能提供資料","測站名稱(SiteName)、測站英文名稱(SiteEngName)、地下水分區名稱(UgwDistName)、縣市(County)、鄉鎮市區(Township) 、TWD97經度 (TWD97Lon)、TWD97緯度(TWD97Lat)、TWD97二度分帶X(TWD97TM2X)、TWD97二度分帶Y(TWD97TM2Y)、採樣日期(SampleDate)、測項名稱(ItemName)、測項英文名稱(ItemEngName)、測項英文簡稱(ItemEngAbbreviation)、監測值(ItemValue)、測項單位(ItemUnit)","行政院環境保護署","每季更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"空氣品質預報資料","xml","http://opendata.epa.gov.tw/ws/Data/AQF/?format=xml","rawData","根據環保署最新氣象及空氣品質模式模擬資料研判，每日2次預報本島及離島隔日空氣品質","預報內容(Content)、發布時間(PublishTime)、空品區(AreaName)、空氣污染指標(PSI)、指標污染物(MajorPollutant)、細懸浮微粒 (PM2.5)、臭氧(O3)","行政院環境保護署","每日上午10:30、下午17:00 更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"空氣品質預報資料","json","http://opendata.epa.gov.tw/ws/Data/AQF/?format=json","rawData","根據環保署最新氣象及空氣品質模式模擬資料研判，每日2次預報本島及離島隔日空氣品質","預報內容(Content)、發布時間(PublishTime)、空品區(AreaName)、空氣污染指標(PSI)、指標污染物(MajorPollutant)、細懸浮微粒 (PM2.5)、臭氧(O3)","行政院環境保護署","每日上午10:30、下午17:00 更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"空氣品質預報資料","csv","http://opendata.epa.gov.tw/ws/Data/AQF/?format=csv","rawData","根據環保署最新氣象及空氣品質模式模擬資料研判，每日2次預報本島及離島隔日空氣品質","預報內容(Content)、發布時間(PublishTime)、空品區(AreaName)、空氣污染指標(PSI)、指標污染物(MajorPollutant)、細懸浮微粒 (PM2.5)、臭氧(O3)","行政院環境保護署","每日上午10:30、下午17:00 更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"空氣品質監測日污染指標","xml","http://opendata.epa.gov.tw/ws/Data/AQXDaily/?format=xml","rawData","環保署將當日空氣品質監測站小時測值，經算數平均所得之每日平均值","測站編號(SiteId)、測站名稱(SiteName)、監測日期(MonitorDate)、空氣污染指標PSI(PSI)、二氧化硫PSI副指標(SO2SubIndex)、一氧化碳PSI副指標(COSubIndex)、臭氧PSI副指標(O3SubIndex)、懸浮微粒PSI副指標(PM10SubIndex)、二氧化氮PSI副指標(NO2SubIndex)","行政院環境保護署","每日更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"空氣品質監測日污染指標","json","http://opendata.epa.gov.tw/ws/Data/AQXDaily/?format=json","rawData","環保署將當日空氣品質監測站小時測值，經算數平均所得之每日平均值","測站編號(SiteId)、測站名稱(SiteName)、監測日期(MonitorDate)、空氣污染指標PSI(PSI)、二氧化硫PSI副指標(SO2SubIndex)、一氧化碳PSI副指標(COSubIndex)、臭氧PSI副指標(O3SubIndex)、懸浮微粒PSI副指標(PM10SubIndex)、二氧化氮PSI副指標(NO2SubIndex)","行政院環境保護署","每日更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"空氣品質監測日污染指標","csv","http://opendata.epa.gov.tw/ws/Data/AQXDaily/?format=csv","rawData","環保署將當日空氣品質監測站小時測值，經算數平均所得之每日平均值","測站編號(SiteId)、測站名稱(SiteName)、監測日期(MonitorDate)、空氣污染指標PSI(PSI)、二氧化硫PSI副指標(SO2SubIndex)、一氧化碳PSI副指標(COSubIndex)、臭氧PSI副指標(O3SubIndex)、懸浮微粒PSI副指標(PM10SubIndex)、二氧化氮PSI副指標(NO2SubIndex)","行政院環境保護署","每日更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","魏小姐","02-23117722#2311",""
"土壤及地下水污染場址基本資料","xml","http://opendata.epa.gov.tw/ws/Data/SGWC/?format=xml","rawData","土壤及地下水污染場址基本資料，含所在地主管機關公告之控制廠址及中央主管機關公告整治場址之名稱地址等基本資料","場址編號(SiteId)、場址名稱(SiteName)、公告管制文號(AnnoNo)、解除文號(DeAnnoNo)、縣市(County)、場址類型(SiteType)、場址使用狀態(SiteUse)、污染物質(Pollutant)、場址地址(PollutantAddress)、二度分帶X(TWD97) (TWD97TM2X)、二度分帶Y(TWD97) (TWD97TM2Y)、場址管制類型(ControlType)、公告管制日期(AnnoDate)、公告解除日期(DeAnnoDate)、場址面積(SiteAreaSize)、改善情形(Improve)、地段地號(LandNo)","行政院環境保護署","每天更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","尤先生","02-23832389#8108",""
"土壤及地下水污染場址基本資料","json","http://opendata.epa.gov.tw/ws/Data/SGWC/?format=json","rawData","土壤及地下水污染場址基本資料，含所在地主管機關公告之控制廠址及中央主管機關公告整治場址之名稱地址等基本資料","場址編號(SiteId)、場址名稱(SiteName)、公告管制文號(AnnoNo)、解除文號(DeAnnoNo)、縣市(County)、場址類型(SiteType)、場址使用狀態(SiteUse)、污染物質(Pollutant)、場址地址(PollutantAddress)、二度分帶X(TWD97) (TWD97TM2X)、二度分帶Y(TWD97) (TWD97TM2Y)、場址管制類型(ControlType)、公告管制日期(AnnoDate)、公告解除日期(DeAnnoDate)、場址面積(SiteAreaSize)、改善情形(Improve)、地段地號(LandNo)","行政院環境保護署","每天更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","尤先生","02-23832389#8108",""
"土壤及地下水污染場址基本資料","csv","http://opendata.epa.gov.tw/ws/Data/SGWC/?format=csv","rawData","土壤及地下水污染場址基本資料，含所在地主管機關公告之控制廠址及中央主管機關公告整治場址之名稱地址等基本資料","場址編號(SiteId)、場址名稱(SiteName)、公告管制文號(AnnoNo)、解除文號(DeAnnoNo)、縣市(County)、場址類型(SiteType)、場址使用狀態(SiteUse)、污染物質(Pollutant)、場址地址(PollutantAddress)、二度分帶X(TWD97) (TWD97TM2X)、二度分帶Y(TWD97) (TWD97TM2Y)、場址管制類型(ControlType)、公告管制日期(AnnoDate)、公告解除日期(DeAnnoDate)、場址面積(SiteAreaSize)、改善情形(Improve)、地段地號(LandNo)","行政院環境保護署","每天更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","尤先生","02-23832389#8108",""
"機車排氣定檢站資料","xml","http://opendata.epa.gov.tw/ws/Data/MOTOR/?format=xml","rawData","環保署為降低空氣污染排放量及確保機車於使用一段時間後，仍能達到排放標準，推動管制措施，由縣市環保局寄發檢驗通知單，通知機車至環保局認可之定檢站受檢，本資料提供全國認可之機車排氣定檢站基本資料","定檢站站號(SiteId)、定檢站名稱(SiteName)、定檢站電話(SiteTel)、定檢站地址(SiteAddress)","行政院環境保護署","每月更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","柏小姐","02-23712121#6306",""
"機車排氣定檢站資料","json","http://opendata.epa.gov.tw/ws/Data/MOTOR/?format=json","rawData","環保署為降低空氣污染排放量及確保機車於使用一段時間後，仍能達到排放標準，推動管制措施，由縣市環保局寄發檢驗通知單，通知機車至環保局認可之定檢站受檢，本資料提供全國認可之機車排氣定檢站基本資料","定檢站站號(SiteId)、定檢站名稱(SiteName)、定檢站電話(SiteTel)、定檢站地址(SiteAddress)","行政院環境保護署","每月更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","柏小姐","02-23712121#6306",""
"機車排氣定檢站資料","csv","http://opendata.epa.gov.tw/ws/Data/MOTOR/?format=csv","rawData","環保署為降低空氣污染排放量及確保機車於使用一段時間後，仍能達到排放標準，推動管制措施，由縣市環保局寄發檢驗通知單，通知機車至環保局認可之定檢站受檢，本資料提供全國認可之機車排氣定檢站基本資料","定檢站站號(SiteId)、定檢站名稱(SiteName)、定檢站電話(SiteTel)、定檢站地址(SiteAddress)","行政院環境保護署","每月更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","柏小姐","02-23712121#6306",""
"環境空氣戴奧辛監測資料","xml","http://opendata.epa.gov.tw/ws/Data/DIOXIN/?format=xml","rawData","各縣市空氣品質監測站每季所採樣空氣戴奧辛之濃度檢驗值","採樣日期(SampleDate)、空品區(AreaName)、縣市(County)、測站編號(SiteId)、測站名稱(SiteName)、採樣地點(SampleAddress)、採樣項目(SampleItem)、採樣值(SampleValue)、度量單位(ItemUnit)","行政院環境保護署","每季10號更新(2.5.8.11月)","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","周小姐","02-23712121#6216",""
"環境空氣戴奧辛監測資料","json","http://opendata.epa.gov.tw/ws/Data/DIOXIN/?format=json","rawData","各縣市空氣品質監測站每季所採樣空氣戴奧辛之濃度檢驗值","採樣日期(SampleDate)、空品區(AreaName)、縣市(County)、測站編號(SiteId)、測站名稱(SiteName)、採樣地點(SampleAddress)、採樣項目(SampleItem)、採樣值(SampleValue)、度量單位(ItemUnit)","行政院環境保護署","每季10號更新(2.5.8.11月)","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","周小姐","02-23712121#6216",""
"環境空氣戴奧辛監測資料","csv","http://opendata.epa.gov.tw/ws/Data/DIOXIN/?format=csv","rawData","各縣市空氣品質監測站每季所採樣空氣戴奧辛之濃度檢驗值","採樣日期(SampleDate)、空品區(AreaName)、縣市(County)、測站編號(SiteId)、測站名稱(SiteName)、採樣地點(SampleAddress)、採樣項目(SampleItem)、採樣值(SampleValue)、度量單位(ItemUnit)","行政院環境保護署","每季10號更新(2.5.8.11月)","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","周小姐","02-23712121#6216",""
"列管毒性化學物質毒理資料","xml","http://opendata.epa.gov.tw/ws/Data/TOXIC/?format=xml","rawData","環保署列管毒性化學物質辨識、防護與應變措施資料","毒化物列管編號(No)、CAS編號(CASNo)、中文名稱(Name)、英文名稱(EngName)、附件檔案(Attachment)","行政院環境保護署","每年更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","盧小姐","02-23117722#2872",""
"列管毒性化學物質毒理資料","json","http://opendata.epa.gov.tw/ws/Data/TOXIC/?format=json","rawData","環保署列管毒性化學物質辨識、防護與應變措施資料","毒化物列管編號(No)、CAS編號(CASNo)、中文名稱(Name)、英文名稱(EngName)、附件檔案(Attachment)","行政院環境保護署","每年更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","盧小姐","02-23117722#2872",""
