編號,通報時間,中文品名,英文品名,許可證字號,成分學名,劑型劑量,許可證持有藥商,短缺原因,預估解決時間,備註
"135","20140605","可體灌腸液１．６６７公絲？公撮（皮質醇）","CORTEMA ENEMA 1.667MG/ML ＂PURZER＂","衛署藥製字第038075號","HYDROCORTISONE","外用液劑","瑞安大藥廠股份有限公司","生產線整合及安排","可考慮以口服或注射方式給予Hydrocortisone，Prednisolone或Dexamethasone，或使用含有Mesalazine成分之浣腸劑型或口服藥品。上述方式皆無法改善病患病況時，可考慮注射Humira (Adalimumab)。","已恢復供應"
"136","20140102 20140109","米諾信乾粉注射劑100毫克(美諾四環素)","Mirosin 100 mg for imjection ＂Panbiotic＂","衛署藥製字第034352號","minocycline","100 mg乾粉注射","臺灣汎生製藥廠股份有限公司","TFDA公告下架回收，國內已無藥廠生產","以同成份口服劑型及不同成份替代藥品 (依細菌敏感測試)使用","建議優先以同成分、口服劑型作為取代，根據Johns Hopkins ABX Guide中資料顯示，藥品吸收率約為90%；如需使用針劑治療，建議依病人臨床上細菌敏感性測試結果選用適當藥品。若作為肋膜沾黏術(pleurodesis)的硬化劑使用，則可用picibanil(OK-432)、bleomycin或mitomycin C等化療藥品取代，或改用胸腔外科之機械性肋膜沾黏法(mechanical pleurodesis)。"
"143","20140219","","Proglycem/Diazoxide","無許可證","","","香港商艾維斯股份有限公司","因原廠將更換代理商，原代理商艾維斯已不再供貨，目前亦無庫存。","已找到可供應之廠商",""
"151","20131029","景德 欣舒敏眼藥膏","Cindecason Ophthalmic Ointment ＂Kingdom＂","衛署藥製字第047717號","NEOMYCIN SULFATE, DEXAMETHASONE SODIUM PHOSPHATE","點眼膏劑","景德製藥股份有限公司","停產(PIC/S改建)","已恢復供貨",""
"138","20140221 20140306","白蛋白注射劑","Plasbumin-25","衛署菌疫輸字第000197號","ALBUMIN HUMAN","12.5g/50mL/vial","天行貿易股份有限公司","因國際貨源短缺，無法供貨。","可用TBSF (20%) Human albumin (台灣血液基金會)、Albiomin 20%(禾利行)替代","有同成分、同劑型、同劑量藥品許可證共3 張，持續供應共 0 張。有同成分，不同劑型、劑量藥品許可證共11張，持續供應共7張"
"139","20140528, 20140630","第九凝血因子複合注射劑","Beriplex P/N","衛署菌疫輸字第000520號","Protein C, FACTOR II, FACTOR VII, FACTOR IX, FACTOR X, Protein S Antigen","凍晶乾燥注射劑","吉發企業股份有限公司","該公司考量藥品成本高出健保給付價格，公司無法負荷成本，故已停止該藥品進口。","一般多使用在血友病患者發生抗體治療使用，臨床上可以Feiba及Novoseven替代使用。Beriplex N/P 少數情況下使用於類血友病(von Willebrand disease)治療，此類血友病目前臨床上亦可以Haemate P和Alphanate治療。","Beriplex N/P 凝血因子複合注射劑，含第二、第七、第九、第十凝血因子，一般多使用在血友病患者發生抗體治療使用，藥品短缺時，臨床上可以Feiba及Novoseven替代使用。Beriplex N/P 少數情況下使用於類血友病(von Willebrand disease)治療，此類血友病目前臨床上亦可以Haemate P和Alphanate治療。經瞭解替代藥品製劑目前貨源應充足，暫無藥品短缺之虞。"
"141","20140623","安博黴素注射劑５００公絲","Ampolin for Injection 500 mg ampicillin/vial","衛署藥製字第001853號","AMPICILLIN SODIUM","500 mg ampicillin per vial/Injection","永豐化學工業股份有限公司","健保停止給付","已於6/30恢復健保價",""
"144","20140226","安挺樂 靜脈點滴注射劑","Actemra Solution for Infusion","衛署菌疫輸字第000907號","Tocilizumab","注射劑","臺灣中外製藥股份有限公司","因有三個批號外盒標示錯誤,標示正確的產品最快要5-6週後才能到台灣,廠商表明3/1起病人之治療將被迫中斷","目前是80 mg/4 ml的外盒標示錯誤，200 mg/10 ml供應正常。",""
"145","20140324","配尼西林Ｖ片４０００００單位","Penicillin V Tablets","內衛藥製字第002479號","Penicillin V pot.","400000U","中國化學製藥股份有限公司","停產或停止進口","可用BICILLIN L-A DISPOSABLE SYRINGE、AMOXICILLIN TRIHYDRATE 替代","Penicillin V適應症為具有感受性之蘭氏陽性菌屬如：肺炎球菌屬、鏈球菌屬、葡萄球菌屬、革蘭氏陰性菌、淋菌性感染等。臨床治療建議可改以抗菌範圍相似之Penicillin G Na inj或Amoxicillin取代。(經詢問廠商已有3年未生產)"
"146","20131105","巴斯德 五合一疫苗(白喉、百日咳、破傷風、小兒麻痺及b型流行性感冒嗜血桿菌疫苗)","PediacelTM","衛署菌疫輸字第000821號","","1 dose/0.5 mL /vial","賽諾菲股份有限公司","廠商表示國外原廠缺貨無法交貨","經評估後，若病人有此自費需求，各醫院可用庫存自費3合1疫苗再加上其他單方疫苗先行替代；此外，國光生技有生產破傷風疫苗，疾管署有批2合1疫苗庫存(破傷風加白喉)可供使用。","供應廠商:國光生技、疾管署"
"147","20140515","喜癒痔栓劑","XYLMOL SUPPOSITORY ＂SINPHAR＂","衛署藥製字第022200號","HYDROCORTISONE ACETATE, LIDOCAINE, ALUMINUM ACETATE, ZINC OXIDE","栓劑","杏輝藥品工業股份有限公司","原物料缺貨","建議使用不同成分但適應症相似替代藥品：JETOO SUPPOSITORIES(明德)與POSULINE SUPPOSITORIES(培力)。","國內有不同成份替代藥品可供使用，暫無醫療上問題。"
"148","20140423","鈣克康靜脈注射液","Calglon","衛署藥製字第058006號","Calcium gluconate 10%","100 mg/ml /amp","永豐化學工業股份有限公司","原料不足","Calglon/Calcium gluconate 10% 主要適應症為鈣的補充劑，可使用其他藥品暫時取代例如:Calcium Chloride","永豐製藥、聯邦製藥廠商告知國外原料商因為台灣進貨量不大，故優先處理其他國家使用，造成貨源不穩無法即時供應。"
"149","20140307","＂景德＂ 凱光錠６００公絲（帕芝奎）","kaicide tablets","衛署藥製字第029833號","PRAZIQUANTEL","600 MG","景德製藥股份有限公司","PIC/S轉換","已恢復供貨","TFDA經全國庫存統計調查後指出:雖庫存可使用時間與使用量均尚未確定，但剩餘存量應可撐過確認是否有代工廠決定承接及製造之日期(7月)。景德已委託衛達生產，8/1正常供貨。"
"150","20140210 20140630","四環黴素眼藥膏","TETRACYCLINE HCL","衛署藥製字第052555號 衛部藥製字第058129號 衛署藥製字第003697號","TETRACYCLINE HCL","眼藥膏","溫士頓醫藥股份有限公司 人人化學製藥股份有限公司 綠洲化學工業有限公司","PIC/S相關","目前人人已通過PIC/S GMP查核",""
"152","20131029","可而爽明眼藥膏","COLSAMIN EYE OINTMENT","衛署藥製字第006187號","NEOMYCIN (SULFATE), DEXAMETHASONE SODIUM PHOSPHATE","點眼膏劑","綠洲化學工業有限公司","廠商缺貨","經評估後，建議以類似成份之改採其他aminoglycoside-corticosteroid的眼藥膏配方",""
"154","20140804","無","Synacthen","專案進口藥品","Tetracosactide Hexaacetate","V/IM 0.25 mg/mL/amp與Depot 1 mg/1 mL/amp","台灣諾華股份有限公司","藥證到期、查驗登記未過或代理權變更","建議另專案進口美國FDA核准用於診斷腎上腺功能不全之其他廠牌的合成ACTH試劑，如 AMPHASTAR PHARMS INC 、MYLAN INSTITUTIONAL、SANDOZ 等品項",""
"162","20150107","恩博針筒裝注射劑","Enbrel 50mg solution for injection in pre-filled syringe","衛署菌疫輸字第 000846 號","ETANERCEPT","50mg/syringe","美商惠氏藥廠（亞洲）股份有限公司台灣分公司","供需不平衡、供貨延遲","已於1/26日回應恢復供貨，無缺藥之虞",""
"163","20150122","＂百合＂ 人白蛋白２０％","ALBIOMIN 20%","衛署菌疫輸字第000380號","HUMAN PLASMA PROTEINS","20% 50mL/bt","禾利行股份有限公司","供需不平衡、供貨延遲","已於104/01/23藥品恢復供應。往後若有短缺之用藥單位，可直接與輔凱張國聖0922-301365聯繫。","輔凱目前進口與供貨穩定，若有Albumin藥品短缺之醫療單位，可直接與該公司聯繫。聯絡人：張國聖0922-301365。"
"164","20140724","腹膜透析液","DIANEAL PERITONEAL DIALYSIS SOLUTION 5L","衛署藥輸字第022199號 衛署藥輸字第022198號 衛署藥輸字第022297號 衛署藥輸字第022299號","SODIUM LACTATE, CALCIUM CHLORIDE, MAGNESIUM CHLORIDE, SODIUM CHLORIDE, DEXTROSE HYDROUS, CALCIUM, CHLORIDE, MAGNESIUM, SODIUM, LACTOSE","透析用液劑","百特醫療產品股份有限公司","原料短缺","有不同規格替代品項可供使用，暫無醫療上問題。","已將詳細內容公佈於藥品短缺資訊網"
"165","20140807","使肺泰100準納乾粉吸入劑","SERETIDE 100 ACCUHALER INHALATION POWDER","衛署藥輸字第023202號","SALMETEROL XINAFOATE MICRONIZED, FLUTICASONE PROPIONATE MICRONIZED","Salmeterol 50 mcg; Fluticasone 100 mcg","GSK","因換廠導致產能不足","以該公司同成分不同劑型品項取代","目前國內此類藥品(Salmeterol+Fluticasone)吸入劑型皆為同一家廠商生產(經查該品因新廠尚未供貨，目前以舊包裝專案進口，應無短缺虞慮)"
"166","20140519","賀癌平凍晶注射劑４４０公絲","HERCEPTIN","衛署菌疫輸字第000625號","TRASTUZUMAB","凍晶注射劑","羅氏大藥廠股份有限公司","供需不平衡、供貨延遲","於藥品尚未空運來台期間，羅氏藥廠將主動協調該藥品之供應，確保每一位病人就醫用藥之權利。如需協助藥品供應，請洽羅氏呂雯榆經理 Phone: (02)25446610 email: lydia.lu@roche.com","2/25經詢問後廠商表示已能穩定供貨"
"167","20140206","優可注射液１公絲/公撮（唯克斯汀）","Leuka inj 1 mg/ml","衛署藥製字第029529號","VINCRISTINE SULFATE","1 mg/ml","優良化學製藥股份有限公司","廠商缺藥，無法正常供應所有需要的醫院","赫士睿(代理經銷商大用公司)已進口一批vincristine針劑，約4-7天內可出貨，約可供應國內半年所需。","104/2/25詢問赫士睿後確認供貨無虞"
"168","20150209","紐奧黴素膠囊２５０公絲","NEOMYCIN CAPSULES 250MG","衛署藥製字第 011518 號","Neomycin","250/Cap","順華藥品工業股份有限公司","與PIC/S相關","順華藥品公司已通過PIC/S認證，並無斷貨之虞。","經與順華藥品公司再確認其已於103年10月16日通過PIC/S認證，並無斷貨之虞。"
"169","20150209","舒眼康眼用懸浮液","Fluzocon Eye Drops","衛署藥製字第 049530 號","Fluorometholone Tetrahydrozoline","0.1%&0.025%/Eye Drops","溫士頓醫藥股份有限公司","與PIC/S相關","溫士頓藥品公司已於103年12月底通過PIC/S認證。","經與溫士頓藥品公司聯繫，確認已於103年12月底通過PIC/S認證，0.02%/5ml規格會短期缺貨，但0.02%/10ml及0.1%之規格並未斷供，可穩定供貨。"
"170","20150212","化痰能膠囊２００毫克（乙醯半胱胺酸）","FLUTAFIN CAPSULE 200MG (ACEFYLOYSTEINE)","衛署藥製字第030873號","Acetylcysteine","200mg/Cap","西德有機化學藥品股份有限公司","與PIC/S相關","建議以同成分、劑型、規格藥品ACETIN CAPSULES 200MG(藥證:衛署藥製字第025939號)替代使用，亦可改用其他同成分口服劑型。","目前國內生產Acetylcystein 200mg膠囊劑型僅剩一家製造廠-臺裕化學製藥廠股份有限公司，公司已通過PIC/S貨源充足且持續供應"
"171","20140807","普留淨注射劑","Proleukin for injection","衛署菌疫輸字第000650號","Aldesleukin","Aldesleukin 18 X 106 IU/凍晶乾燥注射劑","台灣諾華股份有限公司","國外廠房遷廠而無法供應藥品","104/3/5經詢問後表示已恢復供貨","目前國內無其他廠商在供應aldesleukin。"
"172","20150209","得立生錠（的剎美剎松）","DORISON TABLETS (DEXAMETHASONE) ＂ROYAL＂","衛署藥製字第 019643 號","Dexamethasone","4mg per Tab./TAB","皇佳化學製藥股份有限公司","與PIC/S相關","建議使用符合PIC/S之國內藥廠如生達、永信、杏輝、中化等所生產之同成分不同劑量之口服藥錠進行取代使用。","皇佳已過PIC/S，經3/6詢問後確定無缺藥之虞。"
"173","20150209","佳鉑帝靜脈注射液","PARAPLATIN IV INJECTION","衛署藥輸字第024074號","Carboplatin","450MG (1VLX45ML)/靜脈注射液","台灣必治妥施貴寶股份有限公司","生產線整合及安排","請尋求其他仍在供貨的同含量劑型(45 mL/vail)廠商進行替代，或可使用同廠商15 mL/vial暫代。","必治妥施貴寶的15 mL/vial劑型並無短缺，可作為短缺品項(45 mL/vial)替代使用。 若一定要45 mL/vail之包裝亦有其他廠商供應，且皆有45 mL及15 mL之劑型可供選用。"
"175","20140804","彼洛喜錠","Procid","衛署藥製字第007256號","Probenecid","500mg/tab","強生化學製藥廠股份有限公司","原料短缺","待原料恢復供應後公司評估市場需求，可再恢復生產probenecid","於104年4月7日詢問廠商後確認已恢復正常供貨"
"184","20150109","","Verorab","無","Inactivated Rabies Virus","2.5IU/vial 、0.5ml/dose","賽諾菲股份有限公司","藥證到期、查驗登記未過或代理權變更","1045/8已公告無缺藥之虞",""
"174","20150212","壓得疏靜脈輸注劑","SODIUM NITROPRUSSIDE FOR INTRAVENOUS INFUSION ＂DBL＂","衛署藥輸字第021879號","Nitroprusside","50mg/2ml/Inj","Hospira","停產或停止進口","預計104年3月至4月輸入到貨，建議短缺期間先以替代藥物治療，後續持續追蹤Nitroprusside到貨進度。","此為藥品訂貨進藥銜接時程而致的短缺問題，目前無缺藥"
"176","20150402","肌弛適　注射液２公絲/公撮","NIMBEX INJECTION 2MG/ML","衛署藥輸字第022770號","CISATRACURIUM BESYLATE","10mg/5ml/amp","荷商葛蘭素史克藥廠台灣分公司","供需不平衡、供貨延遲","104/04/09電聯葛蘭素史克藥廠股份有限公司，該公司Nimbex(cisatracurium)注射劑仍有庫存可正常供貨，無缺藥之疑慮。","若於缺貨時改以不同成分類似藥理作用之Atracurium替代使用(共計2張效期內持續供應藥品許可證)，免於醫療中斷。"
"177","20150423","達爾能持續性膠囊120毫克","Diltelan","衛署藥製字第048128","DILTIAZEM HYDROCHLORIDE","Capsules 120mg","友華生技醫葯股份有限公司","供需不平衡、供貨延遲","建議使用同成分同劑型有Progor 120mg/cap(天義企業)、Nakasser SR 120m/cap(南光製藥)","結案"
"178","20150428","力必平持續性藥效膜衣錠2毫克","Requip PD 2mg Prolonged Release Tablet","衛署藥輸字第025118號","ROPINIROLE HYDROCHLORIDE","2 mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","供需不平衡、供貨延遲","經與負責此藥品之廠商產品經理(Jenet)連絡後表示，Requip之原料於4/6-4/17曾有短缺的情況，導致廠商將藥品優先供貨於醫療院所，進而導致一般藥局有缺藥之情況，但此問題已於4/20後解決，目前並無原料或藥品短缺之情況。","目前已無原料或藥品短缺之情形"
"179","20150428","維諾拜注射液","Vinelbine Injection","衛署藥輸字第025489號","VINORELBINE TARTRATE","10mg/ml","台灣費森尤斯卡比股份有限公司","生產線整合及安排","另有其他廠商供應Vinelbine 10mg/vial及50mg/vial(如許可證資料)，故現無藥品短缺之虞。","此藥品為費森尤斯卡比公司製造，昱昇廠商為其物流供應商，經與費森尤斯卡比聯繫，其因今年4月份更換物流供應商為大昌華嘉，不由昱昇廠商配送，故實際並無藥品供應短缺問題。"
"180","20150209","＂景德＂雙羥??注射液２毫克/毫升","MITOXANTRONE INJECTION 2MG/ML ＂KINGDOM＂","衛署藥製字第033445號","Mitoxantrone","20mg,10ml/vial","景德製藥股份有限公司","因Mitoxantrone 20mg,10ml/vial持續性安定性試驗檢驗結果中不純物限量項目不符合規格,衛福部公告回收","104/55詢問景德後，表示可正常供貨。","除了mitoxantrone之外，尚有其他藥物可供臨床選用。"
"181","20150312","宜保安濃縮輸注液1毫克/毫升","Evoltra concentrate for solution for infusion","衛署藥輸字第025472號","Clofarabine","1mg/ml / concentrate for solution for infusion","賽諾菲股份有限公司","與PIC/S相關","104/5/5賽諾菲已恢復供貨。","如有短缺建議以其他成份藥品供臨床醫療選擇(包括Everolimus+hyper-CVAD、CAG regimen 等) 多種治療模式。"
"182","20150312","“國血製劑益康”(20%)人血清白蛋白注射劑","＂TBSF＂ (20%) Human Albumin Solution","衛署菌疫輸字第000842號","HUMAN ALBUMIN","20% 50mL/bt","醫療財團法人台灣血液基金會","供需不平衡、供貨延遲","104年5月確認已可解除短缺狀態。","經詢問各家廠商後得知目前Albumin廠商供應時間及數量皆很不穩定，大部份皆給合約廠商。"
"183","20140819","高卡路里輸液一號（開始液）","HICALIQ-1 ＂TERUMO＂","衛署藥輸字第009502號","POTASSIUM ACETATE, GLUCOSE, MAGNESIUM SULFATE, POTASSIUM PHOSPHATE MONOBASIC, CALCIUM GLUCONATE, ZINC SULFATE","注射劑","日商泰爾茂股份有限公司台北分公司","藥證到期、查驗登記未過或代理權變更","有替代藥品使用，暫無醫療上問題。","輸液的種類繁多，日商泰爾茂公司的高卡路里輸液，雖領有藥證。經與廠商確認後，廠商表示使用完畢後即斷貨。目前未有繼續生產的規劃。"
"185","20150415","＂瑪科隆＂佳立鈣錠500毫克","A-Cal Tablets 500mg ＂MACRO＂","衛署藥製字第057816號","CALCIUM CARBONATE","500mg/Tab","瑪科隆股份有限公司","供需不平衡、供貨延遲","104/5/8確認無缺藥之虞","由於calcium carbonate缺藥乃受原料藥不符藥品等級之影響，建議應追蹤廠商改善情形與可恢復正常供貨時程。"
"186","20150430","＂生達＂ 普治使可注射液（普斯克）","BUTYLSCOPOLAMINE BROMIDE","衛署藥製字第019505號","SCOPOLAMINE BROMOBUTYLATE","注射劑","生達化學製藥股份有限公司","停產或停止進口","有其他廠牌提供之同成分、同劑型、同劑量藥品替代使用","其他廠牌同成分規格藥品目前穩定供貨的藥廠有大豐製藥股份有限公司、壽元化學工業股份有限公司、南光化學製藥股份有限公司 、安星製藥股份有限公司，而永信藥品工業股份有限公司則可以從五月中起穩定供貨。"
"187","20150325","利蝨洗液（苯甲醯？酯）","B.B. LOTION ＂W.P.＂ (BENZYL BENZOATE)","衛署藥製字第039215號","BENZYL BENZOATE","100mL/BT","華盛頓製藥廠股份有限公司","與PIC/S相關","目前國內人人化學製藥公司仍有生產含同成份、同劑量、同劑型之外用液劑-疥寧洗劑 (Jalin lotion, 25% 150ml)，可做為替代用藥品項。","華盛頓製藥廠因尚未通過PIC/S認證，故無法供應滅疥洗液(Benzyl benzoate)。國內有其他家藥廠生產類似外用液劑，可做為替代使用。"
"188","20150327","＂景德＂息疥軟膏（γ－六氯苯）","SCABI CREAM (GAMMA-BHC) ＂KINGDOM＂","衛署藥製字第020964號","LINDANE","1% 10g/Tube","景德製藥股份有限公司","供需不平衡、供貨延遲","建議原通報單位逕向廠商了解供貨延遲之原因，如其無法達成供應穩定需求，建議可更換其他同成份品項使用。","依其有效成份(LINDANE)搜尋藥證，另有同劑型衛署藥製字第044252號一項，乳劑劑型衛署藥製字第010292號一項。(另內衛成製字第000538號複方軟膏劑標記不得製造)。"
"189","20150126","利度膚寧注射液","LIDOPHRINE INJECTION","內衛藥製字第005470號","EPINEPHRINE (ADRENALINEPIRENAMINE), LIDOCAINE HCL","20ML/VIAL","東洲化學製藥廠股份有限公司","與PIC/S相關","國內同成分藥品皆為小包裝（1-1.8 mL/支)，所含濃度略有差異但應不致於影響麻醉效果，主要供牙科使用。若需較大劑量，建議可以lidocaine及epinephrine單方藥品合併使用替代。","除牙科外，外科系別可能使用較大劑量，現有供應之藥品皆為小包裝，考慮使用方便性與成本，建議以單方藥品合併使用。"
"190","20150209","＂派頓＂ 愛樂淨外用液４％（克羅希西汀）","AIPISCRUB EXTERNAL SOLUTION 4%","衛署藥製字第036764號","CHLORHEXIDINE","4% 4000mL/solution","台灣派頓化學製藥股份有限公司","與PIC/S相關","有其他家藥廠生產含同成份之外用液劑替代。","台灣派頓公司由於目前尚未通過PIC/S故無法生產，預計104年3月後才可能復工製造。國內有其他家藥廠生產類似外用液劑，可做為替代使用。"
"191","20141013","益滋＂ 愛其地散","E-Z-HD","衛署藥輸字第023118號","barium sulfate","98%, 340 g/box-散劑","禾利行股份有限公司","停產或停止進口","建議以以下藥品替代: 鋇脫普液－１２０200mL/bag(金源貿易)、Barium sulfate 96% 派可散 10kg/pc (禾利行)","此次通報主要問題在於濃度不足，顯影不清上。而濃度不同的考量，在不同醫療院所間具有較大差異。已將此訊息告知禾利行，協助了解濃度不足的處理方式，惟禾利行無法在時間內回覆，會持續了解。禾利行確定不再代理進口E-Z-HD for Suspension/barium sulfate ，全面改用Barium sulfate 96% 10kg/pc的品項。"
"192","20150428","＂杏輝＂可立舒軟膏0.5毫克/公克（可洛貝他索）","CLOBETASOL OINTMENT 0.5MG/GM ＂SINPHAR＂","衛署藥輸字第028562號","CLOBETASOL-17-PROPIONATE","7gm/Tu","杏輝藥品工業股份有限公司","生產線整合及安排","台灣領有該成分藥證的許可證共有184張，如醫院有斷藥之虞，可聯絡寶齡富錦、井田製藥(僅生產20克)、永勝藥品(僅生產7克)、政德製藥等藥商可立即供貨。","本通報短缺藥品clobetasol軟膏7GM/TUBE係由杏輝出產，經聯絡杏輝確認是由於原料供貨問題，最快預計5/11方能恢復供貨。目前供貨端仍在處理中，故無法完全確定5/11可如期恢復生產線。經調查了解同劑量成份同劑型有多家廠牌可供採購，應無醫療中斷之虞。"
"193","20150428","＂杏輝＂ 杏聯軟膏","SINQUART CREAM ＂SINPHAR＂","衛署藥製字第019615號","IODOCHLORHYDROXYQUIN, GENTAMICIN (AS SULFATE), BETAMETHASONE 17-VALERATE, TOLNAFTATE","10gm/Tu","杏輝藥品工業股份有限公司","生產線整合及安排","建議使用同成分同劑型之藥品（藥製020998）","確認國內同成分同劑型有BEGTI CREAM (生達化學製藥)，建議醫院逕與生達化學製藥聯繫購買，無需啟動缺藥處理機制。"
