試驗藥品非監視新藥成分,申請者,許可證,報告書BA,報告書BE,報告書Dis,報告書核准日期,對照品商品名,對照品製造廠名,國別
"Niacin ER tab 500mg","健喬信元","衛部藥製 059259","","Y","","1050624","Niaspan ER tab 500mg","AbbVie Ltd.","Puerto Rico"
"Nifedipine cap 5mg","永信","衛署藥製 028131","","","Y","881005","Alat cap 10mg","永信","Taiwan"
"Nifedipine cap 5mg","南光","衛署藥製 035637","","","Y","880201","Posipin cap 10mg","南光","Taiwan"
"Nifedipine cap 5mg","曼哈頓","衛署藥輸 022593","","Y","","880730","Adalat cap 5mg","Bayer AG","Germany"
"Nifedipine cap 5mg","漁人","衛署藥製 038154","","","Y","880930","Ajulate soft cap 10mg","漁人","Taiwan"
"Nifedipine cap 5mg","賜茂","衛署藥輸 020567","","Y","","881026","Adalat cap 5mg","Bayer AG","Germany"
"Nifedipine cap 10mg","大赫","衛署藥輸 019087","","Y","","870826","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","大赫","衛署藥輸 016226","","Y","","870923","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","中國化學","衛署藥製 038996","","Y","","850708","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","井田","衛署藥製 040168","","Y","","870826","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","永信","衛署藥製 032801","","Y","","880706","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","長瀨","衛署藥輸 018802","","Y","","871014","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","南光","衛署藥製 029059","","Y","","870915","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","皇佳","衛署藥製 024018","","Y","","881005","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","曼哈頓","衛署藥輸 015670","","Y","","880430","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","盛益","衛署藥輸 018414","","Y","","880202","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","萬凱","衛署藥輸 016082","","Y","","880416","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","漁人","衛署藥製 035891","","Y","","870624","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","衛達","衛署藥製 027439","","Y","","880202","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","賜茂","衛署藥輸 020568","","Y","","880719","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","諾華","衛署藥輸 019073","","Y","","880809","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","優生","衛署藥製 029436","","Y","","891023","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 10mg","雙正","衛署藥輸 022401","","Y","","880202","Adalat cap 10mg","Bayer AG","Germany"
"Nifedipine cap 5mg","大赫","衛署藥輸 018026","","","Y","890425","Alonix S cap 10mg","Sawai pharma.","Japan"
"Nifedipine ER tab 30mg","生達","衛部藥製 058075","","Y","","1020715","Adalat OROS tab 30mg","Bayer AG","Germany"
"Nifedipine PR tab 30mg","明生","衛部藥輸 026274","","Y","","1011121","Adalat OROS 30 mg","Bayer Schering Pharma AG","Germany"
"Nifedipine Retard tab 20mg","皇佳","衛署藥製 041058","","Y","","851114","Adalat Retard tab 20mg","諾華","Taiwan"
"Nifedipine SR tab 30mg","中國化學","衛署藥製 045177","","Y","","911001","Adalat oros 30 SR tab 30mg","Pfizer","Puerto Rico"
"Nimetazepam tab 3mg","瑞士","衛署藥製 045829","","","Y","960131","Lavol tab 5mg","瑞士","Japan"
"Nimetazepam tab 5mg","瑞士","衛署藥製 045892","","Y","","951114","Erimin tab 5mg","Sumitomo","Japan"
"Oxybutynin ER tab 5mg","格利","衛署藥製 049153","Y","","","961009","Ditropan IR tab 5mg","Hoechst Marion","US"
"Oxybutynin ER tab 5mg","元豐泰","衛署藥製 057414","","Y","","1000616","Oxbu ER tab 5mg","健亞","Taiwan"
"Oxybutynin ER tab 5mg","健喬信元","衛署藥製 049153","","","Y","1010628","Oxbu ER tab 5mg","健喬信元","Taiwan"
"Pentoxifylline tab 100mg","永信","衛署藥製 027001","","Y","","940928","Trental tab 100mg","Hoechst","Taiwan"
"Pentoxifylline SR tab 100mg","壽元","衛署藥製 039547","","Y","","850625","Trental SR tab 100mg","Hoechst","Taiwan"
"Pentoxifylline SR tab 400mg","中國化學","衛署藥製 039087","","Y","","840220","Trental SR tab 400mg","Hoechst","Germany"
"Pentoxifylline SR tab 400mg","正和","衛署藥製 041488","","Y","","860610","Trental SR tab 400mg","Hoechst","Taiwan"
"Pentoxifylline SR tab 400mg","永信","衛署藥製 048575","","Y","","951030","Trental SR tab 400mg","Aventis","Taiwan"
"Pentoxifylline SR tab 400mg","全福","衛署藥製 041038","","Y","","860313","Trental SR tab 400mg","Hoechst","Germany"
"Pentoxifylline SR tab 400mg","回春堂","衛署藥製 040812","","Y","","851018","Trental SR tab 400mg","Hoechst","Germany"
"Pentoxifylline SR tab 400mg","信元","衛署藥製 039858","","Y","","850214","Trental SR tab 400mg","Hoechst","Germany"
"Pentoxifylline SR tab 400mg","信東","衛署藥製 034157","","Y","","800709","Trental SR tab 400mg","Hoechst","Taiwan"
"Pentoxifylline SR tab 400mg","南光","衛署藥製 041389","","Y","","860128","Trental SR tab 400mg","Hoechst","Germany"
"Pentoxifylline SR tab 400mg","美時","衛署藥製 040399","","Y","","850913","Trental SR tab 400mg","Hoechst","Taiwan"
"Pentoxifylline SR tab 400mg","優生","衛署藥製 041535","","Y","","860712","Trental SR tab 400mg","Hoechst","Taiwan"
"Phenylpropanolamine SR cap 75mg","七懋","衛署藥輸 018498","","Y","","790918","Dexatrim extended release cap 75mg","Thompson Medical","US"
"Phenylpropanolamine SR cap 75mg","大赫","衛署藥輸 022723","","Y","","880330","Capton SR cap 75mg","Dexo","France"
"Phenylpropanolamine SR cap 75mg","日康","衛署藥製 044610","","","Y","900808","Capton SR cap 75mg","Dexo","France"
"Phenylpropanolamine SR cap 75mg","華興","衛署藥製 042594","","Y","","870818","Capton SR cap 75mg","Dexo","France"
"Pipoxolan tab 10mg","衛道","衛署藥製 042511","","Y","","910729","Rowapraxin tab 10mg","Rowa-Wagner","Germany"
"Piracetam gran. for oral soln 2400mg","健喬信元","衛署藥製 048727","","Y","","980326","Nootropil gran. for oral soln 2400mg","UCB","Belgium"
"Piracetam cap 400mg (104.6.23 註銷BE核備函)","中國化學","衛署藥製 037217","","Y","","920206","Nootropil cap 400mg","UCB","Belgium"
"Piracetam cap 400mg","生達","衛署藥製 028921","","Y","","880205","Nootropil cap 400mg","UCB","Belgium"
"Piracetam cap 400mg","育生","衛署藥製 046105","","Y","","931001","Nootropil cap 400mg","UCB","Belgium"
"Piracetam tab 1200mg (103.11.20 註銷BE核備函)","生達","衛署藥製 047147","","Y","","931008","Nootropil tab 1200mg","UCB","Belgium"
"Piracetam tab 1200mg","永信","衛署藥製 047679","","Y","","960418","Nootropil tab 1200mg","UCB","Belgium"
"Piracetam tab 1200mg","光鑫","衛署藥製 045412","","Y","","950303","Nootropil tab 1200mg","UCB","Belgium"
"Piracetam tab 1200mg","南光","衛署藥製 045412","","Y","","920422","Nootropil tab 1200mg","UCB","Belgium"
"Piracetam tab 1200mg (104.8.28 註銷BE核備函)","萬菱","衛署藥製 046525","","Y","","930812","Nootropil tab 1200mg","UCB","Belgium"
"Piroxicam cap 10mg","生達","衛署藥製 025446","","Y","","860628","Feldene cap 10mg","Pfizer","Taiwan"
"Piroxicam cap 10mg","榮民","衛署藥製 026870","","Y","","830310","Feldene cap 10mg","Pfizer","US"
"Piroxicam cap 10mg","雙正","衛署藥輸 009264","","Y","","790420","Feldene cap 10mg","Pfizer","Taiwan"
"Piroxicam cap 20mg","華興","衛署藥製 024020","","Y","","920218","Feldene cap 10mg","Pfizer","France"
"Piroxicam oral solution 200mg/ml","晟德","衛署藥製 050206","","Y","","990824","Nootropil oral solution 200mg/ml","UCB","Belgium"
"Piroxicam tab 20mg","吉富","衛署藥輸 020261","Y","","","940421","Feldene cap 10mg","Pfizer","France"
"Piroxicam tab 20mg","信東","衛署藥製 042521","","Y","","890417","Feldene tab 20mg","Pfizer","France"
"Prednisolone Sodium Phosphate Oral Solution 1.344mg/ml","濟生化學","衛署藥製 057385","","Y","","1010925","Kidsolone ORAL SOLUTION ＂CENTER＂ 1.344 mg/ml","晟德","Taiwan"
"Propafenone tab 150mg","台灣東洋","衛署藥製 050210","","Y","","980424","Rytmonorm tab 150mg","Abbott","Germany"
"Propranolol tab 40mg","榮民","衛署藥製 019875","","Y","","820310","Inderal tab 40mg","Zeneca(I.C.I.)","UK"
"Pseudoephedrine HCl SR tab 120mg","永信","衛署藥製 049760","","Y","","960831","Fedcen SR tab 120 mg","美時","Taiwan"
"Pyrazinamide tab 500mg","培力","衛署藥製 038104","","Y","","930907","Pyramide tab 250mg","Sankyo","Japan"
"Rifampin cap 150mg","中國化學","衛署藥製 004675","","","Y","851008","Rifadin cap 150mg","Gruppo Lepetit","Italy"
"Rifampin cap 150mg","永信","衛署藥製 013627","","","Y","870925","Rifampicin cap 300mg","永信","Taiwan"
"Rifampin cap 150mg","永豐","衛署藥製 003851","","","Y","880407","Ripolin cap 300mg","永豐","Taiwan"
"Rifampin cap 150mg","利達","衛署藥製 008311","","","Y","880304","Rifampicin cap 300mg","利達","Taiwan"
"Rifampin cap 150mg","景德","衛署藥製 013011","","","Y","880112","Ripin cap 300mg","景德","Taiwan"
"Rifampin cap 150mg","溫士頓","衛署藥製 015118","","","Y","870921","Rifadin cap 150mg","Gruppo Lepetit","Italy"
"Rifampin cap 300mg","中國化學","衛署藥製 004676","","","Y","851014","Rifadin cap 300mg","Gruppo Lepetit","Italy"
"Rifampin cap 300mg","元宙","衛署藥製 024838","","Y","","860804","Rifadin cap 300mg","Gruppo Lepetit","Italy"
"Rifampin cap 300mg","永信","衛署藥製 016953","","Y","","870616","Rifadin cap 300mg","Gruppo Lepetit","Italy"
"Rifampin cap 300mg","永豐","衛署藥製 003852","","Y","","870203","Rifadin cap 300mg","Gruppo Lepetit","Italy"
"Rifampin cap 300mg","利達","衛署藥製 008310","","Y","","870317","Rifadin cap 300mg","Gruppo Lepetit","Italy"
"Rifampin cap 300mg","國嘉","衛署藥製 044061","","Y","","891021","Rifadin cap 300mg","Gruppo Lepetit","Italy"
"Rifampin cap 300mg","景德","衛署藥製 028140","","Y","","861209","Rifadin cap 300mg","Gruppo Lepetit","Italy"
"Rifampin cap 300mg","溫士頓","衛署藥製 014233","","","Y","870821","Rifadin cap 150mg","Gruppo Lepetit","Italy"
"Rifampin cap 300mg","榮民","衛署藥製 019976","","","Y","880201","Rifampin cap 450mg","榮民製藥","Taiwan"
"Rifampin cap 300mg","濟時","衛署藥製 017594","","Y","","860923","Rifadin cap 300mg","Gruppo Lepetit","Italy"
"Rifampin cap 300mg","羅得","衛署藥製 031234","","Y","","870122","Rifadin cap 300mg","Gruppo Lepetit","Italy"
"Rifampin cap 450mg","中國化學","衛署藥製 015100","","","Y","851213","Rifadin cap 150mg+300mg","Gruppo Lepetit","Italy"
"Rifampin cap 450mg","溫士頓","衛署藥製 015405","","Y","","870331","Rifadin cap 150mg","Gruppo Lepetit","Italy"
"Rifampin cap 450mg","榮民","衛署藥製 021706","","Y","","870518","Rifadin cap 150mg+300mg","Gruppo Lepetit","Italy"
"Rifampin/ Isoniazid cap 300mg/150mg","培力","衛署藥製 037167","","Y","","880719","Rifinah 300 tab","Gruppo Lepetit","Italy"
"Salmon calcitonin salmon inj 50IU/ml","瑞安","衛署藥製 039894","","Y","","880223","Miacalcic inj 50IU/ml","Sandoz","Switzerland"
"Selegiline tab 5mg (103.7.25 註銷BE核備函)","美時","衛署藥製 036215","","Y","","910902","Jumexal tab 5mg","Labatec","Switzerland"
"Sulfasalazine tab 500mg","信東","衛署藥製 043929","","Y","","920807","Salazopyrin tab 500mg","Pharmacia AB","Sweden"
"Sulfinpyrazone tab 100mg (103.7.25 註銷BE核備函)","台灣東洋","衛署藥製 041673","","Y","","890905","Anturaane tab 100mg","Ciba","US"
"Sulindac tab 200mg","中國化學","衛署藥製 042384","","Y","","870701","Clinoril tab 200mg","M.S.D.","US"
"Sulindac tab 200mg","世達","衛署藥製 026677","","Y","","860121","Clinoril tab 200mg","M.S.D.","US"
"Sulindac tab 200mg","永信","衛署藥製 038956","","Y","","870604","Clinoril tab 200mg","M.S.D.","Australia"
"Sulindac tab 200mg","衛達","衛署藥製 037376","","Y","","870120","Clinoril tab 200mg","M.S.D.","US"
"Sulindac tab 200mg","優生","衛署藥製 030612","","Y","","880212","Clinoril tab 200mg","M.S.D.","US"
"Sulpiride tab 100mg","大赫","衛署藥輸 016375","","","Y","881123","Betamac tab 200mg","大赫","Taiwan"
"Sulpiride tab 200mg (104.6.23 註銷BE核備函)","合誠","衛署藥製 039257","","Y","","840613","Dogmatyl tab 200mg","Fujisawa","Taiwan"
"Sulpiride tab 200mg (104.10.5 註銷BE核備函)","瑞士","衛署藥製 040545","","Y","","861119","Dogmatyl tab 200mg","Fujisawa","Taiwan"
"Sulpiride tab 200mg","大赫","衛署藥輸 016466","","Y","","880810","Dogmatyl tab 200mg","Fujisawa","Taiwan"
"Sulpiride tab 200mg","東竹","衛署藥製 047418","","Y","","940707","Dogmatyl tab 200mg","Fujisawa","Taiwan"
"Sulpiride tab 200mg","信東","衛署藥製 028078","","Y","","890504","Dogmatyl tab 200mg","Fujisawa","Taiwan"
"Sulpiride tab 200mg","華盛頓","衛署藥製 049049","","","Y","980309","Sulgin tab 400mg","華盛頓","Taiwan"
"Sulpiride tab 200mg","優生","衛署藥製 033387","","Y","","831201","Dogmatyl tab 200mg","Fujisawa","Taiwan"
"Sulpiride tab 400mg","東竹","衛署藥製 048500","","","Y","941202","Suride tab 200mg","東竹","Taiwan"
"Sulpiride tab 400mg","華盛頓","衛署藥製 046663","","Y","","950718","Dogmatyl tab 200mg","藤澤","Taiwan"
"Sulpiride tab 50mg","大赫","衛署藥輸 022828","","Y","","910619","Dogmatyl tab 50mg","Fujisawa","Taiwan"
"Sulpiride tab 50mg","培力","衛署藥製 042946","","Y","","880817","Dogmatyl tab 50mg","Fujisawa","Taiwan"
"Sulpiride tab 50mg","淺士多","衛署藥製 023825","","Y","","910410","Dogmatyl tab 50mg","Fujisawa","Taiwan"
"Sulpiride tab 50mg","瑪科隆","衛署藥製 036506","","Y","","920513","Dogmatyl tab 50mg","Fujisawa","Taiwan"
"Tamoxifen tab 10mg","台灣東洋","衛署藥製 036400","","Y","","951030","Nolvadex tab 10mg","AstraZeneca","UK"
"Terbutaline tab 2.5mg (104.9.8 註銷BE核備函)","中國化學","衛署藥製 037396","","Y","","871017","Bricanyl tab 2.5mg","AB Astra","Sweden"
"Theophylline SR cap 125mg","英普","衛署藥製 047791","","","Y","941109","Thoin SR cap 250mg","永勝","Taiwan"
"Theophylline SR cap 125mg","惠勝","衛署藥製 045539","","","Y","911209","Thoin SR cap 250mg","永勝","Taiwan"
"Theophylline SR cap 250mg","永勝","衛署藥製 044689","","Y","","901004","Theovent L.A. SR cap 250mg","Schering-Plough","France"
"Theophylline SR tab 200mg","生達","衛署藥製 044498","","Y","","900402","Uniphyllin Continus tab 200mg","Napp","UK"
"Theophylline SR tab 250mg","培力","衛署藥製 044418","","Y","","900319","Euphyllin Retard tab 250mg","Bky","Germany"
"Tiaprofenic acid tab 200mg (103.7.17 註銷BE核備函)","五洲","衛署藥製 037934","","Y","","881215","Surgem tab 200mg","Hoechst","Taiwan"
"Tiaprofenic acid tab 200mg","政德","衛署藥製 039518","","Y","","860726","Surgem tab 200mg","Hoechst","Taiwan"
"Ticlopidine tab 100mg (104.10.5 註銷BE核備函)","瑞士","衛署藥製 041251","","Y","","870824","Panaldine tab 100mg","台灣第一製藥","Taiwan"
"Ticlopidine tab 100mg","台灣東洋","衛署藥製 031596","","Y","","790903","Panaldine tab 100mg","台灣第一製藥","Taiwan"
"Ticlopidine tab 250mg","台灣東洋","衛署藥製 033091","","Y","","950802","Ticlid tab 250mg","Sanofi Synthelabo","Spain"
"Tolperisone tab 150mg (103.9.5 註銷BE核備函)","育生","衛署藥製 046184","","Y","","940510","Mydocalm tab 150mg","Labatec-Pharma","Switzerland"
"Tranexamic acid cap 250mg","生達","衛署藥製 041226","","Y","","910501","Transamin cap 250mg","台灣第一製藥","Taiwan"
"Valproate sodium/ Valproic acid SR tab 300mg","信東","衛署藥製 057264","","","Y","1010329","Dipachro S.R. tab 500mg","信東","Taiwan"
"Valproate sodium/ Valproic acid SR tab 333mg/145mg","信東","衛署藥製 046524","","Y","","930602","Depakine SR tab 500mg","Sanofi winthrop industrie","France"
"Valproate sodium/ Valproic acid SR tab 333mg/145mg","景德","衛部藥製 058029","","Y","","1011025","DEPAKINE Chrono SR tab 500mg","Sanofi Winthrop Industrie","France"
"Valproate sodium/ Valproic acid SR tab 333mg/145mg","瑞安","衛署藥製 047553","","Y","","940808","Depakine SR tab 500mg","Sanofi Winthrop","France"
"Valproate sodium/ Valproic acid SR tab 333mg/145mg","萬菱","衛署藥製 048878","","Y","","960626","Depakine Chrono tab 500mg","Sanofi Winthrop","France"
"Verapamil SR cap 120mg","南光","衛署藥製 045440","","Y","","911024","Verelan C.R. cap 120mg","Elan","Ireland"
"Verapamil SR tab 240mg","永信","衛署藥製 037229","","Y","","821217","Isoptin SR tab 240mg","Knoll","Germany"
"Warfarin tab 1mg","恒振","衛署藥製 052559","","","Y","991119","Marfarin tab 5mg","衛達","Taiwan"
"Warfarin tab 2.5mg","恆振","衛署藥製 050423","","","Y","990712","Mafarin tab 5mg","衛達化學","Taiwan"
"Warfarin tab 5mg","恆振","衛署藥製 050095","","Y","","981021","Coumadin tab 5mg","Bristol-Myers Squibb","US"
