證書編號,縣市別,類別,廠商名稱,負責人,地址,電話,證書狀況,證書有效期限,最大安全生產量,食品衛生管理專責人員,管制小組成員,承包商名稱,承包商負責人,承包商地址,承包商電話,備註
"衛評餐服字第135號","花蓮縣","餐飲服務業","台灣基督教門諾會醫療財團法人門諾醫院壽豐分院中央廚房供膳場所(新美崙企業有限公司壽豐營業處承包)","王迺燕","974 壽豐鄉 共和村魚池52號","03-8664600","展延(有效)","2018-01-03","5,400","郭O佑","營養師 張O儀資源開發管理中心資深高專 林O桂新美崙企業有限公司壽豐分院供膳組組長 邱O淨衛生管理專責人員 郭O佑","","","","",""
"衛評餐服字第136號","臺北市","餐飲服務業","財團法人台灣敦睦聯誼會所屬作業組織圓山大飯店宴會廳","李建榮","111 士林區 中山北路四段一巷一號","02-28861818","廢止","2015-02-22","600","王O琪","食品衛生管理專責人員暨餐務部副理 王O琪餐服經理 莊O嬌副主廚 林O圳","","","","",""
"衛評餐服字第145號","新竹市","餐飲服務業","國立臺灣大學醫學院附設醫院新竹分院供膳場所","洪冠予","300 北區 金華里經國路一段442巷25號","03-5326151","展延(有效)","2019-07-09","1,000","傅O梅","食品衛生管理專責人員暨營養師 傅O梅營養師主任 歐OO美營養師 黃O俐廚師兼領班 梁O琴營養師 楊O玲","","","","",""
"衛評餐服字第146號","嘉義市","餐飲服務業","臺中榮民總醫院嘉義分院供膳場所","胡昌國","600 西區 世賢路2段600號","05-2359630","廢止","2015-07-18","1,500","陳O真","食品衛生管理專責人員暨營養師 陳O真營養師 溫O婷 營養師 洪O徽 ＂","大道食品有限公司","趙瑞美","臺南市中西區大福街6號","06-2223305",""
"衛評餐服字第147號","臺南市","餐飲服務業","國立成功大學醫學院附設醫院供膳場所","楊俊佑","717 北區 臺南市勝利路138號","06-2353535","展延(有效)","2019-08-16","2,520","鄭O華、謝O雯","營養師暨伙食供應組組長 孔O瑞衛生管理專責人員暨營養師 鄭O華 衛生管理專責人員 謝O雯營養部主任 郭O娥 病人供膳領班 洪O娟","","","","",""
"衛評餐服字第153號","高雄市","餐飲服務業","寒軒國際大飯店股份有限公司宴會中餐廳","崔鐵柱","802 苓雅區 四維三路33號","07-3322000","廢止","2015-11-06","2,000","梁O禎","食品衛生管理專責人員暨行政總主廚 梁O禎行銷企劃部總監 李O英安管員 陳O琳A級領班 呂O華","","","","",""
"衛評餐服字第161號","臺中市","餐飲服務業","臺中市國安國小午餐廚房","賴秀英","407 西屯區 國祥街1號","04-24616011","展延(有效)","2017-12-31","5,000","陳O原","營養師 吳O怡課長 羅O珍校園營養師 林O娟","怡饗美食股份有限公司","劉榮泉","臺中市西屯區工業區十路11-1號","04-23593799",""
"衛評餐服字第175號","花蓮縣","餐飲服務業","雲朗觀光股份有限公司花蓮分公司(翰品酒店-怡華中餐廳)","查曉珊","970 花蓮市 永興路2號","03-8235388","廢止","2016-02-11","440餐食份/日","林O雄","衛生管理人員 彭O淡餐飲部協理 林O珍總務專員 周O宇","","","","05-5882573",""
"衛評餐服字第163號","新北市","餐飲服務業","天主教光仁學校財團法人新北市光仁高級中學供膳場所","江書良","22067 板橋區 中山路二段255巷18號","02-29554736","展延(有效)","2018-01-07","3,600","洪O琪","承包商負責人 林O廷主廚 張O成光中午餐秘書 邱O坊","上林餐飲事業股份有限公司","林漢廷","新北市新店區寶興路45巷8弄6號1樓","02-29102502",""
"衛評餐服字第165號","臺北市","餐飲服務業","臺北榮民總醫院營養部病患廚房","張德明","600 北投區 石牌路二段201號","02-28757475","展延(有效)","2018-07-06","10800","王O舜","衛生管理專責人員暨契約營養師 王O舜營養師暨膳食管理科主任 黃O華營養師 曾O玲廚房管理員 陳O梅廚師 林OO英","","","","",""
"衛評餐服字第168號","桃園市","餐飲服務業","南崁國民小學中央廚房","鄧克文","338 蘆竹鄉 吉林路160號","03-3115578","展延(有效)","2018-02-06","5000","李O惠","衛生管理專責人員 李O惠校方營養師 傅O儀主廚 林O凱行政主廚 林O銘","軒泰食品有限公司","王派順","桃園縣平鎮市民族路雙連三段37之2號2樓","03-4200919",""
"衛評餐服字第169號","屏東縣","餐飲服務業","寶建醫療財團法人寶建醫院供膳場所","黃裕堯","900 屏東市 自由路650-1號","08-7665995","展延(有效)","2018-02-06","600 餐時份/日","黃O倫","衛生管理專責人員 黃O倫品質管理人員 王O元店長 邱O鳳院方營養師代表 林O儀","嘉軒美食有限公司","莊文中","屏東縣麟洛鄉中華路91號1樓","08-7211650",""
"衛評餐服字第171號","彰化縣","餐飲服務業","彰化縣立和仁國民小學午餐廚房","馮幼中","508 和美鎮 仁愛路279號","04-7566922","展延(有效)","2018-07-09","6000","劉O姍","衛生管理專責人員 劉O姍經理 徐O成午餐秘書 吳O昀","梅景食品股份有限公司","黃信允","雲林縣西螺鎮福田里社口68-19號","05-5882573",""
"衛評餐服字第173號","新竹市","餐飲服務業","新唐科技股份有限公司員工餐廳","焦佑鈞","300 東區 研新三路4號","03-5770066","廢止","2016-02-06","900餐食份/日","彭O德","衛生管理專責人員暨專業經理 彭O德衛生管理人員暨管理師 曾O旭衛生管理人員暨工程師 鄭O諭部經理 曾O修處長 江O媛","膳鮮食品有限公司；懷石餐飲股份有限公司","謝桂珍；吳世景","新竹縣竹東鎮二重里中央路50號1樓；新竹市金山里光復路一段89巷112號1樓","03-5837615；02-5787355",""
"衛評餐服字第178號","臺北市","餐飲服務業","臺北市私立靜修女子高級中學供膳場所","歐陽台英","103 大同區 寧夏路59號","02-25574345","展延(有效)","2018-02-21","2,200餐食份/日","張O雯","衛生管理專責人員既營養師 張O雯主廚 羅O辰總務組組長 陳O靜","上林餐飲事業股份有限公司","林漢廷","新北市新店區寶興路45巷8弄6號","02-29102502",""
"衛評餐服字第182號","臺北市","餐飲服務業","豐隆大飯店股份有限公司(台北君悅大飯店會議宴會部-中式廚房)","郭令明","110 信義區 松壽路2號","02-27201200","廢止","2016-07-17","720","李O鎮","衛生管理專責人員 李O鎮執行副總主廚 陳O烽會議宴會部副主廚 江O易","","","","","中華民國103年12月11日FDA食字第1030049390號函公布"
"衛評餐服字第183號","高雄市","餐飲服務業","高雄市立小港醫院供膳場所","吳文正","812 小港區 山明路482號","07-8036783","展延(有效)","2018-07-31","1,000","王O萍","衛生管理專責人員暨營養師 王O萍營養室主任 侯O伶營養師 謝O珮","","","","","中華民國103年8月4日FDA食字第1030029394號函公布"
"衛評餐服字第184號","高雄市","餐飲服務業","高雄市立大同醫院營養室供膳場所(委託財團法人私立高雄醫學大學附設中和紀念醫院經營)","侯明鋒","801 前金區 中華三路68號","07-2911101","展延(有效)","2018-08-31","1,500","黃O樺","營養師 高O珊營養師兼主任 吳O盈食品衛生管理人員暨營養師 黃O樺","","","","",""
"衛評餐服字第189號","基隆市","餐飲服務業","衛生福利部基隆醫院供膳場所","王文彥","201 信義區 信二路268號","02-24292525","廢止","2016-10-13","2,100","黃O淳","供膳營養師 張O敏營養師 李O蕙營養師 張O婷衛生管理專責人員 黃O淳","米之香食品有限公司","謝騏安","高雄市三民區建工路776號13樓","07-7021966",""
"衛評餐服字第190號","臺北市","餐飲服務業","康華大飯店股份有限公司(中餐廳廚房)","康車","104 中山區 松江路306號","02-25215151","廢止","2016-12-02","1,000","曾O柔","中廚房副主廚 鄭O俊中廚房行政主廚 蘇O祿餐飲部專員 曾O柔","","","","","中華民國103年11月28日FDA食字第1030047437號函公布"
"衛評餐服字第192號","新北市","餐飲服務業","新北市淡水區新市國民小學供膳場所","林建棕","251 淡水區 中山北路二段200號","02-26262141","展延(有效)","2018-12-09","4,000","李O穎","新市國小公職營養師 吳O娟統鮮美食股份有限公司包裝課課長 劉O穗李O穎","統鮮美食股份有限公司承包","范銘聰","新北市五股區五權七路77號","02-22999899",""
"衛評餐服字第193號","新北市","餐飲服務業","中華電信股份有限公司中華電信學院員工餐廳","鄭優","220 板橋區 民族路168號","02-29639577","展延(有效)","2018-12-15","1,600","戴O貴","衛生管理(專責)人員暨佳山企業有限公司派駐本學院之經理 戴O貴佳山企業有限公司派駐本學院之駐店店長 吳O美中華電信學院代表 張O安佳山企業有限公司派駐本學院之主廚 簡O森","佳山企業有限公司","洪恢駿","新北市新莊區信義里幸福路64巷10號","02-86718669",""
"衛評餐服字第194號","臺東縣","餐飲服務業","知本老爺大酒店股份有限公司知本老爺大酒店那魯灣餐廳","林清波","954 卑南鄉 溫泉村龍泉路113巷23號","089-510680","廢止","2017-01-22","440","葉O和","衛生管理(專責)人員暨膳務部副主廚 葉O和膳務部主廚 謝O龍餐飲部經理 陳O雄","","","","",""
"衛評餐服字第196號","屏東縣","餐飲服務業","屏基醫療財團法人屏東基督教醫院供膳場所","余廣亮","900 屏東市 大連路60號","08-7368686","展延(有效)","2019-01-22","900","陳O琳、周O菁","營養師 吳O智組長 吳O瑩衛生管理(專責)人員暨營養師 陳O琳衛生管理(專責)人員暨營養師 周O菁廚師 謝O仁","","","","",""
"衛評餐服字第197號","花蓮縣","餐飲服務業","天祥晶華飯店股份有限公司太魯閣晶英酒店中餐廳","薛明敏","972 秀林鄉 富世村天祥路18號","03-8691158","廢止","2017-01-27","800","廖O瑋","行政主廚 高O峰衛生管理(專責)人員暨中廚領班 廖O瑋廚房助理 蔡O均採購經理 林O玉值班工程師 林O昌","","","","",""
"衛評餐服字第198號","新北市","餐飲服務業","富信大飯店股份有限公司富信大飯店宴會廳","何明輝","221 汐止區 大同路一段128號","02-26146333","展延(有效)","2019-01-29","1,480","陳O宏","宴會廳副主廚 潘O帆餐飲經理 李O發採購部副理 曾O連餐務組專員暨衛生管理(專責)人員 陳O宏餐務組專員暨衛生管理人代理人員 王O俊","","","","",""
"衛評餐服字第199號","臺中市","餐飲服務業","福順股份有限公司台中福華大飯店海華樓","廖國宏","407 西屯區 安和路129號","04-24632323","廢止","2017-02-24","500","張O傑","中餐廚師 張O智海華樓餐廳長 蔡O育人資部經理 王O惠衛生管理(專責)人員暨中餐廚師 張O傑保管組組員 張O瑋保管組組長 鄭O哲西餐主廚 蘇O進","","","","",""
"衛評餐服字第200號","桃園市","餐飲服務業","長庚醫療財團法人林口長庚紀念醫院養生村伙食廚房供膳場所","鄭明輝","333 龜山區 舊路村長青路2號","03-3492345","展延(有效)","2019-02-24","2,400","王O純","鼎正有限公司業務部經理 游O玲林口長庚營養師 劉O怡林口長庚廚房班長 廖O 鼎正有限公司駐點營養師暨衛生管理(專責)人員 王O純","","","","",""
"衛評餐服字第202號","臺北市","餐飲服務業","新光醫療財團法人新光吳火獅紀念醫院供膳場所","侯勝茂","111 士林區 文昌路95號","02-28332211","展延(有效)","2019-05-26","3,000餐食份/日","林O瑜","衛生管理人員暨營養師 林O瑜營養課課長 徐O華營養師 陳O綺營養師 歐O嘉事務員 林O娟廚師 蔡O輝","","","","",""
"衛評餐服字第205號","臺南市","餐飲服務業","奇美醫療財團法人奇美醫院中餐廳廚房","邱仲慶","710 永康區 中華路901號","06-2812811","展延(有效)","2019-06-30","2,400餐食份/日","蘇O鎂","奇美醫院營養科主任 劉O媛奇美醫院營養師 劉O娟玉膳股份有限公司暨衛生管理(專責)人員 蘇O鎂","玉膳股份有限公司","宋宗龍","臺南市仁德區後壁里德崙路71號","06-2828764",""
"衛評餐服字第206號","臺中市","餐飲服務業","臺中市立至善國民中學供膳場所","廖玉枝","40745 西屯區 青海路2段308號","04-27057587-771","廢止","2017-07-05","5,000餐食份/日","莊O鈺","午餐秘書 陳O玲廚師 廖O雄","勝騏食品工廠有限公司","謝勝騏","臺中市大雅區中山北路3號","04-25685299","承包商更換，予以廢止。"
"衛評餐服字第209號","臺中市","餐飲服務業","澄清綜合醫院中港分院供膳場所","林高德","407 西屯區 台灣大道4段966號17樓","04-2353535","展延(有效)","2019-07-21","1,800餐食份/日","蔣O珊、黃O偉、林O如、莊O茹","營養課組長 李靜慧承包商營養師暨衛生管理(專責)人員 蔣O珊院方善食供應營養師暨衛生管理(專責)人員 黃O偉營養課課長 賴O娥院方營養師助理暨衛生管理(專責)人員 林O如院方營養師助理暨衛生管理(專責)人員 莊O茹","","","","",""
"衛評餐服字第211號","臺中市","餐飲服務業","臺中市立東山高級中學中央廚房","郭鴻耀","406 北屯區 景賢六路200號","04-24360199","展延(有效)","2019-08-02","9,000餐食份/日","彭O文","營養師 朱O薇區域營養師 劉O雯衛生管理專責人員 彭O文","勝騏食品工廠有限公司","謝勝騏","臺中市大雅區中山北路3號1樓","04-25685299",""
"衛評餐服字第212號","臺中市","餐飲服務業","臺中市西屯區大仁國民小學午餐廚房","劉美芬","407 西屯區 重慶路200號","04-23155431","廢止","2017-08-20","5,000餐食份/日","黃O綺","營養師 卓O君午餐秘書 曾O雲衛生管理專責人員 黃O綺","勝騏食品工廠有限公司","謝勝騏","台中市北屯區景賢六路200號","04-25685299",""
"衛評餐服字第213號","臺中市","餐飲服務業","臺中榮民總醫院營養室廚房","許惠恒","407 西屯區 臺灣大道四段1650號","04-23592525","展延(有效)","2019-08-10","3,900餐食份/日","陳O蒨","營養師暨主任 楊O鳳營養師暨組長 劉O秀營養師 王O宏廚師 林O麗衛生管理人員暨營養師 陳O蒨","","","","",""
"衛評餐服字第216號","南投縣","餐飲服務業","臺中榮民總醫院埔里分院病患伙食廚房","葛光中","545 埔里鎮 榮光路1號","049-2999897","展延(有效)","2019-08-24","1,850餐食份/日","陳O歆","承包商營養師 黃O嫈院方營養師 蔡O慈衛生管理專責人員 陳O歆","鼎正有限公司有限公司","陳再昌","新北市新莊區壽山路33-22號","02-29021316",""
"衛評餐服字第220號","嘉義市","餐飲服務業","臺中榮民總醫院嘉義分院供膳場所","鄭紹宇","600 西區 世賢路二段600號","05-2359630#1902","廢止","2017-10-18","2,500餐食份/日","承包商衛生管理人員 劉O璇","承包商營養師 陳O星營養師 蔡O梅","鼎正有限公司","陳再昌","新北市新莊區壽山路33-22號","02-29021316",""
"衛評餐服字第223號","臺中市","餐飲服務業","財團法人弘光科技大學P棟美食街元氣自助餐廳","吳聰能","433 沙鹿區 臺灣大道六段1018號","04-26318652#1465","廢止","2017-11-10","1,000餐食份/日","陳O靜","營養師 張O玲營養師 吳O恩廚師 李O川","杏一醫療用品股份有限公司","陳麗如","桃園市龜山區復興一路94號","03-3970761",""
"衛評餐服字第225號","高雄市","餐飲服務業","好市多股份有限公司大順分公司即食熟食供膳場所","張嗣漢","804 鼓山區 大順一路111號","07-5508777","有效","2018-01-14","12000餐食份/日","龔O臺","衛生管理(專責)人員暨生鮮副店長 龔O臺商品副店長 黃O忠熟食部經理 李O玲魚部門經理 董O琳商品經理 陳O妘值班經理 陳O樺披薩部員工 李O祐","","","","",""
"衛評餐服字第226號","桃園市","餐飲服務業","誠盟股份有限公司桃園分公司桃園國際機場第二航廈D區四樓義美點心世界供膳場所","古素琴","337 大園區 航站南路9號","03-2754588","有效","2018-01-14","1400 餐食份/日","杜O璋、陳O柔","經理 徐O美衛生管理(專責)人員暨副理 杜O璋衛生管理(專責)人員暨主任 陳O柔衛生管理(職代)人員暨副理 黃O明","","","","",""
"衛評餐服字第227號","高雄市","餐飲服務業","台灣家樂福股份有限公司(高雄)成功分公司即食熟食供膳場所","詹傑超","806 前鎮區 中華五路1111號","07-5369828","有效","2018-01-18","600 餐食份/日","顏O陸","衛生管理(專責)人員暨南區生產中心處經理 顏O陸南區衛生經理 孫O月成功店生鮮處長 林O峰","","","","",""
"衛評餐服字第228號","臺中市","餐飲服務業","臺中市立惠文高級中學午餐廚房","劉欽敏","408 南屯區 公益路2段298號","04-22503928","有效","2018-01-19","6000 餐食份/日","黃O茵","衛生管理人員 黃O茵學校營養師 邱O敏營養師 蘇O營養師 洪O芝","梅景食品股份有限公司","黃信允","雲林縣西螺鎮福田里社口68-19號","05-5882573",""
"衛評餐服字第229號","臺南市","餐飲服務業","桂田酒店股份有限公司桂田酒店心巴黎百匯自助餐廳","朱仁宗","710 永康區 台南市永安一街99號","06-2438999","廢止","2018-01-30","400","李O華","餐飲部營養師：黃O廷餐飲部協理：劉O銘西廚房主廚：陳O泉衛生管理專責人員暨西餐廳副主任：李O華","","","","",""
"衛評餐服字第231號","雲林縣","餐飲服務業","大潤發流通事業股份有限公司斗南分公司即食熟食供膳場所","王中原","630 斗南鎮 雲林縣斗南鎮西岐里文化街119巷21號","05-5955959","有效","2018-01-30","200 餐食份/日","張O真","食品助理：張O琪食品經理：周O明衛生管理(專責)人員暨熟食課長：張O真","","","","",""
"衛評餐服字第234號","嘉義縣","餐飲服務業","臺中榮民總醫院灣橋分院供膳場所","王立敏","604 竹崎鄉 灣橋村石麻園38號","05-2791072","廢止","2018-02-04","1850 餐食份/日","羅O娟","營養科營養員：劉O蓉承包商營養員：沈O如衛生管理專責人員暨承包商營養師：羅O娟","鼎正有限公司","陳再昌","新北市新莊區壽山路33-22號","02-29021316",""
"衛評餐服字第235號","高雄市","餐飲服務業","財團法人私立高雄醫學大學附設中和紀念醫院營養部供膳場所","鐘飲文","807 三民區 十全一路100號","07-3121101","有效","2018-02-04","2000 餐食份/日","溫O璇、章O如、廖O瑩、郭O萱","臨床治療組組長：許O恆營養部主任：黃O娟膳食供應組組長：吳O茹衛生管理專責人員暨營養師：溫O璇衛生管理專責人員暨營養師：章O如衛生管理專責人員暨營養師：廖O瑩衛生管理專責人員暨營養師：郭O萱","","","","",""
"衛評餐服字第236號","新北市","餐飲服務業","新北市私立聖心女子高級中學餐廳廚房供膳場所","魏雪玲","249 八里區 龍米路一段263號","02-26182287","廢止","2018-02-04","3200 餐食份/日","郭O瑄","駐校營養師：許O鳳學校專責幹事：池O芳衛生管理專責人員：郭O瑄","全盛美食有限公司及鮮口味有限公司","彭盛焜、徐麗秋","新北市樹林區保安街三段一巷1號、桃園市平鎮區民族路雙連2段118巷19號","02-46884900、03-4903993",""
"衛評餐服字第237號","新北市","餐飲服務業","家福股份有限公司台北板橋分公司即食熟食供膳場所","張瑛玿","220 板橋區 三民區二段31號B1","02-29642988","有效","2018-02-04","900 餐食份/日","葉O錠","北南區衛生經理：陳O瑜衛生管理專責人員暨板橋店生鮮處處長：葉O錠板橋店生鮮處熟食課課長：洪O惠","","","","",""
"衛評餐服字第238號","臺北市","餐飲服務業","家福股份有限公司台北內湖分公司即食熟食供膳場所","李守穗","114 內湖區 民善街88號","02-87905000","有效","2018-02-04","900 餐食份/日","張O瑩","北北區衛生經理：陳O?北北區生產中心處經理：林O雯衛生管理專責人員暨內湖店生鮮處長：張O瑩","","","","",""
"衛評餐服字第239號","新北市","餐飲服務業","雲朗觀光股份有限公司新莊分公司翰品酒店兆慶廳","林靜如","242 新莊區 中正路82號","02-29939788","廢止","2018-02-14","400 餐食份/日","何O偉","餐飲辦事員：林O齡餐飲部協理：余O筠餐飲部經理：吳O蓉衛生管理專責人員暨中央廚房主廚：何O偉打伙：林O瑄","","","","",""
"衛評餐服字第240號","臺北市","餐飲服務業","台北花園大酒店股份有限公司(宴會廳)","張茂松","100 中正區 中華路二段1號","02-23143300","有效","2018-05-30","800","翁O隆","行政主廚：張O松食品衛生安全經理：莊O勤衛生管理(專責)人員：翁O隆衛生管理(職代)人員：高O榮小組成員：郭O芝、林O毅、業O穎、劉O萱、馬O冬、葉O廷","","","","",""
"衛評餐服字第241號","臺北市","餐飲服務業","國泰醫療財團法人國泰綜合醫院供膳場所","李發焜","106 大安區 仁愛路四段266巷280號","02-27082121","有效","2018-06-07","2000","林O銘","營養師：李O蓉組長：黃O英股長：楊O萍衛生管理(專責)人員：林O銘衛生管理(專責)代理人員：田O容小組成員：賴O怡","","","","",""
"衛評餐服字第242號","臺中市","餐飲服務業","台中市西屯區大鵬國民小學供膳場所","呂孝修","407 西屯區 中平路268號","04-22914655","廢止","2018-06-07","3000","李O貞","衛生管理人員：李O貞營養師：顏O方午餐秘書：陳O娟","勝騏餐飲有限公司","謝勝騏","臺中市大雅區中山北路3號2樓","04-25685299",""
"衛評餐服字第243號","新竹縣","餐飲服務業","臺北榮民總醫院新竹分院供膳場所","彭家勳","310 竹東鎮 中豐路一段81號","03-5962134","有效","2018-06-24","6600","蘇O霖","衛管人員暨駐點營養師：蘇O霖院方營養室主任：蔡O龍駐點管理人員：黃O琴","鼎正有限公司","陳再昌","新北市新莊區壽山路33-22號","02-29021316",""
"衛評餐服字第244號","高雄市","餐飲服務業","高雄市私立復華高級中學供膳場所(米珍香食品有限公司承包)","康木村","802 苓雅區 民權一路42號","07-7021966","有效","2018-06-27","3500","鄭O琦","米珍香食品有限公司負責人：謝O安復華中學庶務組長：孫O泰廚師：蕭O祥營養師暨衛生管理(專責)人員：鄭O琦","米珍香食品有限公司負責人","謝騏安","高雄市三民區灣中里建工路776號13樓","07-5373882",""
"衛評餐服字第245號","臺中市","餐飲服務業","臺中市惠文國民小學供膳場所","曾金美","408 南屯區 公益路二段300號","04-22596907","廢止","2018-06-30","4000","王O翔","校園營養師：劉O瑱專員：林O萱衛生管理(專責)人員：王O翔","怡饗美食股份有限公司","洪順全","台中市西屯區工業區十路11-1號","04-23593799",""
"衛評餐服字第246號","新北市","餐飲服務業","金色三麥餐飲業股份有限公司","葉冠廷","242 新莊區 五工路66號","02-85228989","有效","2018-07-05","1200","張O婷","品管主任：黃O恩店長：歐O紘廚藝督導暨衛生管理(專責)人員：張O婷廚師暨衛生管理(專責)人員(代理人)：林O羽","","","","",""
"衛評餐服字第247號","臺北市","餐飲服務業","全方位食品行(駐國立臺灣師範大學供膳場所)","祝忠明","106 大安區 師大路9號B1","02-77341111","有效","2018-07-06","5800","謝O娟","行政組長：黃O吟總經理兼生產負責人：祝O明衛生管理(專責)人員：謝O娟","","","","",""
"衛評餐服字第248號","彰化縣","餐飲服務業","彰化縣彰化市泰和國民小學供膳場所(台邑餐飲有限公司承包)","楊式愷、童育賢","500 彰化市 阿夷里泰和路二段145巷1號","04-7222433","有效","2018-08-19","5500","林O倫","營養師：黃O榆午餐秘書：王O姿副總：趙O毅衛生管理(專責)人員：林O倫","","","","",""
"衛評餐服字第252號","新竹市","餐飲服務業","新唐科技股份有限公司(漢珍企業股份有限公司承包)","焦佑鈞、劉家鎮","300 東區 研新三路4號","03-5770066","廢止","2018-10-05","900","王O宣","部經理：彭O德處長：江O媛管理師暨衛生管理(專責)人員：王O宣","","","","",""
"衛評餐服字第253號","臺北市","餐飲服務業","福容大飯店股份有限公司台北分公司(宴會廳)","郭美珠","106 大安區 建國南路一段266號","02-27019266","有效","2018-10-05","1000","蔡O庚","駐店協理：柯O連餐飲部經理：許O豪宴會廳主廚暨衛生管理專責人員：蔡O庚","","","","",""
"衛評餐服字第254號","桃園市","餐飲服務業","桃禧航空城大飯店股份有限公司(桃禧航空城酒店-宴會廳)","李三蓮","337 大園區 大觀路777號","03-3851188","有效","2018-12-06","1600","謝O章","行政主廚：黃O強人事副理：李O華主廚暨衛生管理(專責)人員：謝O章","","","","",""
"衛評餐服字第249號","宜蘭縣","餐飲服務業","財團法人天主教靈醫會羅東聖母醫院供膳場所","徐會棋","265 羅東鎮 中正南路160號","03-9544106","有效","2018-07-22","900","莊O霆","提案人兼品質管理人員：陳O瑩同意人兼小組召集人：鄭O方食品衛生管理(專責)人員：莊O霆生產管理人員：林O斌品質管理人員：張O芳","","","","",""
"衛評餐服字第250號","新北市","餐飲服務業","衛生福利部臺北醫院營養科供膳場所","徐錦池","242 新莊區 思源路127號地下一樓","02-22765566","有效","2018-08-01","2500","朱O穎、黃O軒(黃O翎)、陳O霓、羅O馨","營養師：蔡O梅營養科代理主任：李O霓營養師暨衛生管理(專責)人員：朱O穎營養師暨衛生管理(專責)人員：黃O軒(黃O翎)營養師暨衛生管理(專責)人員：陳O霓營養師暨衛生管理(專責)人員：羅O馨","","","","",""
"衛評餐服字第251號","臺北市","餐飲服務業","金色三麥餐飲股份有限公司(南港City Link店)","葉冠廷","115 南港區 忠孝東路七段299號C棟1樓","02-27827000","有效","2018-10-04","780","李O鑫","營運經理：陳O美店長：林O芬內場主管：黃O雪廚師暨衛生管理(專責)人員(代理人)：李O鑫","","","","",""
"衛評餐服字第255號","新北市","餐飲服務業","雲品國際酒店股份有限公司新莊分公司(頤品大飯店)","丁原偉","242 新莊區 五工路66號5~8樓","02-8522-6666","有效","2018-12-16","6000","吳O偉","總經理特助兼管理部協理：辜O一行政主廚：張O裕管理部總務採購組採購專員：侯O毅副主廚暨衛生管理(專責)人員：吳O興行政主廚暨衛生管理(職代)人員：吳O偉總經理室衛管專員暨衛生管理(職代)人員：陳O玲","","","","",""
"衛評餐服字第256號","高雄市","餐飲服務業","高雄榮民總醫院營養室廚房","劉俊鵬","813 左營區 大中一路386號","07-3468247","有效","2019-01-05","18000","黃O儀、錢O妙、蔡O錄","營養室膳食管理組組長：陳O吟營養室主任：王O君營養室膳食管理組營養師：施O鳳營養室膳食管理組人員暨衛生管理(專責)人員：黃O儀營養室膳食管理組人員暨衛生管理人員：錢O妙營養室廚師暨衛生管理人員：蔡O錄","","","","",""
"衛評餐服字第257號","嘉義縣","餐飲服務業","長庚醫療財團法人嘉義長庚紀念醫院供膳場所","蔡熒煌","613 朴子市 嘉朴路溪段6號、8號","05-3621000","廢止","2019-01-11","4950","謝O岑","院方營養師：陳O寧駐點營養師：王O純衛生管理(專責)人員：謝O岑","鼎正有限公司","陳再昌","新北市新莊區壽山路33-22號","02-29021316",""
"衛評餐服字第260號","新北市","餐飲服務業","新北市鶯歌區鳳鳴國民小學供膳場所","曾俊凱","239 鶯歌區 永和街120號","02-26797554","有效","2019-02-15","4000","陳O捷","衛生管理專責人員：陳O捷管理代表：徐O敏行政主廚：林O銘學校營養師：洪O真","全盛美食有限公司","彭盛焜","新北市樹林區保安街三段1巷1號","02-26884900",""
"衛評餐服字第262號","臺南市","餐飲服務業","台灣基督長老教會新樓醫療財團法人麻豆新樓醫院供膳場所","唐秋敏","721 麻豆區 小埤里苓子林20號","06-5702228","有效","2019-03-07","700","楊O儒","總務室主任：孫O平營養組組長：許O婷營養師：龔O怡營養師：邱O珊營養師：尤O如衛生管理(專責)人員：楊O儒","","","","",""
"衛評餐服字第261號","基隆市","餐飲服務業","衛生福利部基隆醫院供膳場所","林慶豐","201 信義區 信二路268號","02-24292525","有效","2019-03-30","1736","康O菁","衛生管理專責人員：康O菁院方營養師：李O蕙院方營養室主任：張O瑜","鼎正有限公司","陳再昌","新北市新莊區壽山路33-22號","02-29021316",""
"衛評餐服字第263號","臺中市","餐飲服務業","中山醫學大學附設醫院供膳場所","黃建寧","402 南區 建國北路一段110號","04-24739595","有效","2019-05-16","600","陳O婷","小組長暨營養師：羅O晴營養科主任：姜O月廚師：盧O平團膳營養師暨衛管職務代理人：徐O鵬營養師暨衛管第二職務代理人：蕭O瑾衛生專責管理營養師暨衛生管理(專責)人員：陳O婷","","","","",""
"衛評餐服字第264號","新北市","餐飲服務業","新北市蘆洲區成功國民小學中央廚房","蕭惠文","247 蘆洲區 長安街311號","02-28475236","有效","2019-06-04","3000","吳O玲","總經理 溫O輝現場主管 蘇O暘公職營養師 蘇O萱營養師暨衛生管理人員 吳O玲","宏遠國際餐飲股份有限公司","鄭伊珊","新北市五股區五權路54號","02-22858998",""
"衛評餐服字第265號","桃園市","餐飲服務業","衛生福利報桃園療養院供膳場所","李新民","330 桃園區 龍壽街71號","03-3698553","有效","2019-06-13","3000","陳O薇","行政專員 郭O芬院方營養師 王O予營養師暨衛生管理(專責)人員 陳O薇","鼎正有限公司","陳再昌","新北市新莊區壽山路33-22號","02-29021316",""
