產地,主旨,原因,進口商名稱,進口商地址,貨品分類號列,不合格原因暨檢出量詳細說明,法規限量標準,製造廠或出口商名稱,製造商代碼,牌名,重量,處置情形,發布日期,報驗受理日期,附圖
"印度","番紅椒粉(DEGGI MIRCH)","殘留農藥含量不符規定","成一餐飲有限公司","高雄市三民區建德路99號15樓之1","0904.22.00.00-1","檢出殘留農藥得克利0.16 ppm、三落松0.42 ppm、愛殺松0.69 ppm","依據「殘留農藥安全容許量標準」，得克利限值為0.01 ppm、三落松限值為0.02 ppm、愛殺松容許量0.5 ppm，本案不符合食品衛生管理法第15條規定。","MAHASHIAN DI HATTI PVT.LTD","","MAHASHIAN","120","案內不合格商品依規定退運或銷毀。","2014-02-12","2014-01-13","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3094&type=unsafefood"
"德國","喜諾杏桃果醬(1221.203 HERO APRICOT PRESERVE EXP JAR)","殘留農藥含量不符規定","百錄股份有限公司","臺北巿南港區南港路三段50巷5號地下","2007.99.90.00-2","檢出殘留農藥毆蟎多0.04 ppm","本案不符合食品衛生管理法第15條有關「殘留農藥安全容許量標準」規定","瑞士HERO公司","","喜諾","92.48","案內不合格商品依規定退運或銷毀。","2014-02-12","2014-01-13","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3095&type=unsafefood"
"越南","紅茶(BLACK TEA)","殘留農藥含量不符規定","正寶茶葉有限公司","新北市新莊市新莊路16之2號2樓","0902.40.90.00-2","檢出殘留農藥芬普尼0.018 ppm","依據「殘留農藥安全容許量標準」，農藥芬普尼容許量為0.005 ppm，本案不符合食品衛生管理法第15條規定。","HA TUYEN TEA CO.,LTD.","HATNTA","NIL","11,920","案內不合格商品依規定退運或銷毀。","2014-02-12","2014-01-13","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3096&type=unsafefood"
"美國","巧克力色裝飾用奶油糖霜(DECORATOR ICNG CHOC)","防腐劑含量不符規定","新加坡商焙藝遊有限公司台灣分公司","台北市中山區長安西路24號1樓及地下1樓","1704.90.00.90-9","檢出防腐劑(以己二烯酸計1.8 g/kg)","依據「食品添加物使用範圍及限量暨規格標準」，防腐劑以己二烯酸計用量為1.0 g/kg，本案不符合食品衛生管理法第18條規定。","WILTON INDUSTRIES,INC.","","WILTON","6.51","案內不合格商品依規定退運或銷毀。","2014-02-12","2014-01-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3097&type=unsafefood"
"中國大陸","枸杞(枸杞)","殘留農藥含量不符規定","東泉生技有限公司","臺北市大同區延平里甘州街17號","1211.90.91.10-2","檢出殘留農藥二‧四地0.04 ppm","依據「殘留農藥安全容許量標準」，農藥二‧四地限值為0.02 ppm，本案不符合食品衛生管理法第15條規定。","TUNG CHAN BIOTECHNOLOGY CO., LTD.","","NIL","10,728","案內不合格商品依規定退運或銷毀。","2014-02-12","2014-01-08","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3098&type=unsafefood"
"泰國","蘆筍(FRESH ASPARAGUS)","殘留農藥含量不符規定","柏翊企業有限公司","臺北市中山區建國北路二段110號6樓","0709.20.00.20-6","檢出殘留農藥賽滅寧0.07 ppm","依據「殘留農藥安全容許量標準」，農藥賽滅寧限值為0.05 ppm，本案不符合食品衛生管理法第15條規定。","GOLDEN STAR EXPRESS CO.,LTD.","","GOLDEN STAR EXPRESS CO.,LTD.","900","案內不合格商品依規定退運或銷毀。","2014-02-12","2014-01-06","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3100&type=unsafefood"
"日本","烘焙豆菓子(SOFT ROASTED BEAN)","殘留農藥含量不符規定","東西國際貿易有限公司","高雄市左營區菜公一路143號2樓","2008.19.90.90-9","檢出殘留農藥撲滅寧0.09 ppm","依據「殘留農藥安全容許量標準」，農藥撲滅寧限值為0.05 ppm，本案不符合食品衛生管理法第15條規定。","吉田堅果食品 株式會社","兵庫","吉田堅果食品株式會社","180","案內不合格商品依規定退運或銷毀。","2014-02-12","2014-01-06","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3101&type=unsafefood"
"美國","KIRKLAND SIGNATURE 特選鹽烤腰果(999979 K.S. PREMIUM CASHEWS)","殘留農藥含量不符規定","好市多股份有限公司","高雄市前鎮區中華五路656號1樓","2008.19.90.90-9","檢出殘留農藥陶斯松0.02 ppm","本案不符合食品衛生管理法第15條有關「殘留農藥安全容許量標準」規定","HOODYS/ORIGINAL NUT HOUSE","","KIRKLAND SIGNATURE","1,959.6","案內不合格商品依規定退運或銷毀。","2014-02-12","2014-01-02","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3102&type=unsafefood"
"菲律賓","可琳歐餅干","含非法定著色劑","尚吉貿易有限公司","高雄市苓雅區福建街３５巷１７之４號","1905.31.00.00-7","經檢驗含有人工著色劑Amaranth","不得檢出","","","","78","1.案內不合格產品未進入我國。2.依規定，報驗廠商得於15日內申請複驗1次。","2010-10-12","2010-09-29",""
"泰國","生鮮冷藏芹菜","殘留農藥含量不符規定","神宇有限公司","台北縣中和市圓通路２４０巷１０弄１７號１樓","0709.40.00.00-6","經檢驗含有三落松0.45 ppm、待克利0.2 ppm","三落松、待克利於小葉菜類標準均為不得檢出","","","","20","1.案內不合格產品全數存放於切結地點。2.依規定，報驗廠商得於15日內申請複驗1次。","2010-10-12","2010-09-30","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1592&type=unsafefood"
"越南","花生糖","黃麴毒素含量不符規定","莊家發食品企業有限公司","嘉義縣新港鄉南崙村崙子１３３之２號","1704.90.00.10-6","檢出黃麴毒素243ppb","15.0 ppb以下","","","TRANG","5040","1. 案內不合格產品未進入我國。2. 依規定，報驗廠商得於15日內申請複驗1次。","2010-10-25","2010-10-07","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1593&type=unsafefood"
"美國","冷藏去骨牛肉","動物用藥殘留不符規定","美福國際股份有限公司","台北市內湖區民善街76號","0201.30.10.90-0","本批貨品經檢出萊克多巴胺(Ractopamine) 1.3 ppb","不得檢出","235","235","235","8155.6","案內不合格產品未進入我國。","2011-02-15","2011-01-25","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1599&type=unsafefood"
"美國","冷凍去骨牛肉","動物用藥殘留不符規定","裕國冷凍冷藏股份有限公司","臺中巿西屯區工業二路3號","0202.30.90.20-7","本批貨品經檢出萊克多巴胺(Ractopamine) 2.65 ppb","不得檢出","278","278","278","13816.8","案內不合格產品未進入我國","2011-02-15","2011-01-24","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1600&type=unsafefood"
"美國","紐力活液態鈣","防腐劑含量不符規定","台灣衍比斯有限公司(NEUEVO CORPORATION)","臺北市信義區松德路１６１號６樓之１","2106.90.99.90-3","本批貨品經檢出苯甲酸-0.791 g/kg;己二烯酸-0.678 g/kg","同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值〈即使用量／用量標準〉總和不得大於1。","GMP LABOARATORLES OF AMERICA INC.","","NEUEVO BLEND","9415","案內不合格產品未進入我國","2011-02-14","2011-01-03",""
"菲律賓","醬油","不符一般食品衛生標準","尼品貿易有限公司","桃園縣中壢市復興里自強一路42之10號6樓","2103.10.90.00-1","本批貨品經檢驗含單氯丙二醇：0.98ppm ppm","單氯丙二醇:0.4 ppm以下","SILVER SWAN MFG. CO., INC.","","SILVER SWAN","196.82","案內不合格商品未進入我國","2011-02-14","2011-01-24","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1602&type=unsafefood"
"中國","紅茶粉","殘留農藥含量不符規定","桔揚股份有限公司","台北縣三峽鎮溪東路33號","2101.20.00.00-0","本批貨品經檢出農藥芬普尼0.012 ppm","芬普尼茶類:0.005 ppm","DAMIN FOODSTUFF(ZHANGZHOU) CO LTD","DAMIN","DAMIN","500","案內不合格商品未進入我國","2011-02-12","2011-01-17","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1603&type=unsafefood"
"越南","李真財沙嗲醬","防腐劑含量不符規定","洋民有限公司","桃園縣蘆竹鄉長安路2段116號","2103.90.90.90-5","本批貨品經檢出食品添加物防腐劑-苯甲酸 1.649 g/kg","其他調味醬用量以Benzoic Acid計為1.0 g/kg以下","PHU GIA THINH 越南","","NIL","240","案內不合格商品未進入我國","2011-02-12","2011-01-20","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1604&type=unsafefood"
"印度","凱因紅椒粉","殘留農藥含量不符規定","欣臨企業股份有限公司","台北市中山區南京東路三段70號4樓","0904.20.90.00-4","本批貨品經檢出三落松-0.84 ppm；愛殺松-2.19 ppm;得克利-0.06 ppm","三落松-0.02 ppm；愛殺松-0.5 ppm;得克利-0.01 ppm","美國味好美公司","","MCCORMICK","4.76","案內不合格商品未進入我國","2011-02-12","2011-01-14","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1605&type=unsafefood"
"菲律賓","醬油","不符一般食品衛生標準","柏昌貿易有限公司","桃園縣中壢市復興里自強一路４２之１０號６樓","2103.10.90.00-1","本批貨品經檢驗含單氯丙二醇：0.994 ppm","單氯丙二醇:0.4 ppm以下","SILVER SWAN MFG. CO., LTD.","","SILVER","908.4","案內不合格商品未進入我國","2011-02-11","2011-01-20","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1606&type=unsafefood"
"美國","冷凍牛筋","動物用藥殘留不符規定","美福國際股份有限公司","台北市內湖區民善街76號","0206.29.90.99-2","本批貨品經檢出萊克多巴胺6.21 ppb","不得檢出","86H","","86H","2265.71","案內不合格產品未進入我國。","2011-02-09","2011-01-18","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1607&type=unsafefood"
"斯里蘭卡","早餐茶","殘留農藥含量不符規定","誠品股份有限公司","台北市信義區松德路196號B1，B1之1至B1之6","0902.30.90.00-4","檢出大克0.15ppm","不得檢出","","","HEDIARD S.A.","26.5","1.案內不合格產品並未進口我國2.依規定，報驗廠商得於15日內申請複驗1次","2008-09-03","2008-08-18","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1243&type=unsafefood"
"印尼","豌豆苗","殘留農藥含量不符規定","禾豐農產股份有限公司","彰化縣秀水鄉秀中街82巷39之1號","0709.90.90.90-7","檢出亞賜圃0.03ppm","不得檢出","","","PT.HORTI BIMA INTERNATIONAL","2118","1.地方衛生局已將案內所有不合格產品進行封存。2.案內不合格產品未流入我國食品市場。","2008-09-12","2008-08-29","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1244&type=unsafefood"
"越南","綠茶（未發酵）","殘留農藥含量不符規定","湖光茶葉有限公司","臺北縣林口鄉林口路279號3樓","0902.20.00.00-5","檢出大克0.12ppm","不得檢出","","","FUTURE","8750","1.案內不合格產品並未進口我國2.依規定，報驗廠商得於15日內申請複驗1次","2008-09-12","2008-09-04","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1245&type=unsafefood"
"泰國","辣椒乾","殘留農藥含量不符規定","慕南有限公司","臺北市大同區重慶北路3段338號7樓","0904.20.90.00-4","檢出愛殺松（Ethion）1.84ppm及三落松（Triazophs）0.79ppm","三落松不得檢出","","","TAITIP","720","1.案內不合格產品並未進口我國2.依規定，報驗廠商得於15日內申請複驗1次","2008-09-24","2008-09-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1246&type=unsafefood"
"越南","其他冷凍小蝦及對蝦","動物用藥殘留不符規定","宏大貿易行","桃園縣桃園市龍泉五街84號","0306.13.00.90-7","檢出硝基喃11.1ppb ，超出限量標準","1ppb","","","MINH KHUE","7504","1.案內不合格產品並未進口我國2.依規定，報驗廠商得於15日內申請複驗1次","2008-09-24","2008-09-11",""
"日本","起士鱈魚條","不符一般食品衛生標準","柑泉國際興業有限公司","臺北市大同區重慶北路3段152巷31號1樓","0406.90.00.00-1","檢出單核球增多性李斯特菌","不得檢出","","","BORCAL","320","1.案內產品以全數封存，嗣複驗結果再行處辦2.案內不合格產品未流入食品市場","2008-09-25","2008-09-05",""
"菲律賓","白醋","漂白劑含量不符規定","銓錸貿易有限公司","高雄市新興區民生一路56號11樓之2","2209.00.00.00-5","檢出漂白劑（以SO2計）0.048 g/kg，超出限量標準","0.03 g/kg","","","DATU","252","1.案內不合格產品並未進口我國2.依規定，報驗廠商得於15日內申請複驗1次","2008-09-25","2008-09-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1249&type=unsafefood"
"日本","橙","殘留農藥含量不符規定","全盛股份有限公司","台北市中正區開封街一段81號2樓","0805.20.10.10-9","檢出撲滅寧0.15ppm、得脫滿0.01ppm、克收欣0.05ppm、芬普寧0.03ppm，超出限量標準","撲滅寧、克收欣為不得檢出，得脫滿為公告禁用農藥，芬普寧柑桔類標準為0.5ppm","","","MEIKO","75","1.案內不合格產品並未進口我國2.依規定，報驗廠商得於15日內申請複驗1次","2008-10-07","2008-09-22","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1250&type=unsafefood"
"中國","乾魚翅","其他衛生項目不符規定","品淵貿易有限公司","台北市南港區東新街97之3號1樓","0305.59.20.00-8","檢出甲醛","不得檢出","","","AN CHYAU","414.6","1.案內不合格產品並未進口我國2.依規定，報驗廠商得於15日內申請複驗1次","2008-10-10","2008-10-06","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1251&type=unsafefood"
"泰國","九層塔","殘留農藥含量不符規定","傑壹貿易有限公司","桃園縣大園鄉三石村三和路45巷1弄3號1樓","0709.90.90.90-7","檢出貝芬替6.30 ppm，超出限量標準","1.0 ppm","","","KAOLEE COMPANY LIMITED","314","1.案內不合格產品未流入我國食品市場2.依規定，報驗廠商得於15日內申請複驗1次","2008-10-10","2008-10-04","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1252&type=unsafefood"
"越南","火龍果","殘留農藥含量不符規定","双象國際農產股份有限公司","屏東縣屏東市崇蘭里中山路350號1樓","0810.90.99.90-4","於10月9日驗出撲克拉0.27ppm","不得檢出","KIEU NGA IMPORT-EXPORT TRADING CO.,LTD.","","","18354（1932箱）","一、撲克拉為我國准予使用之農藥殺菌劑，急性毒性低，可用於 小漿果（1.0ppm）、梨果（1.0ppm）等，火龍果為大漿果類依法不得檢出。二、本案立即要求双象國際農產股份有限公司提供下游廠商名單，並請各相關衛生局立即追查，督促業者進行回收，目前計已封存34箱三、本署已針對案內進口商處以半年內不得先行放行。","2008-10-10","2008-10-03","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1253&type=unsafefood"
"越南","大白菜(FRESH CHINESE CABBAGE)","殘留農藥含量不符規定","麝香鹿國際股份有限公司","臺中市西區精誠路180號1樓","0704.90.10.00.8","檢出殘留農藥三泰隆0.03 ppm","依據「農藥殘留容許量標準」，農藥三泰隆定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","DA LAT AGRICULTURAL CO., LTD.","","","23,220.00","案內不符合商品依規定退運或銷毀。","2017-06-06","2017-04-26","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6305&type=unsafefood"
"美國","冷凍帶骨豬肉(PORK RIB CHOP BONE-IN,FRENCHED 2 BONE 16OZ)","其它衛生項目不符規定(動物用藥殘留含量不符規定)","香港商莫爾頓有限公司台灣分公司","臺北市大安區信義路二段72號12樓","0203.29.99.00.4","檢出萊克多巴胺0.0021 ppm","本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。","SYSCO NEWPORT MEAT COMPANY, DBA NEWPORT MEAT COMPANY","4195","","9.20","案內不符合商品依規定退運或銷毀。","2017-06-06","2017-04-30","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6306&type=unsafefood"
"紐西蘭","黃洋蔥(FRESH BROWN ONIONS )","殘留農藥含量不符規定","彬瑪貿易股份有限公司","台北巿敦化南路一段57號8樓之2","0703.10.10.00.6","檢出殘留農藥覆滅蟎0.02 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","BOSTOCK NEW ZEALAND LTD","","","26,000.00","案內不符合商品依規定退運或銷毀。","2017-06-06","2017-05-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6307&type=unsafefood"
"中國大陸","冷凍多寶魚(FROZEN TURBOT FISH(PSETTA MAXIMA))","其它衛生項目不符規定(動物用藥殘留含量不符規定)","通達水產有限公司","高雄市前鎮區佛佑路5之1號1樓","0303.34.00.00.4","檢出恩氟喹啉羧酸0.02 ppm","本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。","DONGSHAN XINHEFA FOOD CO., LTD.","","","11,340.00","案內不符合商品依規定退運或銷毀。","2017-06-06","2017-05-02","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6308&type=unsafefood"
"越南","宮廷蟹肉風味速食麵(CUNG DINH INSTANT NOODLE )","防腐劑含量不符規定","天藍有限公司","新北市新莊區化成路293巷34號","1902.30.10.20.5","案內產品之麵條檢出防腐劑苯甲酸0.027 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。","ASIA FOOD TECHNOLOGY JSC","","CUNG DINH","960.00","案內不符合商品依規定退運或銷毀。","2017-06-06","2017-05-04","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6309&type=unsafefood"
"泰國","新鮮榴槤(FRESH DURIAN (新鮮榴槤)(食用) N.W.:12KGS/CTN (冷藏) 檢疫證號碼:6153775)","殘留農藥含量不符規定","喬承企業有限公司","臺中市石岡區梅子里豐勢路和順巷42號1樓","0810.60.00.00.7","檢出殘留農藥撲滅寧0.09 mg/kg","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","THONG PED FRUITS VEGETABLE CO.,LTD.","","888","17,448.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-05","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6310&type=unsafefood"
"中國大陸","冷水壺(010015 HELLO KITTY-WATER BOTTLE )","其它衛生項目不符規定(其他衛生項目不符規定)","兆星國際有限公司","台北巿內湖區瑞光路76巷33號6樓","3924.90.00.30.2","案內產品之瓶蓋(材質PC)耐熱測試結果有異狀(有變形致無法蓋合)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","CRABTREE & EVELYN (HK)LTD","","HELLO KITTY","25.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6311&type=unsafefood"
"中國大陸","鮮白蘿蔔(FRESH WHITE RADISH)","殘留農藥含量不符規定","友泉國際貿易有限公司","高雄市仁武區名湖街128巷2號2樓","0706.90.00.10.6","檢出殘留農藥三氯松0.24 ppm","依據「農藥殘留容許量標準」，農藥三氯松定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","BEL AGRICULTURAL DEVELOPMENT (WEIFANG)CO.,LTD","","","26,600.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6312&type=unsafefood"
"中國大陸","塑膠冷水壺(塑膠冷水壺供食品用途 INVOICE NO.1060427)","其它衛生項目不符規定(其他衛生項目不符規定)","永凱興國際有限公司","高雄市前鎮區育樂路20號13樓之13","3924.90.00.30.2","案內產品本體耐熱測試結果有異狀(明顯變形)","案內產品本體「耐熱溫度」與現品宣稱不符，本案不符合食品安全衛生管理法第28條規定。","永康市巨光杯業有限公司","","","141.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6313&type=unsafefood"
"泰國","鮮榴槤(FRESH DURIAN)","殘留農藥含量不符規定","三源行農產有限公司","臺中市東勢區東崎路五段387號1樓","0810.60.00.00.7","檢出殘留農藥撲滅寧0.06 ppm","依據「農藥殘留容許量標準」，農藥撲滅寧定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","LINTHAI IMPORT & EXPORT CO., LTD.","","","17,012.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6314&type=unsafefood"
"韓國","大白菜(FRESH CHINESE CABBAGE)","殘留農藥含量不符規定","琦軒有限公司","桃園市桃園區中埔六街103號7樓","0704.90.10.00.8","檢出殘留農藥氟尼胺0.05 ppm","依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","BURIM TRADE CO.,LTD.","","","16,170.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-11","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6315&type=unsafefood"
"法國","冷凍精選黑醋栗果泥(FROZEN BLACKCURRANT PUREE CANE SUGAR)","殘留農藥含量不符規定","長陞實業有限公司","臺北市延吉街162號2樓之2","2008.19.90.90-9","檢出殘留農藥白克列0.08 ppm","本案不符合食品衛生管理法第15條有關「殘留農藥安全容許量標準」規定","LA FRUITIERE CO,LTD.","","樂芙蒂","90","案內不合格商品依規定退運或銷毀。","2014-02-12","2014-01-02","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3103&type=unsafefood"
"日本","抹茶","殘留農藥含量不符規定","億誠貿易有限公司","台南市北區海安路三段781巷59號2樓","0902.10.00.00-7","本批貨品經檢出農藥祿芬隆0.298 ppm,亞托敏0.193 ppm","祿芬隆:0.05 ppm；亞托敏:0.05 ppm","福島鰹株式會社","","","5","案內不合格商品未進入我國","2011-02-09","2011-01-12","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=1608&type=unsafefood"
"韓國","鮮白菜(FRESH CHINESE CABBAGE)","殘留農藥含量不符規定","翼農貿易有限公司","雲林縣崙背鄉草湖村草湖路289號1樓","0704.90.10.00.8","檢出殘留農藥氟尼胺0.05 ppm","依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","EI LOGISTICS CO., LTD.","","","16,170.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-12","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6316&type=unsafefood"
"越南","黑胡椒粒(BLACK PEPPER)","殘留農藥含量不符規定","泓星食品有限公司","新竹縣新豐鄉坪頂二街26號2樓","0904.11.10.00.2","檢出殘留農藥滅達樂0.6 ppm、普拔克1.1 ppm","依據「農藥殘留容許量標準」，農藥滅達樂容許量為0.1 ppm、普拔克容許量為0.2 ppm，本案不符合食品安全衛生管理法第15條規定。","HONG DUC PHAT AGRICULTURAL LIABILITY LIMITED COMPANY","","","5,000.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-15","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6317&type=unsafefood"
"中國大陸","保鮮盒(50187364 JAMKA FOOD CNTNR W LID S4 TRANSP WHITE/BLUE AP)","其它衛生項目不符規定(其他衛生項目不符規定)","宜家家居股份有限公司","新北市新莊區中正路1號3樓","3924.10.00.20.1","案內產品經材質鑑別(燃燒法或紅外線光譜分析法)，上蓋材質為聚乙烯，盒體為聚丙烯","產品本體均已依原材質宣稱，但外包裝之中文標示未詳實列示出聚乙烯材質，本案不符合食品安全衛生管理法第28條規定。","INTER IKEA","","JAMKA","47.36","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-04-11","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6318&type=unsafefood"
"菲律賓","REBISCO 夾心餅乾(巧克力風味)(P4192 COMBI TRIPLE CHOCO)","含非法定著色劑","品凡貿易有限公司","桃園市桃園區國際路二段431之1號","1905.31.00.00.7","檢出非法定著色劑","本案不符合食品安全衛生管理法第18條規定。","REPUBLIC BISCUIT CORP.","","REBISCO","240.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-04-12","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6319&type=unsafefood"
"荷蘭","熟成伊丹乾酪(00482 3600038 EDAM VIEUX 40% 4/4 1K5 CHEESE EDAM 4/4)","其它衛生項目不符規定(其他衛生項目不符規定)","遠東都會股份有限公司","臺北市大安區仁愛路四段64號7樓","0406.90.00.00.1","檢出亞硝酸鹽0.0015 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。","DISTRIBUTED BY FAR EASTERN CIT","","GOURMETS DE L’EUROPE","8.27","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-05","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6320&type=unsafefood"
"美國","芹菜(FRESH CELERY)","殘留農藥含量不符規定","三崧貿易有限公司","新北市中和區橋安街41號4樓","0709.40.00.00.6","檢出殘留農藥大克爛2.4 ppm","依據「農藥殘留容許量標準」，農藥大克爛容許量為2.0 ppm，本案不符合食品安全衛生管理法第15條規定。","SACA TRADING","","TANIMURA & ANTLE","17,418.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-05","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6321&type=unsafefood"
"印度","活蟳(LIVE SWAMP CRABS)","其它衛生項目不符規定(動物用藥殘留含量不符規定)","上湧國際有限公司","台北市中山區林森北路409號11樓之4","0306.33.21.10.5","檢出還原型孔雀綠0.6 ppb","本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。","SRI BALAJI SEA FOOD","","","33.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6322&type=unsafefood"
"越南","糙米(MEDIUM/SHORT GRAIN BROWN RICE)","殘留農藥含量不符規定","泉順食品企業股份有限公司","苗栗縣苑裡鎮玉田里玉田91之1號","1006.20.00.00.8","檢出殘留農藥二福隆0.04 ppm","依據「農藥殘留容許量標準」，農藥二福隆容許量為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","TUONGLAN AGREX CO.,LTD.","","","320,000.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6323&type=unsafefood"
"馬來西亞","月光牌泡打粉(無鋁配方)(CRESCENT BAKING POWDER (NO AL))","重金屬含量不符規定","萬記貿易有限公司","台北巿北投區石牌路二段336號1樓","2102.30.00.00.7","檢出砷0.11 ppm","與廠商提供之產品規格表檢驗值範圍為NoDetected不符，本案不符合食品安全衛生管理法第7條規定。","KERRY INGREDIENTS (MALAYSIA) SDN BHD","","CRESCENT","14,688.00","案內不符合商品依規定退運或銷毀。","2017-06-13","2017-05-11","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6324&type=unsafefood"
"日本","橘子(FRESH MANDARIN )","殘留農藥含量不符規定","尚農實業有限公司","新北市中和區景平路722號11樓","0805.20.20.10-7","檢出殘留農藥脫芬瑞0.03 ppm","本案不符合食品衛生管理法第15條有關「殘留農藥安全容許量標準」規定","YAJI CO.,LTD.","廣島","NIL","420","案內不合格商品依規定退運或銷毀。","2014-02-12","2014-01-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3104&type=unsafefood"
