製劑別,申請廠商,製劑名稱,製造批號,有效期限,包裝,封緘數量,封緘劑量,封緘日期,備註
"疫苗及類毒素類","國光生物科技股份有限公司","＂安定伏＂裂解型流感疫苗","FKAA1126","05 31 2012 12:00AM","1劑/0.5 mL/支 × 20支/盒","1劑/0.5 mL/支 × 20支/盒 × 2,695盒；11支/盒 × 1盒","53911","10 17 2011 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","＂巴斯德＂五合一疫苗(白喉、百日咳、破傷風、小兒麻痺及b型流行性感冒嗜血桿菌疫苗）","C3775BA, C3775B","04 30 2013 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 7,046盒","70460","11 28 2011 12:00AM",""
"血液製劑類","天行貿易股份有限公司","白蛋白注射劑","26NK0V1","07 13 2014 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 21,474盒","21474","10 19 2011 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","＂巴斯德＂五合一疫苗(白喉、百日咳、破傷風、小兒麻痺及b型流行性感冒嗜血桿菌疫苗）","C3777AA, C3777A","06 30 2013 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 11,965盒","119650","11 23 2011 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","雙伏威肺炎鏈球菌十價接合型疫苗","ASPNA063AH, ASPNA063A","05 31 2013 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 6,030盒","6030","12 14 2011 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","雙伏威肺炎鏈球菌十價接合型疫苗","ASPNA060DH, ASPNA060D","05 31 2013 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 3,440盒","3440","12 1 2011 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂安定伏＂裂解型流感疫苗","FKAA1128","05 31 2012 12:00AM","1劑/0.5 mL/支 × 20支/盒","1劑/0.5 mL/支 × 20支/盒 × 2,654盒；9支/盒 × 1盒","53089","10 17 2011 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂安定伏＂裂解型流感疫苗","FKAA1127","05 31 2012 12:00AM","1劑/0.5 mL/支 × 20支/盒","1劑/0.5 mL/支 × 20支/盒 × 2,704盒；7支/盒 × 1盒","54087","10 17 2011 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","巴斯德四合一補追疫苗","G0625-4, G0625","07 31 2013 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 76,340盒","76340","12 29 2011 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","巴斯德四合一補追疫苗","G0625-3, G0625","07 31 2013 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 4,882盒","4882","12 29 2011 12:00AM",""
"血液製劑類","百達醫療產品股份有限公司","＂百特＂組織修復凝合劑","VND2L028","04 30 2013 12:00AM","1 mL/支 × 2支/組/盒","1 mL/支 × 2支/組/盒 × 1,124盒","1124","11 25 2011 12:00AM",""
"血液製劑類","百達醫療產品股份有限公司","＂百特＂組織修復凝合劑","VND2L024","04 30 2013 12:00AM","2 mL/支 × 2支/組/盒","2 mL/支 × 2支/組/盒 × 616盒","616","11 25 2011 12:00AM",""
"血液製劑類","禾利行股份有限公司","立保B型肝炎抗體注射液","B793101","06 30 2013 12:00AM","10 mL/瓶/盒","10 mL/瓶/盒 × 2,986盒","2986","11 7 2011 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂25﹪人體正常血清白蛋白注射劑","LA11D113AA","06 4 2013 12:00AM","50 mL/瓶","50 mL/瓶 × 16,996瓶","16996","11 3 2011 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","麻疹、腮腺炎及德國麻疹三種混合疫苗注射劑","K013176, 0000253785","09 1 2016 12:00AM","1劑/瓶 × 10瓶/盒","1劑/瓶 × 10瓶/盒 × 1,749盒","17490","11 14 2014 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","安在時B型肝炎疫苗","AHBVC408AF, AHBVC408A","08 31 2016 12:00AM","1劑/1 mL/瓶 × 25瓶/盒","1劑/1 mL/瓶 × 25瓶/盒 × 1,767盒; 8瓶/盒 × 1盒","44183","11 10 2014 12:00AM",""
"疫苗及類毒素類","賽諾菲股份有限公司","白喉破傷風非細胞性百日咳、b型嗜血桿菌與不活化小兒麻痺混合疫苗(Pentaxim)","L4136-1, K7357/K1516","08 31 2016 12:00AM","1劑/盒","1劑/盒 × 71,640盒","71640","11 13 2014 12:00AM",""
"疫苗及類毒素類","賽諾菲股份有限公司","吸著破傷風白喉混合類毒素疫苗","C4509AA, C4509A","04 4 2016 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 200盒","2000","12 10 2014 12:00AM",""
"血液製劑類","台灣綠十字股份有限公司","艾爾補定注射液25%","T4NE4HQ001","07 16 2017 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 8,005盒","8005","10 29 2014 12:00AM",""
"抗毒素及抗血清類","衛生福利部疾病管制署","抗龜殼花及赤尾鮐蛇毒血清凍晶注射劑","FH10304","09 30 2019 12:00AM","1劑/瓶/盒","1劑/瓶/盒 × 1,337盒","1337","12 15 2014 12:00AM",""
"疫苗及類毒素類","賽諾菲股份有限公司","白喉破傷風非細胞性百日咳、b型嗜血桿菌與不活化小兒麻痺混合疫苗(Pentaxim)","L4138-1, K7357/ K1521","08 31 2016 12:00AM","1劑/盒","1劑/盒 × 20,390盒","20390","11 21 2014 12:00AM",""
"疫苗及類毒素類","賽諾菲股份有限公司","黃熱病疫苗(Stamaril)","L5026-1, L5026","12 31 2016 12:00AM","1劑/瓶/盒","1劑/瓶/盒 × 4,868盒","4868","12 23 2014 12:00AM",""
"疫苗及類毒素類","賽諾菲股份有限公司","＂巴斯德＂三合一補追疫苗","C4664AC, C4664A","11 30 2016 12:00AM","1劑/0.5 mL/瓶/盒","1劑/0.5 mL/瓶/盒 × 7,040盒","7040","12 23 2014 12:00AM",""
"血液製劑類","百達醫療產品股份有限公司","＂百特＂組織修復凝合劑(第二代)","VND3P046","06 30 2016 12:00AM","2 mL/支 × 2支/組/盒","2 mL/支 × 2支/組/盒 × 1,216盒","1216","11 18 2014 12:00AM",""
"疫苗及類毒素類","美商惠氏藥廠(亞洲)股份有限公司台灣分公司","沛兒肺炎鏈球菌十三價結合型疫苗","J90038, J30447","03 31 2017 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 29,919盒","29919","12 27 2014 12:00AM",""
"疫苗及類毒素類","美商惠氏藥廠(亞洲)股份有限公司台灣分公司","沛兒肺炎鏈球菌十三價結合型疫苗","J90039, J54073","05 31 2017 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 49,750盒","49750","12 5 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1410","11 30 2015 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 1,849盒；7瓶/盒 × 1盒","18497","12 12 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1411","11 30 2015 12:00AM","1劑/1 mL/瓶 × 10 瓶/盒","1劑/1 mL/瓶 × 10 瓶/盒 × 1,847盒；4瓶/盒 × 1盒","18474","12 12 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1409","11 30 2015 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 2,390盒；6瓶/盒 × 1盒","23906","12 9 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1408","11 30 2015 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 2,407盒；6瓶/盒 × 1盒","24076","12 9 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1407","11 30 2015 12:00AM","1劑/1 mL/瓶 × 10 瓶/盒","1劑/1 mL/瓶 × 10 瓶/盒 × 2,399盒；3瓶/盒 × 1盒","23993","12 9 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1406","11 30 2015 12:00AM","1劑/1 mL/瓶 × 10 瓶/盒","1劑/1 mL/瓶 × 10 瓶/盒 × 2,409盒；1瓶/盒 × 1盒","24091","12 9 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1402","11 30 2015 12:00AM","1劑/1 mL/瓶 × 10 瓶/盒","1劑/1 mL/瓶 × 10 瓶/盒 × 2,403盒；9瓶/盒 × 1盒","24039","12 9 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1401","11 30 2015 12:00AM","1劑/1 mL/瓶 × 10 瓶/盒","1劑/1 mL/瓶 × 10 瓶/盒 × 2,369盒；2 瓶/盒 × 1盒","23692","12 9 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1413","11 30 2016 12:00AM","1劑/1 mL/瓶 × 10 瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 1,765盒；1瓶/盒 × 1盒","17651","12 12 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1412","11 30 2015 12:00AM","1劑/1 mL/瓶 × 10 瓶/盒","1劑/1 mL/瓶 × 10 瓶/盒 × 1,850盒；5瓶/盒 × 1盒","18505","12 12 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1414","11 30 2015 12:00AM","1劑/1 mL/瓶 × 10 瓶/盒","1劑/1 mL/瓶 × 10 瓶/盒 × 1,816盒；9瓶/盒 × 1盒","18169","12 12 2014 12:00AM",""
"血液製劑類","禾利行股份有限公司","＂百合＂血漿蛋白","B121084","05 31 2017 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 1,186盒","1186","11 7 2014 12:00AM",""
"其他生物藥品類","台灣愛力根藥品股份有限公司","＂愛力根＂保妥適乾粉注射劑","C3660 C3","06 30 2017 12:00AM","100 units/瓶/盒","100 units/瓶/盒 × 16,100盒","16100","12 15 2014 12:00AM",""
"血液製劑類","科懋生物科技股份有限公司","血基賞濃縮輸注液 25毫克/毫升","40545","05 31 2016 12:00AM","10 mL/瓶 × 4瓶/盒","10 mL/瓶 × 4瓶/盒 × 119盒；2瓶/盒 × 1盒","478","11 17 2014 12:00AM",""
"血液製劑類","天行貿易股份有限公司","白蛋白注射劑","A1NF400151","08 16 2017 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 1,319盒","1319","11 18 2014 12:00AM",""
"血液製劑類","吉發企業股份有限公司","＂愛默＂人體血清白蛋白25%注射液","T922006","06 20 2017 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 17,855盒","17855","11 24 2014 12:00AM","AE769726,AE770851兩張破損"
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","輪達停口服活性五價輪狀病毒疫苗","K014240, 0000403873","06 28 2016 12:00AM","1劑/2 mL/軟管 × 10軟管/盒","1劑/2 mL/軟管 × 10軟管/盒 × 2,487盒","24870","01 13 2015 12:00AM",""
"疫苗及類毒素類","賽諾菲股份有限公司","白喉破傷風非細胞性百日咳、b型嗜血桿菌與不活化小兒麻痺混合疫苗(Pentaxim)","L2135-1, L7036/K8514","09 30 2016 12:00AM","1劑/盒","1劑/盒 × 31,716盒","31716","12 16 2014 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂(20%)人血清白蛋白注射劑","3470500608","08 20 2018 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 24,013盒","24013","12 22 2014 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂人類免疫球蛋白靜脈注射劑","3740500997","08 18 2017 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 20,285盒","20285","01 9 2015 12:00AM",""
"血液製劑類","輔凱生物科技股份有限公司","優曼人體血清白蛋白20％輸注液","142927","07 31 2017 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 7,972盒","7972","12 19 2014 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","＂默克＂無汞基因重組B型肝炎疫苗","K017073, 0000406119","10 25 2016 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 256盒；8瓶/盒 × 1盒","2568","12 10 2014 12:00AM",""
"其他生物藥品類","海喬國際股份有限公司","儷緻注射劑","H13584","07 31 2016 12:00AM","500 units/瓶/盒","500 units/瓶/盒 × 6,968盒","6968","12 2 2014 12:00AM",""
"抗毒素及抗血清類","衛生福利部疾病管制署","抗鎖鏈蛇毒血清凍晶注射劑","FR10301","10 31 2019 12:00AM","1劑/瓶/盒","1劑/瓶/盒 × 364盒","364","01 20 2015 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","安在時B型肝炎疫苗","AHBVC451AC, AHBVC451A","03 31 2017 12:00AM","1劑/1 mL/瓶 × 25瓶/盒","1劑/1 mL/瓶 × 25瓶/盒 × 1,562盒；8瓶/盒 × 1盒","39058","12 24 2014 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","嘉喜〔四價人類乳突病毒(第6,11,16,18型)基因重組疫苗〕","K014656, 0000324156","10 22 2016 12:00AM","1 劑/0.5 mL/支/盒","1 劑/0.5 mL/支/盒 × 985盒","985","01 7 2015 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","嘉喜〔四價人類乳突病毒(第6,11,16,18型)基因重組疫苗〕","K009666, 0000313079","09 29 2016 12:00AM","1 劑/0.5 mL/支 × 10 支/盒","1 劑/0.5 mL/支 × 10 支/盒 × 3,062盒","30620","12 5 2014 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","嘉喜〔四價人類乳突病毒(第6,11,16,18型)基因重組疫苗〕","K009585, 0000313078","09 24 2016 12:00AM","1 劑/0.5 mL/支 × 10 支/盒","1 劑/0.5 mL/支 × 10 支/盒 × 6,572盒","65720","12 24 2014 12:00AM",""
"疫苗及類毒素類","賽諾菲股份有限公司","白喉破傷風非細胞性百日咳、b型嗜血桿菌與不活化小兒麻痺混合疫苗(Pentaxim)","L2133-1, L7036/K8468","09 30 2016 12:00AM","1劑/盒","1劑/盒 × 81,524盒","81524","12 5 2014 12:00AM","破損封條14張(AE992900~AE992905；AE972900~AE972905；AE952904~AE952905)；補發封條共14張(AF237774~AF237779；AF232900~AF232905；AF188388~AF188389)"
"疫苗及類毒素類","賽諾菲股份有限公司","白喉破傷風非細胞性百日咳、b型嗜血桿菌與不活化小兒麻痺混合疫苗(Pentaxim)","L2133-1, L7036/K8468","09 30 2016 12:00AM","1劑/盒","1劑/盒 × 86,220盒","86220","12 5 2014 12:00AM","破損15張，補發AF155926-AF155938及AF188386-AF188387"
"血液製劑類","吉發企業股份有限公司","＂貝靈＂血清蛋白注射液20%","G2844411A","07 31 2019 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 32,405盒","32405","12 9 2014 12:00AM","破損AE855533，補發AF237780，共1張"
"疫苗及類毒素類","賽諾菲股份有限公司","流行性腦脊髓膜炎四價多醣類疫苗(Menomune)","UH534AB, UH534A","05 20 2016 12:00AM","1劑/瓶/盒","1劑/瓶/盒 × 2,400盒","2400","01 8 2015 12:00AM",""
"血液製劑類","禾利行股份有限公司","＂百合＂施多特注射液","B797064","05 31 2016 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 600盒","600","12 8 2014 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂威保500U抗抑制子凝血複合物","VNF2P054","07 31 2016 12:00AM","500 U/瓶/盒","500 U/瓶/盒 × 1,708盒","1708","01 21 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1440","10 31 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,230盒；5瓶/盒 × 1盒","44610","02 3 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1441","10 31 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,231盒；8瓶/盒 × 1盒","44636","02 16 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1438","10 31 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,211盒; 8瓶/盒 × 1盒","44236","02 3 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1439","10 31 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,236盒; 1瓶/盒 × 1盒","44722","02 3 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1442","10 31 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,224盒；3瓶/盒 × 1盒","44486","02 16 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1437","10 31 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,196盒; 7瓶/盒 × 1盒","43934","02 3 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1434","10 31 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,201盒; 2瓶/盒 × 1盒","44024","02 3 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1435","10 31 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,233盒; 7瓶/盒 × 1盒","44674","02 3 2015 12:00AM","AF459495破損，補發AF556663"
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","保蓓人類乳突病毒第16/18型疫苗","AHPVA264CM, AHPVA264C","10 31 2017 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 29,650盒","29650","03 16 2015 12:00AM",""
"疫苗及類毒素類","賽諾菲股份有限公司","白喉破傷風非細胞性百日咳、b型嗜血桿菌與不活化小兒麻痺混合疫苗(Pentaxim)","L2140-1, K7332/ K8515","09 30 2016 12:00AM","1劑/盒","1劑/盒 × 19,890盒","19890","01 8 2015 12:00AM",""
"血液製劑類","賽諾菲股份有限公司","兔抗胸腺細胞免疫球蛋白","C4066H01, C4066","01 31 2017 12:00AM","25 mg/瓶/盒","25 mg/瓶/盒 × 1,196盒","1196","12 16 2014 12:00AM",""
"血液製劑類","百達醫療產品股份有限公司","＂百特＂組織修復凝合劑(第二代)","VND3P051","08 31 2016 12:00AM","1 mL/支 × 2支/組/盒","1 mL/支 × 2支/組/盒 × 1,784盒","1784","01 5 2015 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","保蓓人類乳突病毒第16/18型疫苗","AHPVA265AA, AHPVA265A","10 31 2017 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 35,240盒","35240","01 26 2015 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","紐蒙肺多價性肺炎鏈球菌疫苗","K020408, 0000400114","05 28 2016 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 1,398盒","13980","01 13 2015 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","＂默克＂無汞基因重組B型肝炎疫苗","Y2778, 0000438316","11 13 2016 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 10,001盒","100010","12 22 2014 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","羅特律輪狀病毒疫苗口服懸液劑","AROLB128BB, AROLB128B","02 28 2017 12:00AM","1劑/1.5 mL/支/盒","1劑/1.5 mL/支/盒 × 10,870盒","10870","02 13 2015 12:00AM",""
"血液製劑類","台灣綠十字股份有限公司","艾爾補定注射液25%","T4NE4JL001","08 10 2017 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 8,901盒","8901","12 30 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1403","","1劑/1 mL/瓶 × 10 瓶/盒","1劑/1 mL/瓶 × 10 瓶/盒 × 2,405盒","24050","12 12 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1405","11 30 2015 12:00AM","1劑/1 mL/瓶 × 10 瓶/盒","1劑/1 mL/瓶 × 10 瓶/盒 × 2,411盒；5瓶/盒 × 1盒","24115","12 12 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂日本腦炎疫苗","JNAB1404","11 30 2015 12:00AM","1劑/1 mL/瓶 × 10 瓶/盒","1劑/1 mL/瓶 × 10 瓶/盒 × 2,407盒；8瓶/盒 × 1盒","24078","12 12 2014 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","羅特律輪狀病毒疫苗口服懸液劑","AROLB066BC, AROLB066B","11 30 2016 12:00AM","1劑/1.5 mL/支/盒","1劑/1.5 mL/支/盒 × 11,530盒","11530","12 12 2014 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂威保1000U抗抑制子凝血複合物","VNF2P055A","07 31 2016 12:00AM","1000 U/瓶/盒","1000 U/瓶/盒 × 864盒","864","01 21 2015 12:00AM",""
"其他生物藥品類","台灣愛力根藥品股份有限公司","＂愛力根＂保妥適乾粉注射劑","C3660 C3","06 30 2017 12:00AM","100 units/瓶/盒","100 units/瓶/盒 × 3,896盒","3896","12 15 2014 12:00AM",""
"血液製劑類","天行貿易股份有限公司","B型肝炎免疫人血球蛋白注射液","H1AC4A1003","06 10 2017 12:00AM","0.5 mL/支/盒","5 mL/瓶/盒 × 5,588盒","5588","12 10 2014 12:00AM",""
"血液製劑類","天行貿易股份有限公司","B型肝炎免疫人血球蛋白注射液","H1AB4A1002","06 10 2017 12:00AM","0.5 mL/支/盒","1 mL/支/盒 × 2,365盒","2365","12 10 2014 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂25%人體正常血清白蛋白注射劑","LA13D173AA","11 27 2015 12:00AM","50 mL/瓶","50 mL/瓶 × 191瓶","191","12 19 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂安定伏＂裂解型流感疫苗","FKAA1416AA","10 31 2015 12:00AM","1劑/0.5 mL/支 × 20支/盒","1劑/0.5 mL/支 × 20支/盒 × 965盒；1支/盒 × 1盒","19301","12 29 2014 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂25%人體正常血清白蛋白注射劑","LA14D102AA","09 20 2016 12:00AM","50 mL/瓶","50 mL/瓶 × 20,306瓶","20306","12 19 2014 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1436","10 31 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,186盒；9瓶/盒 × 1盒","43738","03 9 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1443","11 30 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,223盒；7瓶/盒 × 1盒","44474","03 9 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1444","11 30 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,220盒；2瓶/盒 × 1盒","44404","03 9 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1445","11 30 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,226盒；7瓶/盒 × 1盒","44534","03 13 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1446","11 30 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,229盒；4瓶/盒 × 1盒","44588","03 13 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1447","11 30 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,239盒；6瓶/盒 × 1盒","44792","03 13 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1448","11 30 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,236盒；8瓶/盒 × 1盒","44736","03 27 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1449","11 30 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,239盒；7瓶/盒 × 1盒","44794","03 27 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1450","11 30 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,224盒；1瓶/盒 × 1盒","44482","03 27 2015 12:00AM",""
"疫苗及類毒素類","國光生物科技股份有限公司","＂國光＂明礬沉澱破傷風類毒素","TTAB1451","11 30 2017 12:00AM","2劑/1 mL/瓶 × 10瓶/盒","2劑/1 mL/瓶 × 10瓶/盒 × 2,235盒；8瓶/盒 × 1盒","44716","03 27 2015 12:00AM",""
"血液製劑類","吉發企業股份有限公司","＂愛默＂人體血清白蛋白25%注射液","T923508","08 21 2017 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 17,620盒","17620","12 31 2014 12:00AM","AF344906破損，補AF405068"
