主類別,次類別,名稱,附檔說明
"食品添加物","漂白劑","二氧化硫（Sulfur Dioxide）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/149664-9.二氧化硫（Sulfur Dioxide）民眾版.doc"
"食品添加物","膨脹劑","鈉明礬(Sodium Aluminate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/149665-10.鈉明礬(Sodium Aluminate)民眾版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","碳酸鈣(Calcium carbonate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144644-3.碳酸鈣(Calcium Carbonate)民眾版.doc"
"食品添加物","保色劑","亞硝酸鉀(Potassium nitrite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144645-4.亞硝酸鉀(Potassium_nitrite)民眾版.doc"
"食品添加物","粘稠劑（糊料）","鹿角菜膠(Carrageenan)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144646-5.鹿角菜膠(Carrageenan)民眾版.doc"
"食品添加物","著色劑","二乙基黃(Diethyl yellow)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144647-6.二乙基黃(Diethyl Yellow)民眾版.doc"
"食品添加物","殺菌劑","次氯酸鈣(Calcium hypochlorite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144648-7.次氯酸鈣(Calcium_hypochlorite)民眾版.doc"
"食品添加物","香料","蘆薈素(Aloin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/149638-8.蘆薈素(Aloin)專業版.doc"
"食品添加物","保色劑","亞硝酸鉀(Potassium nitrite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144619-4.亞硝酸鉀(Potassium_nitrite)專業版.doc"
"食品添加物","粘稠劑(楜料)","鹿角菜膠(Carrageenan)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144620-5.鹿角菜膠(Carrageenan)專業版.doc"
"食品添加物","著色劑","二乙基黃(Diethyl yellow)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144621-6.二乙基黃(Diethyl Yellow)專業版.doc"
"食品添加物","殺菌劑","次氯酸鈣(Calcium hypochlorite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144622-7.次氯酸鈣(Calcium_hypochlorite)專業版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","氯化鎂(Magnesium chloride)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144642-1.氯化鎂(Magnesium Chloride)民眾版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","硫酸鈣(Calcium sulfate, dihydrate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144643-2.硫酸鈣(Calcium_sulfate)民眾版.doc"
"食品添加物","甜味劑","異麥芽酮糖醇(Isomalt)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/140102-37.異麥芽酮糖醇(Isomalt)民眾版.doc"
"食品添加物","抗氧化劑","低亞硫酸鈉(Sodium dithionite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/140103-38.低亞硫酸鈉(Sodium_dithionite)民眾版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","硫酸銨(Ammonium sulfate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/140105-40.硫酸銨（Ammonium_Sulfate）民眾版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","氯化鎂(Magnesium chloride)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144616-1.氯化鎂(Magnesium Chloride)專業版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","硫酸鈣(Calcium sulfate, dihydrate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144617-2.硫酸鈣(Calcium_sulfate,_dihydrate)專業版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","碳酸鈣(Calcium carbonate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/144618-3.碳酸鈣(Calcium Carbonate)專業版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","硫酸銨(Ammonium sulfate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/139951-40.硫酸銨（Ammonium_Sulfate）專業版.doc"
"食品添加物","抗氧化劑","乙氧基喹啉（EQ或EMQ）(Ethoxyquin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/140074-28.乙氧基喹啉(ethoxyquin)民眾版.doc"
"食品添加物","著色劑","銅葉綠素鈉（Sodium Copper Chlorophyllin）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/140075-29.銅葉綠素鈉（Sodium Copper Chlorophyllin）民眾版.doc"
"食品添加物","香料","檸檬油醛(Citral)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/140076-30.檸檬油醛(Citral)民眾版.doc"
"食品添加物","調味劑","反丁烯二酸（Fumaric acid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/140096-32.反丁烯二酸（Fumaric_acid）民眾版.doc"
"食品添加物","食品工業用化學藥品","鹽酸(Hydrochloric Acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/140100-36.鹽酸(Hydrogen_Chloride)民眾版.doc"
"食品添加物","著色劑","銅葉綠素鈉（Sodium Copper Chlorophyllin）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/139941-29.銅葉綠素鈉（Sodium Copper Chlorophyllin）專業版.doc"
"食品添加物","香料","檸檬油醛(Citral)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/139942-30.檸檬油醛(Citral)專業版.doc"
"食品添加物","調味劑","反丁烯二酸（Fumaric acid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/139944-32.反丁烯二酸（Fumaric_acid）專業版.doc"
"食品添加物","食品工業用化學藥品","鹽酸(Hydrochloric Acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/139947-36.鹽酸(Hydrogen_Chloride)專業版.doc"
"食品添加物","甜味劑","異麥芽酮糖醇(Isomalt)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/139948-37.異麥芽酮糖醇(Isomalt)專業版.doc"
"食品添加物","抗氧化劑","低亞硫酸鈉(Sodium dithionite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/139949-38.低亞硫酸鈉(Sodium_dithionite)專業版.doc"
"食品添加物","香料","桂皮醛(cinnamic aldehyde)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137022-7.桂皮醛(cinnamic aldehyde)民眾版.doc"
"食品添加物","著色劑","銅葉綠素（Copper chlorophyll）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137024-8.銅葉綠素(Copper Chlorophyll)民眾版.doc"
"食品添加物","其他","聚乙二醇（Polyethylene glycol）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137025-9.聚乙二醇(Polyethylene glycol)民眾版.doc"
"食品添加物","抗氧化劑","乙烯二胺四醋酸(Ethylenediamine tetraacetic acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137027-10.乙烯二胺四醋酸(Ethylenediamine tetraacetic acid)民眾版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","麥芽糖醇（Maltitol）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137029-11.麥芽糖醇(Mactitol)民眾版.doc"
"食品添加物","抗氧化劑","乙氧基喹啉（EQ或EMQ）(Ethoxyquin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/139940-28.乙氧基喹啉(ethoxyquin)專業版.doc"
"食品添加物","營養添加劑","菸鹼酸（Nicotinic acid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137011-1.菸鹼酸(nicotinic acid)民眾版.doc"
"食品添加物","營養添加劑","硼酸(Boric acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137013-2.硼酸(Boric acid)民眾版.doc"
"食品添加物","營養添加劑","硫酸銅(Copper Sulfate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137014-3.硫酸銅(Copper Sulfate)民眾版.doc"
"食品添加物","維生素","維生素B1(Thiamine Hydrochloride)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137018-4.維生素B1(Thiamine Hydrochloride)民眾版.doc"
"食品添加物","維生素","維生素B12(cyanocobalamin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137019-5.維生素B12(cyanocobalamin)民眾版.doc"
"食品添加物","香料","沈香醇(Linalool)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137020-6.沈香醇(Linalool)民眾版.doc"
"食品添加物","其他","聚乙二醇（Polyethylene glycol）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136978-9.聚乙二醇(Polyethylene glycol)專業版.doc"
"食品添加物","抗氧化劑","乙烯二胺四醋酸（Ethylenediamine tetraacetic acid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136979-10.乙烯二胺四醋酸(Ethylenediamine tetraacetic acid)專業版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","麥芽糖醇（Maltitol）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136980-11.麥芽糖醇(Mactitol)專業版.doc"
"食品添加物","香料","黃樟素(Safrole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136997-1.黃樟素(Safrole)專業版.doc"
"食品添加物","防腐劑","聯苯(Biphenyl)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136998-2.聯苯(Biphenyl)專業版.doc"
"食品添加物","著色劑","食用黃色五號(Sunset Yellow)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136999-3.食用黃色五號 (Sunset Yellow)專業版.doc"
"食品添加物","營養添加劑","硫酸銅(Copper Sulfate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136972-3.硫酸銅(Copper Sulfate)專業版.doc"
"食品添加物","維生素","維生素B1(Thiamine Hydrochloride)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136973-4.維生素B1(Thiamine Hydrochloride)專業版.doc"
"食品添加物","維生素","維生素B12(cyanocobalamin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136974-5.維生素B12(cyanocobalamin)專業版.doc"
"食品添加物","香料","沈香醇（Linalool）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136975-6.沈香醇(Linalool)專家版.doc"
"食品添加物","香料","桂皮醛(cinnamic aldehyde)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136976-7.桂皮醛(cinnamic aldehyde)專業版.doc"
"食品添加物","著色劑","銅葉綠素（Copper chlorophyll）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136977-8.銅葉綠素(Copper Chlorophyll)專業版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","氯化鈣(Calcium chloride)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135801-新增22.氯化鈣(Calcium chloride)-民眾版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","硫酸鈉(Sodium Sulfate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135802-新增23.硫酸鈉(Sodium_Sulfate)民眾版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","葡萄糖酸鈣(Calcium Gluconate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135803-新增24.葡萄糖酸鈣(Calcium_Gluconate_)-民眾版.doc"
"食品添加物","食品工業用化學藥品","氫氧化鉀 (Potassium Hydroxide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135804-新增25.氫氧化鉀(Potassium Hydroxide)-民眾板.doc"
"食品添加物","營養添加劑","菸鹼酸（Nicotinic acid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136970-1.菸鹼酸(nicotinic acid)專業版.doc"
"食品添加物","營養添加劑","硼酸(Boric acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136971-2.硼酸(Boric acid)專業版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","葡萄糖酸鈣(Calcium Gluconate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135767-新增24.葡萄糖酸鈣(Calcium_Gluconate_)-專業版.doc"
"食品添加物","食品工業用化學藥品","氫氧化鉀 (Potassium Hydroxide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135768-新增25.氫氧化鉀(Potassium Hydroxide)-專業版.doc"
"食品添加物","香料","乙醛(Acetaldehyde)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135797-新增18.乙醛(Acetaldehyde)民眾版.doc"
"食品添加物","香料","麥芽醇(Maltol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135798-新增19.麥芽醇(Maltol)民眾版.doc"
"食品添加物","殺菌劑","氯(CHLORINE)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135799-新增20.氯(CHLORINE)-民眾版.doc"
"食品添加物","調味劑","正丁醇(n-Butyl alcohol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135800-新增21.正丁醇(n-Butyl alcohol)民眾版.doc"
"食品添加物","香料","乙醛(Acetaldehyde)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135761-新增18.乙醛(Acetaldehyde)專業版.doc"
"食品添加物","香料","麥芽醇(Maltol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135762-新增19.麥芽醇(Maltol)專業版.doc"
"食品添加物","殺菌劑","氯(CHLORINE)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135763-新增20.氯(CHLORINE)-專業版.doc"
"食品添加物","調味劑","正丁醇(n-Butyl alcohol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135764-新增21.正丁醇(n-Butyl alcohol)專業版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","氯化鈣(Calcium chloride)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135765-新增22.氯化鈣(Calcium chloride)-專業版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","硫酸鈉(Sodium Sulfate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135766-新增23.硫酸鈉(Sodium_Sulfate)專業版.doc"
"食品添加物","著色劑","4,4-二酮-β-胡蘿蔔素(Canthaxanthin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134532-新增15.4,4-二酮-β-胡蘿蔔素(Canthaxanthin) -專業版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","乳糖醇(Lactitol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134533-新增16.乳糖醇(Lactitol)專業版.doc"
"食品添加物","膨脹劑","碳酸氫鈉(Sodium bicarbonate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134537-新增17.碳酸氫鈉(Sodium bicarbonate)-專業版.doc"
"食品添加物","著色劑","4,4-二酮-β-胡蘿蔔素(Canthaxanthin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134558-新增15.4,4-二酮-β-胡蘿蔔素(Canthaxanthin) -民眾版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","乳糖醇(Lactitol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134559-新增16.乳糖醇(Lactitol)民眾版.doc"
"食品添加物","膨脹劑","碳酸氫鈉(Sodium bicarbonate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134563-新增17.碳酸氫鈉(Sodium bicarbonate)-民眾版.doc"
"食品添加物","保色劑","硝酸鈉(Sodium nitrate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134493-更新24.硝酸鈉(Sodium nitrate)-民眾版.doc"
"食品添加物","防腐劑","硼砂（Borax）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134494-更新25.硼砂（Borax）-民眾版.doc"
"食品添加物","其他","溴酸鉀(Potassium bromate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134495-更新26.溴酸鉀(Potassium bromate)-民眾版.doc"
"食品添加物","抗氧化劑","丁基羥基甲氧苯 (Butyl Hydroxy Anisole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134496-更新27.丁基羥基甲氧苯 (Butyl Hydroxy Anisole)-民眾版.doc"
"食品添加物","抗氧化劑","二丁基羥基甲苯(Dibutyl hydroxy toluene, BHT)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134497-更新28.二丁基羥基甲苯 (Butylated Hydroxy Toluene)-民眾版.doc"
"食品添加物","其他","一氧化碳（Carbon monoxide）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134498-更新29.一氧化碳（Carbon monoxide）-民眾版.doc"
"食品添加物","殺菌劑","過氧化氫(Hydrogen Peroxide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134487-更新16.過氧化氫(Hydrogen Peroxide)-民眾版.doc"
"食品添加物","防腐劑","己二烯酸(Sorbic acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134488-更新17.己二烯酸(Sorbic acid)-民眾版.doc"
"食品添加物","防腐劑","去水醋酸(Dehydroacetic acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134489-更新18.去水醋酸(Dehydroacetic acid)-民眾版.doc"
"食品添加物","防腐劑","苯甲酸(Benzoic acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134490-更新19.苯甲酸(Benzoic Acid )-民眾版.doc"
"食品添加物","著色劑","蘇丹紅一號(Sudan I)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134491-更新22.蘇丹紅一號(Sudan red)-民眾版.doc"
"食品添加物","保色劑","亞硝酸鈉(Sodium nitrite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134492-更新23.亞硝酸鈉(Sodium nitrite)-民眾版.doc"
"食品添加物","調味劑","甘精(Dulcin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134478-更新11.甘精(Dulcin)-民眾版.doc"
"食品添加物","甜味劑","環己基(代)磺醯胺酸鹽(Cyclamate)、甜精","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134480-更新21.環己基(代)磺醯胺酸鹽(Cyclamate)-民眾版.doc"
"食品添加物","甜味劑","糖精(Saccharin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134483-更新20.糖精（Saccharin）-民眾版.doc"
"食品添加物","甜味劑","糖精(Saccharin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134484-更新20.糖精（Saccharin）-專業版.doc"
"食品添加物","殺菌劑","次氯酸鈉(Sodium Hypochlorite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134485-更新13.次氯酸鈉(Sodium Hypochlorite)-民眾版.doc"
"食品添加物","殺菌劑","二氧化氯(Chlorine dioxide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134486-更新15.二氧化氯(Chlorine dioxide)-民眾版.doc"
"食品添加物","著色劑","食用紅色七號(Erythrosine)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134472-更新5.食用紅色七號(Erythrosine)-民眾版.doc"
"食品添加物","營養添加劑","維生素D (Vitamin D)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134473-更新6.維生素D (Vitamin D)-民眾版.doc"
"食品添加物","營養添加劑","葉酸（Folic Acid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134474-更新7.葉酸 (Folic acid)-民眾版.doc"
"食品添加物","營養添加劑","視網醇(Retinol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134475-更新8.視網醇(Retinol)民眾版.doc"
"食品添加物","抗氧化劑","亞硫酸鈉（Sodium Sulfite）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134476-更新9.亞硫酸鈉（Sodium Sulfite）-民眾版.doc"
"食品添加物","漂白劑","吊白塊(Sodium formaldehydesulfoxylate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134477-更新10.吊白塊(Sodium formaldehydesulfoxylate)-民眾版.doc"
"食品添加物","防腐劑","硼砂（Borax）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134438-更新25.硼砂（Borax）-專業版.doc"
"食品添加物","其他","溴酸鉀(Potassium bromate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134439-更新26.溴酸鉀(Potassium bromate)-專業版.doc"
"食品添加物","抗氧化劑","丁基羥基甲氧苯 (Butyl Hydroxy Anisole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134440-更新27.丁基羥基甲氧苯 (Butyl Hydroxy Anisole)-專業版.doc"
"食品添加物","抗氧化劑","二丁基羥基甲苯(Dibutyl hydroxy toluene, BHT)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134441-更新28.二丁基羥基甲苯 (Butylated Hydroxy Toluene)-專業版.doc"
"食品添加物","其他","一氧化碳（Carbon monoxide）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134442-更新29.一氧化碳（Carbon monoxide）-專業版.doc"
"食品添加物","殺菌劑","亞氯酸鹽 (Chlorite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134470-更新3.亞氯酸鹽(Chlorite)-民眾版.doc"
"食品添加物","防腐劑","去水醋酸(Dehydroacetic acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134431-更新18.去水醋酸(Dehydroacetic acid)-專業版.doc"
"食品添加物","防腐劑","苯甲酸(Benzoic acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134432-更新19.苯甲酸(Benzoic Acid )-專業版.doc"
"食品添加物","甜味劑","環己基(代)磺醯胺酸鹽(Cyclamate)、甜精","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134434-更新21.環己基(代)磺醯胺酸鹽(Cyclamate)-專業版.doc"
"食品添加物","著色劑","蘇丹紅一號(Sudan I)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134435-更新22.蘇丹紅一號(Sudan red)-專業版.doc"
"食品添加物","保色劑","亞硝酸鈉(Sodium nitrite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134436-更新23.亞硝酸鈉(Sodium nitrite)-專家版.doc"
"食品添加物","保色劑","硝酸鈉(Sodium nitrate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134437-更新24.硝酸鈉(Sodium nitrate)-專家版.doc"
"食品添加物","漂白劑","吊白塊(Sodium formaldehydesulfoxylate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134423-更新10.吊白塊(Sodium formaldehydesulfoxylate)-專業版.doc"
"食品添加物","調味劑","甘精(Dulcin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134424-更新11.甘精(Dulcin)-專業版.doc"
"食品添加物","殺菌劑","次氯酸鈉(Sodium Hypochlorite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134427-更新13.次氯酸鈉(Sodium Hypochlorite)-專業版.doc"
"食品添加物","殺菌劑","二氧化氯(Chlorine dioxide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134428-更新15.二氧化氯(Chlorine dioxide)-專業版.doc"
"食品添加物","殺菌劑","過氧化氫(Hydrogen peroxide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134429-更新16.過氧化氫(Hydrogen Peroxide)-專業版.doc"
"食品添加物","防腐劑","己二烯酸(Sorbic acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134430-更新17.己二烯酸(Sorbic acid)專業版.doc"
"食品添加物","殺菌劑","亞氯酸鹽 (Chlorite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134416-更新3亞氯酸鹽(Chlorite)-專業版.doc"
"食品添加物","著色劑","食用紅色七號(Erythrosine)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134418-更新5.食用紅色七號(Erythrosine)專業版.doc"
"食品添加物","營養添加劑","維生素D (Vitamin D)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134419-更新6.維生素D (Vitamin D)-專業版.doc"
"食品添加物","營養添加劑","葉酸（Folic Acid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134420-更新7.葉酸 (Folic acid)-專業版.doc"
"食品添加物","營養添加劑","視網醇(Retinol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134421-更新8.視網醇(Retinol)專業版.doc"
"食品添加物","抗氧化劑","亞硫酸鈉（Sodium sulfite）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/134422-更新9.亞硫酸鈉（Sodium Sulfite）-專業版.doc"
"食品添加物","食品工業用化學藥品","氫氧化鈉(Sodium hydroxide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132837-12.氫氧化鈉民眾版.doc"
"食品添加物","食品工業用化學藥品","硫酸(Sulfuric acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132838-13.硫酸民眾版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","皂土(Bentonite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132839-15.皂土民眾版.doc"
"食品添加物","營養添加劑","菸醯胺(Nicotinamide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132840-21.菸醯胺民眾版.doc"
"食品添加物","其他","嗎啉(Morpholine)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132841-22.嗎琳民眾版.doc"
"食品添加物","食品工業用化學藥品","乙醇(Ethanol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132844-27.乙醇民眾版.doc"
"食品添加物","食品工業用化學藥品","乙醇(Ethanol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132818-27.乙醇專業版.doc"
"食品添加物","香料","苯甲醇 (Benzyl alcohol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132831-5.苯甲醇專業版.doc"
"食品添加物","香料","苯甲醇 (Benzyl alcohol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132832-5.苯甲醇民眾版.doc"
"食品添加物","溶劑","丙二醇(Propylene glycol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132833-7.丙二醇民眾版.doc"
"食品添加物","溶劑","丙酮(Acetone)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132834-8.丙酮民眾版.doc"
"食品添加物","溶劑","三乙酸甘油酯(Triacetin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132835-9.三乙酸甘油酯民眾版.doc"
"食品添加物","溶劑","三乙酸甘油酯(Triacetin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132809-9.三乙酸甘油酯專業版.doc"
"食品添加物","食品工業用化學藥品","氫氧化鈉(Sodium Hydroxide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132811-12.氫氧化鈉專業版..doc"
"食品添加物","食品工業用化學藥品","硫酸(Sulfuric acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132812-13.硫酸專業版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","皂土(Bentonite)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132813-15.皂土專業版.doc"
"食品添加物","營養添加劑","菸醯胺(Nicotinamide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132814-21.菸醯胺專業版.doc"
"食品添加物","其他","嗎啉(Morpholine)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132815-22.嗎琳民眾版.doc"
"食品添加物","香料","薄荷腦(Menthol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131330-2.薄荷腦-民眾版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","尿素 (Urea)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131331-17.尿素民眾版.doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","碳酸鈉(Sodium Carbonate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131332-18.碳酸鈉民眾版.doc"
"食品添加物","抗氧化劑","抗壞血酸(Ascorbic acid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131333-20.抗壞血酸民眾版.doc"
"食品添加物","溶劑","丙二醇(Propylene glycol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132807-7.丙二醇專業版.doc"
"食品添加物","溶劑","丙酮(Acetone)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/132808-8.丙酮專業版 .doc"
"食品添加物","品質改良用、釀造用及食品製造用劑","偶氮二甲醯胺(Azodicarbonamide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/131321-2.ADA民眾.mht"
