類別,中文品名,英文品名,使用食品範圍及限量,使用限制,規格,類別說明
"(八) 營養添加劑","焦磷酸鈣","Calcium Pyrophosphate","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鈣之總含量不得高於1800 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","矽酸鈣","Calcium Silicate","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鈣之總含量不得高於1800 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","乳酸鈉鈣","Calcium Sodium Lactate","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鈣之總含量不得高於1800 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","琥珀酸鈣","Calcium Succinate","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鈣之總含量不得高於1800 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","硫酸鈣","Calcium Sulfate","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鈣之總含量不得高於1800 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","酪蛋白鈣","Casein Calcium (Calcium Caseinate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鈣之總含量不得高於1800 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","胺基酸螯合鈣","Calcium Amino Acid Chelate","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鈣之總含量不得高於1800 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","氟化鈣","Calcium Fluoride","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其氟之總含量不得高於3 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","甘胺酸鉻","Chromium (Ⅲ) Bisglycinate (Chromic Bisglycinate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鉻之總含量不得高於200 μg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","檸檬酸鉻","Chromium (Ⅲ) Citrate (Chromic Citrate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鉻之總含量不得高於200 μg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","反丁烯二酸鉻","Chromium (Ⅲ) Fumarate (Chromic Fumarate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鉻之總含量不得高於200 μg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","戊二酸鉻","Chromium (Ⅲ) Glutarate (Chromic Glutarate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鉻之總含量不得高於200 μg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","HAP 螯合鉻","Chromium (Ⅲ) HAP Chelate (Chromic HAP Chelate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鉻之總含量不得高於200 μg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","HVP 螯合鉻","Chromium (Ⅲ) HVP Chelate (Chromic HVP Chelate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鉻之總含量不得高於200 μg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","吡酮酸鉻","Chromium (Ⅲ) Pidolate (Chromic Pidolate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鉻之總含量不得高於200 μg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","硫酸鉻鉀","Chromium (Ⅲ) Potassium Sulfate (Chromic Potassium Sulfate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鉻之總含量不得高於200 μg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","琥珀酸鉻","Chromium (Ⅲ) Succinate (Chromic Succinate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鉻之總含量不得高於200 μg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","硝酸鉻","Chromic Nitrate","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鉻之總含量不得高於200 μg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","氧化銅","Copper Oxide","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","依地酸鈣銅","Calcium Copper Edetate","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","醋酸銅","Copper (Ⅱ) Acetate (Cupric Acetate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","甘胺酸銅","Copper (Ⅱ) Bisglycinate (Cupric Bisglycinate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。","限於補充食品中不足之營養素時使用","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","碳酸銅","Copper (Ⅱ) Carbonate (Cupric Carbonate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","氯化銅","Copper (Ⅱ) Chloride (Cupric Chloride)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","反丁烯二酸銅","Copper (Ⅱ) Fumarate (Cupric Fumarate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","戊二酸銅","Copper (Ⅱ) Glutarate (Cupric Glutarate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","HAP 螯合銅","Copper (Ⅱ) HAP Chelate (Cupric HAP Chelate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","HVP 螯合銅","Copper (Ⅱ) HVP Chelate (Cupric HVP Chelate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","蘋果酸銅","Copper (Ⅱ) Malate (Cupric Malate)","形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
