許可證字號,中文品名,英文品名,有效日期,申請商名稱,發證日期,申請商電話,劑型,用途,簽審文件,製造廠國別,成分,申請商地址,包裝量及單位
"衛署添輸字 010075","檸檬酸亞鐵鈉","SODIUM FERROUS CITRATE","2018-05-03","拜爾汀生技營養有限公司","2013-05-03","06-3306112","粉劑","營養添加劑","DHB0C010075000","日本","SODIUM FERROUS CITRATE","","10.00000公斤"
"衛署添輸字 009790","脂肪酸甘油酯","MONO-AND DIGLYCERIDES(DISTILLED MONOGLYCERIDE)","2017-11-13","連傑貿易有限公司","2012-11-13","02-23023112","微細顆粒","乳化劑","DHB0C009790000","中國大陸","MONO-AND DIGLYCERIDES","","25.00000公斤"
"衛部添輸字 010674","羧甲基纖維素鈉","SODIUM CARBOXYMETHYL CELLULOSE (CEKOL 150 CELLULOSE GUM)","2019-05-27","振芳股份有限公司","2014-05-27","02-23415137","粉劑","粘稠劑","DHB0M010674000","中國大陸","SODIUM CARBOXYMETHYL CELLULOSE","","20.00000公斤"
"衛部添輸字 011448","麩醯胺酸","L-GLUTAMINE","2020-10-28","科毓實業有限公司","2015-10-28","04-22364839","結晶性粉末","營養添加劑","DHB0M011448009","德國","L-GLUTAMINE","","500.00000公克"
"衛部添輸字 011066","鹿角菜膠","CARRAGEENAN(GENUVISCO® CARRAGEENAN TYPE TPC-1)","2019-12-22","振芳股份有限公司","2014-12-22","02-23415137","粉劑","粘稠劑","DHB0M011066004","丹麥","CARRAGEENAN","","20.00000公斤;25.00000公斤"
"衛部添輸字 010771","乙醯化己二酸二澱粉","ACETYLATED DISTARCH ADIPATE (STYFLO CS)","2019-07-16","祿加食品有限公司","2014-07-16","02-29307439","粉劑","粘稠劑","DHB0M010771009","越南","ACETYLATED DISTARCH ADIPATE","","25.00000公斤"
"衛部添輸字 010782","L-色胺酸","L-TRYPTOPHAN","2019-07-18","登盛企業股份有限公司","2014-07-18","02-26598566","結晶性粉末","營養添加劑","DHB0M010782003","中國大陸","L-TRYPTOPHAN","","25.00000公斤;5.00000公斤;1.00000公斤;20.00000公斤"
"衛部添輸字 011988","L-色胺酸","L-TRYPTOPHAN","2022-01-03","登盛企業股份有限公司","2017-01-03","02-26598566","結晶性粉末","營養添加劑","DHB0M011988001","中國大陸","L-TRYPTOPHAN","","5.00000公斤;20.00000公斤;25.00000公斤"
"衛部添輸字 010660","鹽酸L-二胺基己酸","L-LYSINE MONOHYDROCHLORIDE","2019-05-12","登盛企業股份有限公司","2014-05-12","02-26598566","粉劑","營養添加劑","DHB0M010660000","中國大陸","L-LYSINE MONOHYDROCHLORIDE","","25.00000公斤;5.00000公斤;1.00000公斤"
"衛部添輸字 011989","鹽酸 L-二胺基己酸","L-LYSINE MONOHYDROCHLORIDE","2022-01-05","登盛企業股份有限公司","2017-01-05","02-26598566","粉劑","營養添加劑","DHB0M011989001","中國大陸","L-LYSINE MONOHYDROCHLORIDE","","5.00000公斤;20.00000公斤;25.00000公斤"
"衛部添輸字 010776","L-麩酸","L-GLUTAMIC ACID","2019-07-18","登盛企業股份有限公司","2014-07-18","02-26598566","結晶性粉末","調味劑","DHB0M010776001","中國大陸","L-GLUTAMIC ACID","","25.00000公斤;5.00000公斤;1.00000公斤"
"衛部添輸字 012108","乙醯化己二酸二澱粉","ACETYLATED DISTARCH ADIPATE (STYWAX AWM)","2022-04-07","新和食品股份有限公司","2017-04-07","02-25954321","粉劑","粘稠劑","DHB0M012108000","南非","ACETYLATED DISTARCH ADIPATE","","25.00000公斤"
"衛部添輸字 012126","乙醯化己二酸二澱粉","ACETYLATED DISTARCH ADIPATE (STYWAX AWH)","2022-04-22","新和食品股份有限公司","2017-04-22","02-25954321","粉劑","粘稠劑","DHB0M012126002","南非","ACETYLATED DISTARCH ADIPATE","","25.00000公斤"
"衛部添輸字 011389","溶菌酶","LYSOZYME HYDROCHLORIDE (LYSOZYME AFILACT INSTANT)","2020-09-07","振芳股份有限公司","2015-09-07","02-23415137","粉劑","酵素製劑","DHB0M011389000","丹麥","LYSOZYME","","5.00000公斤"
"衛署添輸字 009783","肌醇","INOSITOL","2022-11-01","登盛企業股份有限公司","2012-11-01","02-26598566","結晶性粉末","營養添加劑","DHB0C009783002","中國大陸","INOSITOL","","25.00000公斤"
"衛部添輸字 010507","鹿角菜膠","CARRAGEENAN (AQUAGEL GU-8773)","2019-02-13","昇凱興業有限公司","2014-02-13","03-4626949","粉劑","粘稠劑","DHB0M010507002","菲律賓","CARRAGEENAN","","25.00000公斤;25.00000公斤"
"衛部添輸字 011026","醋酸澱粉","STARCH ACETATE (H-150)","2019-11-26","佳昌粉業有限公司","2014-11-26","07-3732828","粉劑","粘稠劑","DHB0M011026001","泰國","STARCH ACETATE","","25.00000公斤"
"衛部添輸字 010758","酸化製澱粉","ACID-MODIFIED STARCH (FA-90)","2019-07-11","佳昌粉業有限公司","2014-07-11","07-3732828","粉劑","粘稠劑","DHB0M010758009","泰國","ACID-MODIFIED STARCH","","25.00000公斤;20.00000公斤"
"衛部添輸字 010768","羥丙基甲基纖維素","HYDROXYPROPYL METHYLCELLULOSE(VIVAPHARM HPMC E5)","2019-07-16","漢旭股份有限公司","2014-07-16","0227773207","粉劑","品質改良用、釀造用及食品製造用劑;;粘稠劑;;乳化劑","DHB0M010768000","墨西哥","HYDROXYPROPYL METHYLCELLULOSE","","25.00000公斤"
"衛部添輸字 012060","醋酸澱粉","STARCH ACETATE (SF-α)","2022-02-16","薩摩亞商寶宏國際實業股份有限公司","2017-02-16","02-27979956","粉劑","粘稠劑","DHB0M012060005","日本","STARCH ACETATE","","20.00000公斤"
"衛部添輸字 010648","醋酸澱粉","STARCH ACETATE (AMY LACETATE M170)","2019-05-06","三和製粉股份有限公司","2014-05-06","07-6165522","粉劑","粘稠劑","DHB0M010648000","丹麥","STARCH ACETATE","","25.00000公斤"
"衛部添輸字 010817","磷酸二澱粉","DISTARCH PHOSPHATE(KREATION BK)","2019-08-06","旭騰國際企業有限公司","2014-08-06","02-28968855","粉劑","粘稠劑","DHB0M010817008","泰國","DISTARCH PHOSPHATE","","25.00000公斤"
"衛署添輸字 010016","乙醯化磷酸二澱粉","ACETYLATED DISTARCH PHOSPHATE (KREATION MB)","2018-04-09","旭騰國際企業有限公司","2013-04-09","02-28968855","粉劑","粘稠劑","DHB0C010016005","泰國","ACETYLATED DISTARCH PHOSPHATE","","25.00000公斤"
"衛署添輸字 010045","醋酸澱粉","STARCH ACETATE (KREATION E-GEL)","2018-04-16","旭騰國際企業有限公司","2013-04-16","02-28968855","粉劑","粘稠劑","DHB0C010045001","泰國","STARCH ACETATE","","25.00000公斤"
"衛署添輸字 008879","β-胡蘿蔔素 30 M","LUCAROTIN 30 M","2021-01-19","台灣巴斯夫股份有限公司","2011-01-19","02-25068131","油狀物","著色劑;;營養添加劑","DHB0C008879002","德國","CORN OIL;;BETA-CAROTENE","","5.00000公斤;20.00000公斤;2.00000公斤;16.00000公斤"
"衛署添輸字 008881","β-胡蘿蔔素 10 CWD S/Y","LUCAROTIN 10 CWD S/Y","2021-01-19","台灣巴斯夫股份有限公司","2011-01-19","02-25068131","粉劑","著色劑;;營養添加劑","DHB0C008881008","德國","GLUCOSE SYRUP;;SOY PROTEIN;;BETA-CAROTENE;;WATER;;DL-ALPHA-TOCOPHEROL;;L-ASCORBYL PALMITATE;;CALCIUM PHOSPHATE, TRIBASIC","","5.00000公斤;10.00000公斤"
"衛署添輸字 008880","維生素A棕櫚酸酯1.0 MIO I.U./G","VITAMIN A-PALMITATE 1.0 MIO I.U./G","2021-01-19","台灣巴斯夫股份有限公司","2011-01-19","02-25068131","油狀物","營養添加劑","DHB0C008880005","德國","VITAMIN A PALMITATE;;SUNFLOWER OIL;;DL-ALPHA-TOCOPHEROL","","5.00000公斤;20.00000公斤;25.00000公斤"
"衛部添輸字 012034","β - 胡蘿蔔素 10 CWD/O PLUS","LUCAROTIN 10 CWD/O PLUS","2022-01-25","台灣巴斯夫股份有限公司","2017-01-25","02-25068131","粉劑","營養添加劑;;著色劑","DHB0M012034005","德國","STARCH SODIUM OCTENYL SUCCINATE;;GLUCOSE SYRUP;;BETA-CAROTENE;;MEDIUM-CHAIN TRIGLYCERIDE;;WATER;;DL-ALPHA-TOCOPHEROL;;CALCIUM PHOSPHATE, TRIBASIC","","20.00000公斤;10.00000公斤;5.00000公斤"
"衛部添輸字 010986","硫酸月桂酯鈉","SODIUM LAURYL SULFATE (KOLLIPHOR SLS FINE)","2019-11-12","台灣巴斯夫股份有限公司","2014-11-12","02-25068131","粉劑","其他","DHB0M010986002","德國","SODIUM LAURYL SULFATE","","15.00000公斤"
"衛部添輸字 010618","阿斯巴甜","ASPARTAME","2019-04-15","台灣荃新股份有限公司","2014-04-15","02-23397514","結晶性粉末","甜味劑","DHB0M010618001","中國大陸","ASPARTAME","","20.00000公斤;25.00000公斤"
"衛部添製字 002690","己二烯酸鉀","POTASSIUM SORBATE","2021-03-16","宏野國際有限公司","2016-03-16","02-82218118","顆粒劑","防腐劑","","","POTASSIUM SORBATE","","10.00000公斤;5.00000公斤;1.00000公斤;20.00000公斤"
"衛署添製字 001312","丙酸鈣　　　　　　　　　　　　　　　　　　　　　　　","CALCIUM PROPIONATE","2022-03-05","聯麒企業有限公司","1997-03-05","033-255323","粉劑","防腐劑","","","CALCIUM PROPIONATE","",""
"衛署添輸字 009419","乙醯化磷酸二澱粉","ACETYLATED DISTARCH PHOSPHATE","2022-03-04","名川企業有限公司","2012-03-04","02-28945678","粉劑","粘稠劑","DHB0C009419003","泰國","ACETYLATED DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 011238","羥丙基澱粉","HYDROXYPROPYL STARCH (CRISPYTEC CN)","2020-05-12","名川企業有限公司","2015-05-12","02-28945678","粉劑","粘稠劑","DHB0M011238008","泰國","HYDROXYPROPYL STARCH","","25.00000公斤"
"衛部添輸字 010240","氧化澱粉","OXIDIZED STARCH(BATTER 225)","2018-09-05","名川企業有限公司","2013-09-05","02-28945678","粉劑","粘稠劑","DHB0M010240008","泰國","OXIDIZED STARCH","","25.00000公斤"
"衛部添輸字 011239","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE (GENIGEL 42)","2020-05-12","名川企業有限公司","2015-05-12","02-28945678","粉劑","粘稠劑","DHB0M011239001","泰國","HYDROXYPROPYL DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添製字 002852","異抗壞血酸鈉","SODIUM ERYTHORBATE","2022-01-25","双禾貿易有限公司","2017-01-25","06-2323503","結晶性粉末","抗氧化劑","","","SODIUM ERYTHORBATE","","1.00000公斤;8.00000公斤"
"衛部添製字 002851","多磷酸鈉","SODIUM POLYPHOSPHATE","2022-01-25","双禾貿易有限公司","2017-01-25","06-2323503","顆粒劑","品質改良用、釀造用及食品製造用劑;;結著劑","","","SODIUM POLYPHOSPHATE","","5.00000公斤;20.00000公斤"
"衛署添輸字 009719","乳糖醇","LACTITOL (LACTITOL MC)","2018-10-02","宏偉生物科技股份有限公司","2013-10-02","04-22586121","結晶性粉末","甜味劑;;品質改良用、釀造用及食品製造用劑","DHB0C009719005","美國","LACTITOL","","20.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤;50.00000公斤"
"衛署添輸字 009720","乳糖醇","LACTITOL (LACTITOL CM50)","2022-10-02","宏偉生物科技股份有限公司","2012-10-02","04-22586121","結晶性粉末","甜味劑;;品質改良用、釀造用及食品製造用劑","DHB0C009720008","美國","LACTITOL","","25.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤"
"衛署添輸字 005835","聚糊精　　　　　　　　　　　　　　　　　　　　　　　","POLYDEXTROSE (LITESSE IMPROVED POLYDEXTROSE)","2018-01-16","宏偉生物科技股份有限公司","1998-01-16","04-22586121","結晶性粉末","品質改良用、釀造用及食品製造用劑;;粘稠劑","DHB0C005835008","美國","POLYDEXTROSE","",""
"衛署添輸字 002105","焦磷酸鈉（無水）　　　　　　　　　　　　　　　　　　","SODIUM PYROPHOSPHATE ANHYDROUS","2020-07-01","昆峰興業股份有限公司","1985-07-01","0222236007","粉劑","結著劑","DHB0C002105008","德國","SODIUM PYROPHOSPHATE, ANHYDROUS","",""
"衛署添輸字 002095","多磷酸鈉　　　　　　　　　　　　　　　　　　　　　　","SODIUM POLYPHOSPHATE","2020-06-21","昆峰興業股份有限公司","1985-06-21","0222236007","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0C002095000","德國","SODIUM POLYPHOSPHATE(SODIUM TRIPOLYPHOSPHAT","",""
"衛署添輸字 007634","葡萄糖酸鋅","ZINC GLUCONATE","2021-06-19","台灣荃新股份有限公司","2006-06-19","02-23397514","粉劑","營養添加劑","DHB0C007634007","日本","ZINC GLUCONATE","","50.00000公斤"
"衛部添輸字 010871","D-甘露醇","D-MANNITOL","2019-09-01","台灣荃新股份有限公司","2014-09-01","02-23397514","結晶性粉末","品質改良用、釀造用及食品製造用劑;;甜味劑","DHB0M010871001","中國大陸","D-MANNITOL","","25.00000公斤"
"衛署添輸字 009538","葡萄糖酸鈣","CALCIUM GLUCONATE","2022-04-27","台灣荃新股份有限公司","2012-04-27","02-23397514","粉劑","品質改良用、釀造用及食品製造用劑","DHB0C009538000","日本","CALCIUM GLUCONATE","","20.00000公斤"
"衛部添輸字 010354","麩醯胺酸","L-GLUTAMINE","2018-11-04","台灣荃新股份有限公司","2013-11-04","02-23397514","結晶性粉末","營養添加劑","DHB0M010354003","日本","L-GLUTAMINE","","25.00000公斤"
"衛部添輸字 010620","L-胱胺酸","L-CYSTINE","2019-04-15","台灣荃新股份有限公司","2014-04-15","02-23397514","結晶性粉末","營養添加劑","DHB0M010620007","日本","L-CYSTINE","","25.00000公斤"
"衛部添輸字 011922","磷酸","PHOSPHORIC ACID ( PHOSPHORIC ACID 85% MIN FOOD GRADE)","2021-11-11","欣可化工股份有限公司","2016-11-11","06-6984148","液劑","調味劑","DHB0M011922008","中國大陸","PHOSPHORIC ACID","","35.00000公斤;330.00000公斤;1600.00000公斤"
"衛部添輸字 012188","磷酸氫二銨","AMMONIUM PHOSPHATE, DIBASIC (DIAMMONIUM PHOSPHATE)","2022-06-30","興勤企業有限公司","2017-06-30","02-27765799","結晶性粉末","品質改良用、釀造用及食品製造用劑","DHB0M012188003","中國大陸","AMMONIUM PHOSPHATE, DIBASIC","","25.00000公斤"
"衛署添輸字 005508","Ｄ－木糖醇　　　　　　　　　　　　　　　　　　　　　","D-XYLITOL (XYLITOL)","2021-09-20","宏偉生物科技股份有限公司","1996-09-20","04-22586121","結晶性粉末","甜味劑","DHB0C005508003","芬蘭","D-XYLITOL","","25.00000公斤;25.00000公斤;50.00000公斤;15.00000公斤"
"衛署添輸字 003030","來卡紅　　　　　　　　　　　　　　　　　　　　　　　","LACCAINE RED R","2018-11-11","國華貿易股份有限公司","1988-11-11","02-23415137","粉劑","著色劑","DHB0C003030006","日本","BURNT POTASSIUM ALUM;;SODIUM CARBONATE, ANHYDROUS;;LACCAIC ACID;;SODIUM D-TARTRATE","",""
"衛署添輸字 009857","乳酸亞鐵","FERROUS LACTATE","2022-12-05","台灣荃新股份有限公司","2012-12-05","02-23397514","結晶性粉末","營養添加劑","DHB0C009857007","中國大陸","FERROUS LACTATE","","25.00000公斤"
"衛部添輸字 012273","葉黃素粉末","LUTEIN 20%","2022-08-31","台灣荃新股份有限公司","2017-08-31","02-23397514","粉劑","營養添加劑;;著色劑","DHB0M012273002","中國大陸","LUTEIN;;ZEAXANTHIN;;MOISTURE;;MALTODEXTRIN","","1.00000公斤;25.00000公斤"
"衛署添輸字 008670","氫氧化鎂","MAGNESIUM HYDROXIDE","2020-06-02","台灣荃新股份有限公司","2010-06-02","02-23397514","粉劑","營養添加劑","DHB0C008670004","日本","MAGNESIUM HYDROXIDE","","20.00000公斤"
"衛署添輸字 008653","氧化鎂","MAGNESIUM OXIDE","2020-05-07","台灣荃新股份有限公司","2010-05-07","02-23397514","粉劑","營養添加劑","DHB0C008653005","日本","MAGNESIUM OXIDE","","20.00000公斤;25.00000公斤"
"衛署添輸字 007097","鏈黴菌素 50%","PIMALAC ( 50% PIMARICIN-50% LACTOSE )","2018-09-24","伊太利企業有限公司","2003-09-24","02-27530066","粉劑","防腐劑","DHB0C007097000","美國","LACTOSE;;PIMARICIN","","4.00000公斤;0.50000公斤;5.00000公斤;1.00000公斤;0.25000公斤;2.50000公斤;0.10000公斤;2.00000公斤"
"衛部添輸字 011550","多磷酸鈉","SODIUM POLYPHOSPHATE (SODIUM TRIPOLYPHOSPHATE)","2020-12-27","興勤企業有限公司","2015-12-27","02-27765799","結晶性粉末","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0M011550007","中國大陸","SODIUM POLYPHOSPHATE","","25.00000公斤"
"衛部添輸字 011532","酸性焦磷酸鈉","DISODIUM DIHYDROGEN PYROPHOSPHATE (SODIUM ACID PYROPHOSPHATE)","2020-12-09","興勤企業有限公司","2015-12-09","02-27765799","結晶性粉末","品質改良用、釀造用及食品製造用劑","DHB0M011532005","中國大陸","DISODIUM DIHYDROGEN PYROPHOSPHATE","","25.00000公斤"
"衛部添輸字 011525","磷酸二氫鉀","POTASSIUM PHOSPHATE, MONOBASIC (MONOPOTASSIUM PHOSPHATE)","2020-12-09","興勤企業有限公司","2015-12-09","02-27765799","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;營養添加劑","DHB0M011525000","中國大陸","POTASSIUM PHOSPHATE, MONOBASIC","","25.00000公斤"
"衛署添輸字 005033","二氧化矽　　　　　　　　　　　　　　　　　　　　　　","SILICON DIOXIDE (COPOROC SA)","2019-09-14","國華貿易股份有限公司","1994-09-14","02-23415137","液劑","品質改良用、釀造用及食品製造用劑","DHB0C005033001","日本","SILICON DIOXIDE(SILICA AEROGEL)","",""
"衛署添輸字 005032","二氧化矽　　　　　　　　　　　　　　　　　　　　　　","SILICON DIOXIDE (COPOROC 300)","2019-09-14","國華貿易股份有限公司","1994-09-14","02-23415137","液劑","品質改良用、釀造用及食品製造用劑","DHB0C005032001","日本","SILICON DIOXIDE(SILICA AEROGEL)","",""
"衛署添輸字 002655","脂肪酸蔗糖酯　　　　　　　　　　　　　　　　　　　　","SUCROSE FATTY ACID ESTER (RYOTO SUGAR ESTER B-370)","2022-05-21","國華貿易股份有限公司","1987-05-21","02-23415137","粉劑","乳化劑","DHB0C002655001","日本","SUCROSE FATTY ACID ESTER","",""
"衛署添輸字 002320","脂肪酸蔗糖酯","SUCROSE FATTY ACID ESTER (RYOTO SUGAR ESTER S-1670)","2021-04-01","國華貿易股份有限公司","1986-04-01","02-23415137","粉劑","乳化劑","DHB0C002320001","日本","SUCROSE STEARIC ACID ESTER","",""
"衛署添輸字 001980","硫酸鈣　　　　　　　　　　　　　　　　　　　　　　　","CALCIUM SULFATE","2019-12-21","國華貿易股份有限公司","1984-12-21","02-23415137","結晶性粉末","品質改良用、釀造用及食品製造用劑","DHB0C001980007","日本","CALCIUM SULFATE","",""
"衛署添輸字 001978","氯化鎂　　　　　　　　　　　　　　　　　　　　　　　","MAGNESIUM CHLORIDE (SOFTWAFER)","2019-12-21","國華貿易股份有限公司","1984-12-21","02-23415137","其他","品質改良用、釀造用及食品製造用劑","DHB0C001978001","日本","MAGNESIUM CHLORIDE","",""
"衛部添輸字 011422","磷酸","PHOSPHORIC ACID (PHOSPHORIC ACID 85% MIN FOOD GRADE)","2020-09-25","欣可化工股份有限公司","2015-09-25","06-6984148","液劑","調味劑","DHB0M011422009","中國大陸","PHOSPHORIC ACID","","35.00000公斤;330.00000公斤;1600.00000公斤"
"衛部添輸字 010830","矽藻土","DIATOMACEOUS EARTH (FW40)","2019-08-14","台榮產業股份有限公司","2014-08-14","02-25069521","粉劑","品質改良用、釀造用及食品製造用劑","DHB0M010830008","美國","DIATOMACEOUS EARTH","","22.70000公斤"
"衛部添輸字 011624","赤藻糖醇","ERYTHRITOL","2021-03-10","新糖城科研企業股份有限公司","2016-03-10","03-8562866","結晶性粉末","品質改良用、釀造用及食品製造用劑;;甜味劑","DHB0M011624002","中國大陸","ERYTHRITOL","","0.50000公斤;25.00000公斤;20.00000公斤;10.00000公斤;5.00000公斤;1.00000公斤;0.50000公斤;0.10000公斤;0.03000公斤;25.00000公斤;20.00000公斤;10.00000公斤;5.00000公斤;1.00000公斤;0.50000公斤;0.10000公斤;0.03000公斤;0.03000公斤;25.00000公斤;20.00000公斤;10.00000公斤;5.00000公斤;1.00000公斤;0.10000公斤"
"衛署添輸字 009443","鳳梨酵素(液)","KOSO ENZYME FRUIT JUICE CONCENTRATE (PINEAPPLE ENZYME)","2022-03-09","松延酵素股份有限公司","2012-03-09","04-22434777","液劑","酵素製劑","DHB0C009443000","菲律賓","FRUIT JUICE;;BROMELAIN;;PAPAIN;;DEXTROSE","","20.00000公升"
"衛部添輸字 010749","L-精胺酸","L-ARGININE","2019-07-09","和司特股份有限公司","2014-07-09","04-23585228","結晶性粉末","營養添加劑","DHB0M010749008","中國大陸","L-ARGININE","","25.00000公斤"
"衛署添輸字 009336","羧甲基纖維素鈉","SODIUM CARBOXYMETHYL CELLULOSE","2021-12-30","育盟股份有限公司","2011-12-30","02-23415137","顆粒劑","粘稠劑","DHB0C009336000","中國大陸","SODIUM CARBOXYMETHYL CELLULOSE","","25.00000公斤"
"衛署添輸字 008323","鹽酸L-二胺基己酸","L-LYSINE MONOHYDROCHLORIDE","2019-05-08","育盟股份有限公司","2009-05-08","02-23415137","粉劑","營養添加劑","DHB0C008323004","中國大陸","L-LYSINE MONOHYDROCHLORIDE","","25.00000公斤;25.00000公斤"
"衛部添輸字 010792","乙烯二胺四醋酸二鈉","DISODIUM ETHYLENEDIAMINETETRAACETATE (EDTA NA2)","2019-07-28","永詠股份有限公司","2014-07-28","06-2665203","結晶性粉末","抗氧化劑;;品質改良用、釀造用及食品製造用劑","DHB0M010792007","中國大陸","DISODIUM ETHYLENEDIAMINETETRAACETATE","","25.00000公斤"
"衛署添輸字 009207","三氯化鉻","CHROMIUM CHLORIDE (CHROMIUM CHLORIDE 6H2O USP CODE 67242)","2021-10-25","穎陞興業有限公司","2014-09-25","02-26807930","結晶性粉末","營養添加劑","DHB0C009207009","印度","CHROMIUM CHLORIDE","","25.00000公斤"
"衛署添輸字 009208","鉬酸鈉","SODIUM MOLYBDATE (VI) (SODIUM MOLYBDATE 2H2O BP CODE 67533)","2021-10-25","穎陞興業有限公司","2014-09-25","02-26807930","結晶性粉末","營養添加劑","DHB0C009208002","印度","SODIUM MOLYBDATE (VI)","","25.00000公斤"
"衛署添輸字 008852","氧化鋅","ZINC OXIDE (ZINC OXIDE USP CODE 67172)","2021-01-04","穎陞興業有限公司","2014-09-25","02-26807930","粉劑","營養添加劑","DHB0C008852002","印度","ZINC OXIDE","","25.00000公斤;25.00000公斤"
"衛署添輸字 006909","碳酸氫鈉","SODIUM BICARBONATE","2017-10-24","京聯實業有限公司","2002-10-24","02-27585708","結晶性粉末","膨脹劑","DHB0C006909006","澳大利亞","SODIUM BICARBONATE","","25.00000公斤"
"衛署添輸字 008322","胺基乙酸","GLYCINE","2019-05-08","育盟股份有限公司","2009-06-18","02-23415137","結晶性粉末","調味劑","DHB0C008322001","中國大陸","GLYCINE","","25.00000公斤;25.00000公斤"
"衛署添輸字 008216","碳酸氫鈉","SODIUM BICARBONATE (MG)","2018-11-18","京聯實業有限公司","2008-11-18","02-27585708","粒狀","膨脹劑","DHB0C008216004","澳大利亞","SODIUM BICARBONATE","","25.00000公斤"
"衛署添輸字 008713","L-丙胺酸","L-ALANINE","2020-07-22","育盟股份有限公司","2010-07-22","02-23415137","結晶性粉末","營養添加劑","DHB0C008713007","中國大陸","L-ALANINE","","25.00000公斤;25.00000公斤"
"衛署添輸字 008693","DL-胺基丙酸","DL-ALANINE","2020-06-30","育盟股份有限公司","2010-06-30","02-23415137","結晶性粉末","調味劑","DHB0C008693008","中國大陸","DL-ALANINE","","25.00000公斤;25.00000公斤"
"衛署添輸字 008321","琥珀酸二鈉","DISODIUM SUCCINATE","2019-05-06","育盟股份有限公司","2009-05-06","02-23415137","結晶性粉末","調味劑","DHB0C008321001","中國大陸","DISODIUM SUCCINATE","","25.00000公斤;25.00000公斤"
"衛部添輸字 012264","玉米糖膠","XANTHAN GUM (XANTHAN GUM 80 MESH)","2022-09-01","育盟股份有限公司","2017-09-01","02-23415137","粉劑","粘稠劑","DHB0M012264001","中國大陸","XANTHAN GUM","","25.00000公斤"
"衛部添輸字 012266","玉米糖膠","XANTHAN GUM (XANTHAN GUM FUFENG AF)","2022-09-01","育盟股份有限公司","2017-09-01","02-23415137","粉劑","粘稠劑","DHB0M012266007","中國大陸","XANTHAN GUM","","25.00000公斤"
"衛部添輸字 011628","銀谷食用消泡劑","YINGU EDIBLE DEFOAMING AGENT","2021-03-10","双樺企業社","2016-03-10","03-4949936","顆粒劑","消泡劑","DHB0M011628001","中國大陸","MONO-AND DIGLYCERIDES;;CALCIUM CARBONATE;;LECITHIN;;SILICON RESIN","","10.00000公斤"
"衛部添輸字 012055","乙醯化磷酸二澱粉","ACETYLATED DISTARCH PHOSPHATE","2022-02-15","玉成澱粉企業股份有限公司","2017-02-15","06-5837376","粉劑","粘稠劑","DHB0M012055003","泰國","ACETYLATED DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 012056","磷酸二澱粉","DISTARCH PHOSPHATE","2022-02-15","玉成澱粉企業股份有限公司","2017-02-15","06-5837376","粉劑","粘稠劑","DHB0M012056006","泰國","DISTARCH PHOSPHATE","","25.00000公斤"
"衛署添輸字 008628","胺基乙酸","GLYCINE","2020-03-26","九鼎欣業有限公司","2010-03-26","04-23762952","結晶性粉末","調味劑","DHB0C008628008","中國大陸","GLYCINE","","25.00000公斤"
"衛署添輸字 009447","己二烯酸鉀","POTASSIUM SORBATE","2022-03-09","育盟股份有限公司","2012-03-09","02-23415137","顆粒劑","防腐劑","DHB0C009447009","中國大陸","POTASSIUM SORBATE","","25.00000公斤"
"衛署添輸字 009444","丙酸鈣","CALCIUM PROPIONATE","2022-03-09","育盟股份有限公司","2012-03-09","02-23415137","粉劑","防腐劑","DHB0C009444000","中國大陸","CALCIUM PROPIONATE","","25.00000公斤"
"衛部添輸字 010358","焦糖色素","CARAMEL COLORS (SULFITE AMMONIA CARAMEL ) ( SCHWEPPES GINGER ALE BEVERAGE BASE PART 3)","2018-11-04","香港商可口可樂有限公司","2013-11-04","02-27116628","液劑","著色劑","DHB0M010358002","中國大陸","CARAMEL COLORS","","432.00000公克"
"衛部添輸字 010359","焦糖色素","CARAMEL COLORS (SULFITE AMMONIA CARAMEL )","2018-11-04","香港商可口可樂有限公司","2013-11-04","02-27116628","液劑","著色劑","DHB0M010359005","中國大陸","CARAMEL COLORS","","230.00000公克;432.00000公克;460.00000公克;500.00000公克;1.72800公斤;1.84000公斤;2.00000公斤;3.68000公斤;108.00000公克"
"衛部添輸字 011610","硫酸鈣","CALCIUM SULFATE (CALCIUM SULFATE DIHYDRATE M)","2021-02-20","鑫隴興業有限公司","2016-02-20","07-7462908","結晶性粉末","品質改良用、釀造用及食品製造用劑;;營養添加劑","DHB0M011610009","日本","CALCIUM SULFATE","","15.00000公斤"
"衛署添輸字 010092","羥丙基澱粉","HYDROXYPROPYL STARCH(H-100 MODIFIED TAPIOCA STARCH)","2018-05-14","群富實業有限公司","2013-05-14","02-85020387","粉劑","粘稠劑","DHB0C010092002","泰國","HYDROXYPROPYL STARCH","","25.00000公斤"
